S.No,Tower No.,Tower Suspension / Tension,Tower Type,Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),Ground Elevation,Deviation Angle,Latitude,Longitude,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing,  Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
23,T.NO-22,T,DD,28,21-22,204.47493733951845,,380,"13°29'55"" ",12.2587,78.6664,GOOD,GOOD,,,PLAIN,FORSET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.6664 12.2587, 78.6674 12.2592)"
24,T.NO-22A,T,DD,32,22-22A,115.3819743287486,9.12,382,"16°55'42"" ",12.2592,78.6674,GOOD,GOOD,33KV-1,SH-1,PLAIN,FORSET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.6674 12.2592, 78.6684 12.2602)"
25,T.NO-23,T,DD,28,22A-23,157.7244432546839,7.22,382,"17°57'23"" ",12.2602,78.6684,GOOD,GOOD,,,PLAIN,FORSET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.6684 12.2602, 78.6713 12.2616)"
26,T.NO-24,S,DA,26,23-24,349.75562897543193,12.7,380,,12.2616,78.6713,RUSTED,GOOD,,,PLAIN,FORSET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.6713 12.2616, 78.6742 12.2631)"
27,T.NO-25,S,DA,26,24-25,362.27061708065696,15.1,380,,12.2631,78.6742,RUSTED,GOOD,LT-1 ,MUD-1,PLAIN,FORSET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.6742 12.2631, 78.6773 12.2646)"
28,T.NO-26,S,DA,26,25-26,368.9512162874653,15.19,366,,12.2646,78.6773,RUSTED,GOOD,LT-1 ,MUD-1,PLAIN,FORSET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.6773 12.2646, 78.6796 12.2658)"
29,T.NO-27,S,DA,26,26-27,287.563905940923,15.17,375,,12.2658,78.6796,RUSTED,GOOD,LT-1,TAR-1,PLAIN,FORSET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.6796 12.2658, 78.6822 12.2671)"
30,T.NO-28,T,DD,28,27-28,317.52165280497013,14.71,366,"22°16'50"" ",12.2671,78.6822,RUSTED,GOOD,LT-1,MUD-1,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.6822 12.2671, 78.685 12.2673)"
31,T.NO-29,S,DA,26,28-29,307.86035795470644,,367,,12.2673,78.685,RUSTED,GOOD,11KV-1,TAR-1,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.685 12.2673, 78.6881 12.2675)"
32,T.NO-30,S,DA,26,29-30,338.3784863137726,,368,,12.2675,78.6881,RUSTED,GOOD,LT-1,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.6881 12.2675, 78.6912 12.2677)"
33,T.NO-31,S,DA,26,30-31,335.72161086233336,15.29,364,,12.2677,78.6912,RUSTED,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.6912 12.2677, 78.6939 12.2679)"
34,T.NO-32,S,DA,26,31-32,294.61330587738223,14.32,364,,12.2679,78.6939,RUSTED,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.6939 12.2679, 78.6967 12.2681)"
35,T.NO-33,S,DA,26,32-33,306.5893018355337,15.9,364,,12.2681,78.6967,RUSTED,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.6967 12.2681, 78.6997 12.2684)"
36,T.NO-34,S,DA,26,33-34,322.893171188243,16.1,365,,12.2684,78.6997,RUSTED,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.6997 12.2684, 78.702 12.2685)"
