S.No,Tower No.,Joint Box,Tower Suspension / Tension,Tower Type,Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),Ground Elevation,Deviation Angle,Latitude,Longitude,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire ( Missing,  Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
1,66kv Tower,2W,,DD+9,37,-,-,9.2,362,,12.67692222,78.63096944,GOOD,GOOD,-,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.63096944444443 12.676922222222222, 78.63080833333332 12.676313888888888)"
2,1,,Tension,SD+9,37,4-5,81,2.3,369," 67°13'28.56""LT",12.67631389,78.63080833,GOOD,GOOD,SUBSTATION STRUCTURES,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.63080833333332 12.676313888888888, 78.63194722222221 12.675466666666667)"
3,2,,Tension,SB+0,24,5-6,157,2.5,384," 12°4’55.28""LT",12.67546667,78.63194722,GOOD,GOOD,"11kv, LT, 66kv",Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.63194722222221 12.675466666666667, 78.63275277777777 12.675102777777777)"
4,3,,Tension,SB+0,24,6-7,99,4,381," 13°34’55.77""LT",12.67510278,78.63275278,GOOD,GOOD,66kv,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.63275277777777 12.675102777777777, 78.63389444444445 12.674869444444443)"
5,4,,Tension,SB+0,24,7-222(230kv Tower),130,6.1,385," 11°47’18.61""LT",12.67486944,78.63389444,GOOD,GOOD,-,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.63389444444445 12.674869444444443, 78.635975 12.674941666666665)"
6,5,,Suspension,SA+0,26,222(230kv Tower)-8,229,3.5,405,,12.67494167,78.635975,GOOD,GOOD,11kv,Road,Hilly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.635975 12.674941666666665, 78.63730833333334 12.674919444444443)"
7,6,,Tension,SD+0,28,8-9,145,4.09,413," 46°52'44.52""RT",12.67491944,78.63730833,GOOD,GOOD,-,-,Hilly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.63730833333334 12.674919444444443, 78.63870277777778 12.673322222222222)"
8,7,,Tension,SB+0,24,9-10,238,2.01,400," 7°40’50.04""LT",12.67332222,78.63870278,GOOD,GOOD,-,-,Hilly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.63870277777778 12.673322222222222, 78.63963055555556 12.672552777777778)"
9,222(230kv Tower),,Tension,DD+18,52,10-11,137,2.5,402," 14°3'46.66""RT",12.67255278,78.63963056,GOOD,NO E/W,230kv,-,Hilly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.63963055555556 12.672552777777778, 78.64058333333334 12.671197222222222)"
10,8,,Tension,SB+0,24,11-12,188,3.1,409,"4°19’48.32""LT",12.67119722,78.64058333,GOOD,NO E/W,,-,Hilly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.64058333333334 12.671197222222222, 78.64220277777778 12.66925)"
11,9,,Suspension,SA+0,26,12-13,281,2.1,404,,12.66925,78.64220278,GOOD,GOOD,11kv,-,Hilly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.64220277777778 12.66925, 78.64365277777779 12.667519444444444)"
12,10,,Tension,SC+0,26,13-14,255,4.35,422," 16°7'11.6""LT",12.66751944,78.64365278,GOOD,GOOD,11kv,-,Hilly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.64365277777779 12.667519444444444, 78.6448388888889 12.666744444444443)"
13,11,,Suspension,SA+0,26,14-15,159,3.5,420,,12.66674444,78.64483889,GOOD,GOOD,11kv,-,Hilly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.6448388888889 12.666744444444443, 78.64590277777778 12.666058333333334)"
14,12,,Tension,SB+0,24,15-16,140,5.2,410," 0°27'15.11""RT",12.66605833,78.64590278,GOOD,GOOD,-,-,Hilly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.64590277777778 12.666058333333334, 78.64724444444445 12.665183333333333)"
