S.No,Tower No.,Tower Suspension / Tension,Tower Type,Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),Ground Elevation,Deviation Angle,Longitude,Latitude,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing,  Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
1,T.NO 161/1 ADHAMANGALAM LILO,T,DC,26,,,1.23,194,,79.00786111111111,12.422611111111111,GOOD,,,,PLAIN,ADHAMANGALAM LILO NEED 3WAY JUNCTION BOX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.00786111111111 12.422611111111111, 79.008 12.423277777777777)"
2,T.NO 2,T,DB,24,161/1-2,74.21590126111789,1.45,201,"9°11'32""",79.008,12.423277777777777,GOOD,GOOD,"110KV,HT-1",,PLAIN,110KV CROSSING BELOW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.008 12.423277777777777, 79.00822222222222 12.425944444444443)"
3,T.NO 3,T,DC,26,2-3,296.05742686174926,1.18,201,"26°53'22""",79.00822222222222,12.425944444444443,GOOD,GOOD,LT-1,,CULTIVACTION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.00822222222222 12.425944444444443, 79.0095 12.427999999999999)"
4,T.NO 4,T,DD,28,3-4,268.07648162418127,1.26,205,"35°12'6""",79.0095,12.427999999999999,GOOD,GOOD,HT-1,POND,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.0095 12.427999999999999, 79.00947222222223 12.428305555555555)"
5,DP1,DP,DP,15,4-DP1,33.06055050963308,,205,,79.00947222222223,12.428305555555555,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.00947222222223 12.428305555555555, 79.00941666666667 12.4285)"
6,DP2,DP,DP,15,DP1-DP2,22.80350850198276,,205,,79.00941666666667,12.4285,GOOD,GOOD,230KV,,PLAIN,230KV CROSSING ABOVE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.00941666666667 12.4285, 79.00930555555556 12.428666666666667)"
7,T.NO 5,T,DB,24,DP2-5,22.02271554554524,2.27,204,"6°54'54""",79.00930555555556,12.428666666666667,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.00930555555556 12.428666666666667, 79.00791666666667 12.429916666666665)"
8,T.NO 6,T,DD,28,5-6,204.41379601191306,1.38,205,"36°48'16""",79.00791666666667,12.429916666666665,GOOD,GOOD,HT-1,ROAD,CULTIVACTION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.00791666666667 12.429916666666665, 79.00752777777778 12.431999999999999)"
9,T.NO 7,S,DA,26,6-7,232.81967270830015,1.7,205,,79.00752777777778,12.431999999999999,GOOD,GOOD,3-LT,,CULTIVACTION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.00752777777778 12.431999999999999, 79.00716666666666 12.434083333333334)"
10,T.NO 8,T,DD,28,7-8,235.76471322061747,2.34,205,"53°56'22""",79.00716666666666,12.434083333333334,GOOD,GOOD,3-LT,,CULTIVACTION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.00716666666666 12.434083333333334, 79.00463888888889 12.435305555555555)"
