S.No,Tower No.,Tower Suspension / Tension,Tower Type,Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),Ground Elevation,Deviation Angle,Latitude,Longitude,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire ( Missing,  Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
1,66kv Tower,,DD+9,37,-,-,9.2,362,,12.676922222222222,78.63096944444443,GOOD,GOOD,-,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.63096944444443 12.676922222222222, 78.63080833333332 12.676313888888888)"
2,1,Tension,SD+9,37,"=CONCATENATE(B6,""-"",B7)",81,2.3,369," 67°13'28.56""LT",12.676313888888888,78.63080833333332,GOOD,GOOD,SUBSTATION STRUCTURES,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.63080833333332 12.676313888888888, 78.63194722222221 12.675466666666667)"
3,2,Tension,SB+0,24,"=CONCATENATE(B7,""-"",B8)",157,2.5,384," 12°4’55.28""LT",12.675466666666667,78.63194722222221,GOOD,GOOD,"11kv, LT, 66kv",Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.63194722222221 12.675466666666667, 78.63275277777777 12.675102777777777)"
4,3,Tension,SB+0,24,"=CONCATENATE(B8,""-"",B9)",99,4,381," 13°34’55.77""LT",12.675102777777777,78.63275277777777,GOOD,GOOD,66kv,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.63275277777777 12.675102777777777, 78.63389444444445 12.674869444444443)"
5,4,Tension,SB+0,24,"=CONCATENATE(B9,""-"",B10)",130,6.1,385," 11°47’18.61""LT",12.674869444444443,78.63389444444445,GOOD,GOOD,-,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.63389444444445 12.674869444444443, 78.635975 12.674941666666665)"
6,5,Suspension,SA+0,26,"=CONCATENATE(B10,""-"",B11)",229,3.5,405,,12.674941666666665,78.635975,GOOD,GOOD,11kv,Road,Hilly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.635975 12.674941666666665, 78.63730833333334 12.674919444444443)"
7,6,Tension,SD+0,28,"=CONCATENATE(B11,""-"",B12)",145,4.09,413," 46°52'44.52""RT",12.674919444444443,78.63730833333334,GOOD,GOOD,-,-,Hilly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.63730833333334 12.674919444444443, 78.63870277777778 12.673322222222222)"
8,7,Tension,SB+0,24,"=CONCATENATE(B12,""-"",B13)",238,2.01,400," 7°40’50.04""LT",12.673322222222222,78.63870277777778,GOOD,GOOD,-,-,Hilly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.63870277777778 12.673322222222222, 78.63963055555556 12.672552777777778)"
9,222(230kv Tower),Tension,DD+18,52,"=CONCATENATE(B13,""-"",B14)",137,2.5,402," 14°3'46.66""RT",12.672552777777778,78.63963055555556,GOOD,NO E/W,230kv,-,Hilly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.63963055555556 12.672552777777778, 78.64058333333334 12.671197222222222)"
10,8,Tension,SB+0,24,"=CONCATENATE(B14,""-"",B15)",188,3.1,409,"4°19’48.32""LT",12.671197222222222,78.64058333333334,GOOD,NO E/W,,-,Hilly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.64058333333334 12.671197222222222, 78.64220277777778 12.66925)"
