S. No ,Tower No,Supspension/Tension,Tower Type,Tower Hight (Mtrs),Span Between Tower No.,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation,Horizontal Angle(˚),Longitude,Latitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earth wire (Missing,Broken etc)",Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
1,GT 110KV PERAMPAKKAM SS,T,GT,15,,,,54,,79.80877777777778,13.039111111111112,GOOD,MISSING,,,PLAIN,110KV PERAMPAKKAM SS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.80877777777778 13.039111111111112, 79.80819444444444 13.038944444444445)"
2,T.NO 1,T,DD,28,GT-1,67.7607669218981,3.62,57,"71°38'49""",79.80819444444444,13.038944444444445,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.80819444444444 13.038944444444445, 79.807 13.040611111111112)"
3,T.NO 2,S,DA,26,1-2,226.534919690943,2.13,64,,79.807,13.040611111111112,GOOD,GOOD,,,CULTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.807 13.040611111111112, 79.80580555555555 13.042194444444444)"
4,T.NO 3,S,DA,26,2-3,218.407451574227,2.55,64,,79.80580555555555,13.042194444444444,GOOD,GOOD,,,CULTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.80580555555555 13.042194444444444, 79.80444444444444 13.043833333333334)"
5,T.NO 4,S,DA,26,3-4,233.077573237915,2.86,65,,79.80444444444444,13.043833333333334,GOOD,GOOD,LT-1,,CULTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.80444444444444 13.043833333333334, 79.80308333333333 13.045555555555556)"
6,T.NO 5,T,DC,26,4-5,243.606677566797,2.05,65,"29°45'3""",79.80308333333333,13.045555555555556,GOOD,GOOD,,,CULTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.80308333333333 13.045555555555556, 79.80152777777778 13.046222222222221)"
7,T.NO 6 LILO PERAMPAKKAM ,T,DD,28,5-6,185.618525614306,1.85,66,"67°57'15""",79.80152777777778,13.046222222222221,GOOD,GOOD,LT-1,ROAD-1,PLAIN,PERAMPAKKAM LILO NEED 3WAY JUNCTION BOX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,TOTAL,1175M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
