S.No,Tower No.,Tower Suspension / Tension,Tower Type,Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),Ground Elevation,Deviation Angle,Latitude,Longitude,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing,  Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
1,LILO-25,T,DC,28,,,3.08,37,,12.983685,80.012303,Good ,,,,Plain(water logged area),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.012303 12.983685, 80.012761 12.982159)"
2,T.NO-26,S,DC,28,25-26,175.96022277776305,-,37,,12.982159,80.012761,Good ,Good ,,,water logged area ,In Side Pond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.012761 12.982159, 80.013357 12.980597)"
3,T.NO-27,S,DC,28,26-27,184.45866745696716,-,36,,12.980597,80.013357,Good ,Good ,,,water logged area ,In Side Pond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.013357 12.980597, 80.013842 12.979134)"
4,T.NO-28,T,DC,26,27-28,170.14111789923092,3.61,37,8°41'45''RT,12.979134,80.013842,Good ,Good ,,Mud road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.013842 12.979134, 80.014855 12.977149)"
5,T.NO-29,S,DC,28,28-29,245.52189311749777,4.65,35,,12.977149,80.014855,Good ,Good ,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.014855 12.977149, 80.015868 12.975001)"
6,T.NO-30,S,DC,28,29-30,261.7728022541685,-,35,,12.975001,80.015868,Good ,Good ,,,Caltivation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.015868 12.975001, 80.016556 12.973692)"
7,T.NO-31,T,DC,26,30-31,162.7912774076056,9.69,35,65°59'53''LT,12.973692,80.016556,Good ,Good ,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.016556 12.973692, 80.018611 12.973754)"
8,T.NO-32,S,DC,28,31-32,223.0807028857494,9.71,36,,12.973754,80.018611,Good ,Good ,11kv/LT,Taar road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.018611 12.973754, 80.020768 12.973844)"
9,T.NO-33,S,DC,28,32-33,234.17301296263838,10.78,30,,12.973844,80.020768,Good ,Good ,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.020768 12.973844, 80.022463 12.974266)"
10,T.NO-34,S,DC,28,33-34,189.66285877841239,-,32,,12.974266,80.022463,Good ,Good ,110Kv ,,Plain,S/C Line Crossing Below Our Line,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.022463 12.974266, 80.024704 12.974012)"
11,T.NO-35,S,DC,28,34-35,244.72433471152803,7.46,32,,12.974012,80.024704,Good ,Good ,,Pond,water logged area ,In Side Pond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.024704 12.974012, 80.026871 12.974111)"
12,T.NO-36,S,DC,28,35-36,235.2126697267815,8.12,32,,12.974111,80.026871,Good ,Good ,,,Caltivation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.026871 12.974111, 80.028428 12.974162)"
13,T.NO-37,T,DC,26,36-37,169.07394831847986,12.17,35,9°28'9''RT,12.974162,80.028428,Good ,Good ,,,Caltivation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.028428 12.974162, 80.030605 12.973908)"
14,T.NO-38,S,DC,28,37-38,237.77510382712484,10.27,31,,12.973908,80.030605,Good ,Good ,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.030605 12.973908, 80.033382 12.973557)"
15,T.NO-39,S,DC,28,38-39,303.64617567161946,-,30,,12.973557,80.033382,Good ,No E/W,,Canal,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.033382 12.973557, 80.036305 12.973233)"
16,T.NO-40,S,DC,28,39-40,319.15200140371985,-,30,,12.973233,80.036305,Good ,No E/W,,Pond,water logged area,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.036305 12.973233, 80.039266 12.972882)"
17,T.NO-41,S,DC,28,40-41,323.48261158832014,-,31,,12.972882,80.039266,Good ,No E/W,,,In Side Pond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.039266 12.972882, 80.04207 12.972522)"
18,T.NO-42,S,DC,28,41-42,306.7523431043356,-,31,,12.972522,80.04207,Good ,Good ,,,In Side Pond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.04207 12.972522, 80.04433 12.972277)"
19,T.NO-43,S,DC,28,42-43,246.59480935331953,-,30,,12.972277,80.04433,Good ,Good ,"LT,11kv/lt",SH Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.04433 12.972277, 80.046138 12.972139)"
20,T.NO-44,T,DC,26,43-44,196.65197685250968,7.41,31,20°2'37''LT,12.972139,80.046138,Good ,Good ,LT,Mud road ,Plain ,In Side college,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.046138 12.972139, 80.047837 12.971368)"
21,T.NO-45,S,DC,28,44-45,203.1058837158589,9.27,30,,12.971368,80.047837,Good ,Good ,"11kv,LT",Taar road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.047837 12.971368, 80.049545 12.970768)"
22,T.NO-46,T,DC,26,45-46,196.7587355112855,12.27,29,28°27'8''LT,12.970768,80.049545,Good ,Good ,LT,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.049545 12.970768, 80.051351 12.971028)"
23,T.NO-47,S,DC,28,46-47,197.9898987322333,10.11,30,,12.971028,80.051351,Good ,Good ,,Mud road,Plain ,In side House,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.051351 12.971028, 80.05394 12.97139)"
24,T.NO-48,S,DC,28,47-48,283.69349657685143,9.12,34,,12.97139,80.05394,Good ,Good ,LT,3nos Mud road ,water logged area,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.05394 12.97139, 80.056253 12.971724)"
25,T.NO-49,S,DC,28,48-49,253.56853117056934,11.31,35,,12.971724,80.056253,Good ,Good ,2nos LT,Mud road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.056253 12.971724, 80.058271 12.971993)"
26,T.NO-50,T,DC,26,49-50,220.91174708466727,12.11,39,19°45'9''RT,12.971993,80.058271,Good ,Good ,LT,Pond,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.058271 12.971993, 80.060817 12.971514)"
27,T.NO-51,S,DC,28,50-51,281.23299948619115,10.25,35,,12.971514,80.060817,Good ,Good ,2nos LT,Mud road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.060817 12.971514, 80.062958 12.971034)"
28,T.NO-52,S,DC,28,51-52,238.20159529272678,8.41,30,,12.971034,80.062958,Good ,Good ,11kv/Lt,Taar road,Plain ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.062958 12.971034, 80.065209 12.970653)"
29,T.NO-53,T,DC,26,52-53,247.759964481754,8.36,32,51°1'49''LT,12.970653,80.065209,Good ,Good ,LT,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.065209 12.970653, 80.066054 12.971397)"
30,T.NO-54,S,DC,28,53-54,123.23960402403117,6.29,32,,12.971397,80.066054,Good ,Good ,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.066054 12.971397, 80.067387 12.972587)"
31,T.NO-55,S,DC,28,54-55,195.41238445912276,-,38,,12.972587,80.067387,Good ,Good ,,,water logged area,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.067387 12.972587, 80.068829 12.97384)"
32,T.NO-56,S,DC,28,55-56,209.0287061625747,8.25,31,,12.97384,80.068829,Good ,Good ,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.068829 12.97384, 80.070226 12.975092)"
33,T.NO-57,T,DC,26,56-57,205.2997808084558,-,32,44°45'10''RT,12.975092,80.070226,Good ,Good ,,,water logged area,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.070226 12.975092, 80.070382 12.977733)"
34,T.NO-58,S,DC,28,57-58,292.55426846997125,-,30,,12.977733,80.070382,Good ,Good ,11kv,Pond,water logged area,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.070382 12.977733, 80.070538 12.980527)"
35,T.NO-59,S,DC,28,58-59,309.5238278388273,-,29,,12.980527,80.070538,Good ,Good ,,,water logged area,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.070538 12.980527, 80.070703 12.983204)"
36,T.NO-60,S,DC,28,59-60,296.60917045836595,-,27,,12.983204,80.070703,Good ,Good ,,,water logged area,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.070703 12.983204, 80.070825 12.985095)"
37,T.NO-61,T,DC,26,60-61,209.46837470128995,9.01,27,14°29'22''RT,12.985095,80.070825,Good ,Good ,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.070825 12.985095, 80.070496 12.98682)"
