S.No,Tower No.,Joint Box ,Tower Suspension / Tension,Tower Type,Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),Ground Elevation,Deviation Angle,Longitude.,Latitude.,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing,  Broken etc)",Power Line,"Rail, Road, River, Car Track",Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
29,T.NO.29,,T,DD,26,28-29,123,4.35,14,"87°40'6""",80.17836,13.139197, GOOD,GOOD,,MUDROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.18933333333334 13.139249999999999, 80.18966666666667 13.138722222222222)"
30,T.NO.29,,T,DD,26,28-29,123,4.35,14,"87°40'6""",80.18933333,13.13925,GOOD,GOOD,,MUDROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.18933333333334 13.139249999999999, 80.18966666666667 13.138722222222222)"
31,T.NO .30 KILPAUK  LILO,2W,T,DC,26,29-30,70,7.05,14,"19°43'20""",80.18966667,13.13872222,GOOD,GOOD,,,PLAIN,KILPAUK LILO NEED 3WAY JUNCTION BOX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.18966666666667 13.138722222222222, 80.18997222222222 13.13725)"
32,T.NO 31,,T,DB,24,30-31,164,6.9,18,"9°9'46""",80.18997222,13.13725,GOOD,GOOD,,MUDROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.18997222222222 13.13725, 80.19069444444445 13.135388888888889)"
33,T.NO 32,,T,DB,24,31-32,221,7.35,19,"2°25'33""",80.19069444,13.13538889,GOOD,GOOD,"LT,HT-3",ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.19069444444445 13.135388888888889, 80.19113888888889 13.134027777777778)"
34,T.NO 33,,T,DB,24,32-33,159,9.15,16,"3°40'52""",80.19113889,13.13402778,GOOD,GOOD,,MUDROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.19113888888889 13.134027777777778, 80.19191666666667 13.132138888888889)"
35,T.NO 34,,T,DB,24,33-34,225,8.45,16,"2°18'2""",80.19191667,13.13213889,GOOD,GOOD,,RIVER,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.19191666666667 13.132138888888889, 80.1926388888889 13.13013888888889)"
36,T.NO 35,,T,DB,24,34-35,235,5.48,16,"12°25'53""",80.19263889,13.13013889,GOOD,GOOD,,2-MUROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.1926388888889 13.13013888888889, 80.19375000000001 13.128388888888889)"
37,T.NO 36,,T,DB,24,35-36,226,4.95,17,"9°49'10""",80.19375,13.12838889,GOOD,GOOD,LT-1,ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.19375000000001 13.128388888888889, 80.19463888888889 13.126305555555556)"
38,T.NO 37,,T,DB,24,36-37,251,5.68,20,"0°47'11""",80.19463889,13.12630556,GOOD,GOOD,,3-ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.19463888888889 13.126305555555556, 80.1953888888889 13.124416666666667)"
39,T.NO 38,,T,DB,24,37-38,224,6.1,17,"14°51'39""",80.19538889,13.12441667,GOOD,GOOD,LT-1,3-ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.1953888888889 13.124416666666667, 80.19666666666667 13.122694444444445)"
40,T.NO 39,,T,DB,24,38-39,236,6.79,19,"12°37'45""",80.19666667,13.12269444,GOOD,GOOD,,"ROAD,MUDROAD",PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.19666666666667 13.122694444444445, 80.19719444444445 13.122222222222224)"
41,T.NO 40,,T,DB,24,39-40,77,8.1,16,"10°18'1""",80.19719444,13.12222222,GOOD,GOOD,,ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.19719444444445 13.122222222222224, 80.19883333333334 13.120222222222223)"
42,T.NO 41,3W,T,DD,26,40-41,282,11.25,19,"59°25'47""",80.19883333,13.12022222,GOOD,GOOD,,2-MUDROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.19883333333334 13.120222222222223, 80.19808333333334 13.118305555555557)"
43,T.NO 42,2W,T,DB,24,41-42,228,14.88,28,"2°37'14""",80.19808333,13.11830556,GOOD,GOOD,LT-1,ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.19808333333334 13.118305555555557, 80.19755555555555 13.116722222222222)"
44,T.NO 43,,T,DB,24,42-43,183,6.18,19,"5°24'33""",80.19755556,13.11672222,GOOD,GOOD,LT-2,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.19755555555555 13.116722222222222, 80.19725 13.115527777777777)"
45,T.NO 44,,T,DB,24,43-44,138,7.25,13,"3°8'53""",80.19725,13.11552778,GOOD,GOOD,,2-ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.19725 13.115527777777777, 80.19694444444445 13.113694444444445)"
46,T.NO 45,,T,DC,26,44-45,204,11.05,15,"19°23'51""",80.19694444,13.11369444,GOOD,GOOD,LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.19694444444445 13.113694444444445, 80.19627777777778 13.112499999999999)"
47,T.NO 46,,T,DC,26,45-46,151,8.35,20,"20°23'41""",80.19627778,13.1125,GOOD,GOOD,,ROAD,PLAIN,GND ROAD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.19627777777778 13.112499999999999, 80.19627777777778 13.112499999999999)"
47,T.NO 46,3W,T,DC,26,14-46,151,8.35,20,"20°23'41""",80.19627778,13.1125,GOOD,GOOD,,ROAD,PLAIN,GND ROAD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.19627777777778 13.112499999999999, 80.19608333333333 13.11136111111111)"
48,T.NO 47,,T,DB,24,46-47,130,7.12,21,"6°52'48""",80.19608333,13.11136111,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.19608333333333 13.11136111111111, 80.19602777777779 13.109277777777777)"
49,T.NO 48,,T,DC,26,47-48,229,11.9,22,"25°4'44""",80.19602778,13.10927778,GOOD,GOOD,LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.19602777777779 13.109277777777777, 80.1953888888889 13.108083333333333)"
50,T.NO 49,,T,DB,24,48-49,149,9.1,21,"1°18'48""",80.19538889,13.10808333,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.1953888888889 13.108083333333333, 80.19466666666668 13.106722222222222)"
51,T.NO 50,,T,DD,26,49-50,168,7.68,20,"94°6'7""",80.19466667,13.10672222,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.19466666666668 13.106722222222222, 80.19569444444444 13.106277777777777)"
52,T.NO 51,,T,DD,26,50-51,124,6.95,22,"35°14'4""",80.19569444,13.10627778,GOOD,GOOD,,"ROAD,RAILWAY",PLAIN,"110 KV CROSSING ,KORATTUR TO VILLIVAKKAM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.19569444444444 13.106277777777777, 80.19722222222222 13.103777777777777)"
53,T.NO 52,,T,DB,24,51-52,321,5.65,16,"9°6'17""",80.19722222,13.10377778,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.19722222222222 13.103777777777777, 80.19780555555556 13.103111111111112)"
54,T.NO 53,,T,DD,26,52-53,97,4.72,15,"58°12'15""",80.19780556,13.10311111,GOOD,GOOD,,ROAD,PLAIN,100 FEET ROAD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.19780555555556 13.103111111111112, 80.19908333333333 13.103277777777777)"
55,T.NO 54,,T,DB,24,53-54,140,8.65,18,"5°28'11""",80.19908333,13.10327778,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.19908333333333 13.103277777777777, 80.2008888888889 13.103361111111111)"
56,T.NO 55,,T,DB,24,54-55,198,9.38,20,"4°14'36""",80.20088889,13.10336111,GOOD,GOOD,,2-ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.2008888888889 13.103361111111111, 80.20330555555556 13.103638888888888)"
57,T.NO 56,,T,DD,26,55-56,263,13.88,25,"36°44'9""",80.20330556,13.10363889,GOOD,GOOD,,2-ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.20330555555556 13.103638888888888, 80.205 13.102666666666666)"
