S.No,Tower No.,Joint Box,Tower Suspension / Tension,Tower Type (DC /SC ),Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),Ground Elevation,Deviation Angle,Latitude,Longitude,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing, Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
1,Gantry ( Thiruvallur SS),2W,T,H-POLE,15,,,,54.044228,,13.10985999,79.90857499,GOOD,,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.9085749872028 13.1098599918186, 79.9083752464503 13.1098544597625)"
2,106,,T,DC,28,Gantry  - 106,24.66298671,1.05,53.9664,146°2'12''RT,13.10985446,79.90837525,GOOD,NO E/W,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.9083752464503 13.1098544597625, 79.9074036162346 13.1104705296456)"
3,105,,T,DC,28,106 - 105,128.4552029,0.79,53.434387,138°33'4''LT,13.11047053,79.90740362,GOOD,AVAILABLE,"HT-3,LT-2",ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.9074036162346 13.1104705296456, 79.9068282824009 13.1103786639869)"
4,104,,T,DC,28,105 - 104,66.1953336,0.13,49.713066,41°53'31''RT,13.11037866,79.90682828,GOOD,AVAILABLE,HT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.9068282824009 13.1103786639869, 79.9050779733806 13.1082199886441)"
5,103,,S,DC,28,104 - 103,307.9837485,1.26,49.596344,,13.10821999,79.90507797,GOOD,AVAILABLE,,CANAL,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.9050779733806 13.1082199886441, 79.9033590126782 13.1061739660799)"
6,102,,T,DC,28,103 - 102,296.1599094,3.41,50.045567,0°25'42''RT,13.10617397,79.90335901,GOOD,AVAILABLE,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.9033590126782 13.1061739660799, 79.901646003127 13.1041038036346)"
7,101,,T,DC,28,102 - 101,297.8201654,1.55,51.191807,46°15'59''LT,13.1041038,79.901646,GOOD,AVAILABLE,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.901646003127 13.1041038036346, 79.89919597283 13.1039270292967)"
8,100,,T,DC,28,101 - 100,269.338894,2.06,53.053917,165°55'34''RT,13.10392703,79.89919597,GOOD,AVAILABLE,33KV,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.89919597283 13.1039270292967, 79.8967900313436 13.1043489743024)"
9,99,,T,DC,28,100 - 99,267.982651,0.4,54.157475,159°41'20''LT,13.10434897,79.89679003,GOOD,AVAILABLE,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.8967900313436 13.1043489743024, 79.8947780393064 13.1039810087531)"
10,98,,T,DC,28,99 - 98,224.894909,1.2,54.28838,20°20'58''RT,13.10398101,79.89477804,GOOD,AVAILABLE,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.8947780393064 13.1039810087531, 79.8924079723656 13.1025730166584)"
