S.No,Tower No.,Joint Box,Tower Suspension / Tension,Tower Type,SC or DC,Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),Ground Elevation,Deviation Angle,Latitude,Longitude,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire ( Missing,  Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
28,27,,Suspension,SA+0,SC,26,30-31,316,5.1,86,,12.80958611,79.64025278,GOOD,GOOD,-,-,River,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.64025277777779 12.809586111111113, 79.63798611111112 12.807866666666667)"
29,28,,Suspension,SA+0,SC,26,31-32,317,8,87,,12.80786667,79.63798611,GOOD,GOOD,-,-,River,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.63798611111112 12.807866666666667, 79.63561944444444 12.806108333333334)"
30,29,,Tension,SB+0,SC,24,32-33,326,2.6,89,"1°5’0.8""RT",12.80610833,79.63561944,GOOD,GOOD,-,-,River,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.63561944444444 12.806108333333334, 79.63314999999999 12.80428888888889)"
31,30,,Suspension,SA+0,SC,26,33-34,340,2.1,90,,12.80428889,79.63315,GOOD,GOOD,-,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.63314999999999 12.80428888888889, 79.63068333333332 12.802575000000001)"
32,31,,Suspension,SA+0,SC,26,34-35,332,3,89,,12.802575,79.63068333,GOOD,GOOD,-,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.63068333333332 12.802575000000001, 79.62844444444444 12.800908333333334)"
33,32,,Suspension,SA+0,SC,26,35-36,311,0.9,89,,12.80090833,79.62844444,GOOD,GOOD,"LT, HT",-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.62844444444444 12.800908333333334, 79.626875 12.799752777777778)"
34,33,,Tension,SB+0,SC,24,36-37,217,1,91,1°0’0.6”RT,12.79975278,79.626875,GOOD,GOOD,-,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.626875 12.799752777777778, 79.62538055555555 12.798497222222222)"
35,34,,Suspension,SA+0,SC,26,37-38,217,1.3,93,,12.79849722,79.62538056,GOOD,GOOD,-,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.62538055555555 12.798497222222222, 79.623325 12.796994444444444)"
36,35,,Suspension,SA+0,SC,26,38-39,281,2.5,93,,12.79699444,79.623325,GOOD,GOOD,"Two LT, HT",Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.623325 12.796994444444444, 79.62104166666666 12.795275)"
37,36,,Suspension,SA+0,SC,26,39-40 (LILO),319,1.6,94,,12.795275,79.62104167,GOOD,GOOD,-,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.62104166666666 12.795275, 79.6188111111111 12.793616666666667)"
38,37,,Tension,SB+0,SC,24,40 (LILO)-41,299,4,95,"0°10’4""LT",12.79361667,79.61881111,GOOD,GOOD,-,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.6188111111111 12.793616666666667, 79.61661944444444 12.791997222222221)"
39,38,,Suspension,SA+0,SC,26,41-42,309,2.3,96,,12.79199722,79.61661944,GOOD,GOOD,-,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.61661944444444 12.791997222222221, 79.61462777777777 12.790522222222222)"
40,39,,Suspension,SA+0,SC,26,42-43,276,2,99,,12.79052222,79.61462778,GOOD,GOOD,-,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.61462777777777 12.790522222222222, 79.61247222222222 12.788936111111111)"
41,40 (LILO),2W,Tension,DD+9,DC,37,43-44,294,2.5,102,"54°32’41.86""LT",12.78893611,79.61247222,GOOD,GOOD,-,-,Plain,LILO Tower to Arani,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.61247222222222 12.788936111111111, 79.61255 12.786197222222222)"
42,41,,Tension,DD+9,DC,37,44-45,309,0.8,101,15°40’25.77”RT,12.78619722,79.61255,GOOD,GOOD,"Two HT, Two LT,110kv",State Highway,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.61255 12.786197222222222, 79.61194722222221 12.783952777777777)"
43,42,,Tension,DB+0,DC,28,45-46,259,1.7,102,9°17’56.57”RT,12.78395278,79.61194722,GOOD,GOOD,HT,CTR,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.61194722222221 12.783952777777777, 79.61110833333333 12.782150000000001)"
