S. No ,Tower No,Joint Box,Supspension/Tension,Tower Type,Tower Hight (Mtrs),Span Between Tower No.,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation,Horizontal Angle(˚),Longitude,Latitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earth wire (Missing,Broken etc)",Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
1,GT 110KV UNAMACHERRY SS,2W,T,GANTRY,15,,,,46,,80.10105556,12.86230556,GOOD,MISSING,,,PLAIN,110KV UNAMACHERRY SS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.10105555555555 12.862305555555555, 80.10130555555556 12.862055555555555)"
2,T.NO 1,,T,DC,26,GT-1,38.89730068,6.34,39,"27°36'24""",80.10130556,12.86205556,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.10130555555556 12.862055555555555, 80.10172222222222 12.860888888888889)"
3,T.NO 2,,T,DD,28,01-Feb,135.9779394,4.37,36,"36°32'19""",80.10172222,12.86088889,GOOD,GOOD,"LT-1, HT-1",ROAD-1,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.10172222222222 12.860888888888889, 80.10125 12.859472222222221)"
4,T.NO 3,,T,DD,28,02-Mar,164.1249524,4.69,36,"53°59'9""",80.10125,12.85947222,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.10125 12.859472222222221, 80.10249999999999 12.857777777777777)"
5,T.NO 4,,T,DD,28,03-Apr,232.0344802,3.07,33,"34°8'5""",80.1025,12.85777778,GOOD,GOOD,LT-1,MUD ROAD-1,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.10249999999999 12.857777777777777, 80.10352777777777 12.857416666666666)"
6,T.NO 5,,T,DD,28,04-May,117.0469991,3.46,31,"77°0'39""",80.10352778,12.85741667,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.10352777777777 12.857416666666666, 80.10322222222221 12.855)"
7,T.NO 6,,T,DB,24,05-Jun,271.0166047,3.95,32,"11°17'56""",80.10322222,12.855,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.10322222222221 12.855, 80.10286111111111 12.85388888888889)"
8,T.NO 7,,T,DB,24,06-Jul,127.440182,4.15,32,"9°46'37""",80.10286111,12.85388889,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.10286111111111 12.85388888888889, 80.1026111111111 12.852194444444445)"
9,T.NO 8,,T,DD,28,07-Aug,189.0846371,3.86,33,"48°44'0""",80.10261111,12.85219444,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.1026111111111 12.852194444444445, 80.10366666666665 12.850972222222222)"
10,T.NO 9,,T,DC,26,08-Sep,178.1039023,3.45,36,"22°4'8""",80.10366667,12.85097222,GOOD,GOOD,,MUD ROAD-1,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.10366666666665 12.850972222222222, 80.10513888888889 12.850222222222222)"
11,T.NO 10,,T,DD,28,09-Oct,178.4740878,4.97,34,"36°21'14""",80.10513889,12.85022222,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.10513888888889 12.850222222222222, 80.10627777777778 12.847916666666666)"
12,T.NO 11,,T,DC,26,10-Nov,283.5507009,4.23,34,"27°10'16""",80.10627778,12.84791667,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.10627777777778 12.847916666666666, 80.10624999999999 12.846250000000001)"
13,T.NO 12,,T,DB,24,11-Dec,185.0432382,2.76,34,"0°34'26""",80.10625,12.84625,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.10624999999999 12.846250000000001, 80.10622222222221 12.844833333333334)"
14,T.NO 13,,T,DD,28,Dec-13,158.0790941,3.08,35,"71°3'31""",80.10622222,12.84483333,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.10622222222221 12.844833333333334, 80.10883333333332 12.843861111111112)"
15,T.NO 14,,T,DB,24,13-14,304.7769676,3.83,33,"14°20'52""",80.10883333,12.84386111,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.10883333333332 12.843861111111112, 80.11044444444444 12.84275)"
