S. No ,Tower No,Joint Box,Supspension/Tension,Tower Type,Tower Hight (Mtrs),Span Between Tower No.,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation,Horizontal Angle(˚),Longitude,Latitude,JB Location,Earthing Location,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earth wire (Missing,Broken etc)",Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
91,T.NO 89,,T,DB,24,88-89,288.7846417,3.95,22,"14°22'5""",79.82125,12.25741667,,,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.82124999999999 12.257416666666666, 79.82222222222222 12.254888888888889)"
92,T.NO 90,,S,DA,26,89-90,300.9766658,BUSHESS,22,,79.82222222,12.25488889,,,GOOD,GOOD,LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.82222222222222 12.254888888888889, 79.82316666666667 12.252527777777777)"
93,T.NO 91,,S,DA,26,90-91,282.3698633,5.83,24,,79.82316667,12.25252778,,,GOOD,GOOD,LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.82316666666667 12.252527777777777, 79.82397222222222 12.250305555555556)"
94,T.NO 92,,S,DA,26,91-92,261.3247971,4.62,24,,79.82397222,12.25030556,,,GOOD,GOOD,2nos LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.82397222222222 12.250305555555556, 79.825 12.247694444444443)"
95,T.NO 93,,S,DA,26,92-93,309.2920693,3.79,27,,79.825,12.24769444,,,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.825 12.247694444444443, 79.826 12.245083333333332)"
96,T.NO 94,,T,DB,24,93-94,311.7442678,5.37,51,"13°46'52""",79.826,12.24508333,,,GOOD,GOOD,"2nos LT,HT",TAAR ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.826 12.245083333333332, 79.82630555555555 12.242527777777777)"
97,T.NO 95,,S,DA,26,94-95,286.6868915,5.71,29,,79.82630556,12.24252778,,,GOOD,GOOD,2nos LT,TAAR ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.82630555555555 12.242527777777777, 79.82666666666667 12.239805555555554)"
98,T.NO 96,,T,DB,24,95-96,303.3970899,6.31,29,"3°52'53""",79.82666667,12.23980556,,,GOOD,GOOD,HT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.82666666666667 12.239805555555554, 79.82702777777777 12.237916666666665)"
99,T.NO 97 LILO MURUKERI,3W,T,DD,28,96-97LILO,212.6246677,5.96,27,"32°42'46""",79.82702778,12.23791667,Yes,,GOOD,GOOD,,,PLAIN,MURUKERI LILO NEED JUNCTION BOX,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.82702777777777 12.237916666666665, 79.82822222222222 12.2365)"
100,T.NO 98,,S,DA,26,97-98,205.7486264,5.71,27,,79.82822222,12.2365,,,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.82822222222222 12.2365, 79.83022222222222 12.234638888888888)"
101,T.NO 99,,S,DA,26,98-99,299.5196811,5.47,29,,79.83022222,12.23463889,,,GOOD,GOOD,LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.83022222222222 12.234638888888888, 79.832 12.232833333333334)"
102,T.NO 100,,S,DA,26,99-100,278.2760357,5.18,31,,79.832,12.23283333,,,GOOD,GOOD,LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.832 12.232833333333334, 79.83366666666666 12.231083333333334)"
103,T.NO 101,,T,DB,24,100-101,266.3770902,4.17,34,"11°6'23""",79.83366667,12.23108333,,,GOOD,GOOD,2nos HT,TAAR ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.83366666666666 12.231083333333334, 79.83516666666667 12.228805555555555)"
104,T.NO 102,,S,DA,26,101-102,300.5797056,4.87,36,,79.83516667,12.22880556,,,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.83516666666667 12.228805555555555, 79.83666666666666 12.226472222222222)"
105,T.NO 103,,S,DA,26,102-103,308.4020169,5.47,37,,79.83666667,12.22647222,,,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.83666666666666 12.226472222222222, 79.83808333333333 12.224277777777777)"
106,T.NO 104,,S,DA,26,103-104,288.4717377,5.35,36,,79.83808333,12.22427778,,,GOOD,GOOD,LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.83808333333333 12.224277777777777, 79.83955555555555 12.222)"
107,T.NO 105,,S,DA,26,104-105,297.5889411,4.21,35,,79.83955556,12.222,,,GOOD,GOOD,"LT,HT",TAAR ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.83955555555555 12.222, 79.841 12.21975)"
108,T.NO 106,,T,DB,24,105-106,297.0574269,4.66,34,"16°4'54""",79.841,12.21975,,,GOOD,GOOD,LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.841 12.21975, 79.8416111111111 12.217722222222223)"
109,T.NO 107,,S,DA,26,106-107,234.520877,4.21,33,,79.84161111,12.21772222,,,GOOD,GOOD,,MUD ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.8416111111111 12.217722222222223, 79.84241666666667 12.215138888888887)"
110,T.NO 108,,S,DA,26,107-108,299.3638718,4.81,33,,79.84241667,12.21513889,,,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.84241666666667 12.215138888888887, 79.8428611111111 12.213388888888888)"
111,T.NO 109,,S,DA,26,108-109,201.3397115,5.31,33,,79.84286111,12.21338889,,,GOOD,GOOD,,MUD ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.8428611111111 12.213388888888888, 79.84344444444444 12.2115)"
112,T.NO 110,,T,DB,24,109-110,218.331544,6.27,33,"7°10'18""",79.84344444,12.2115,,,GOOD,GOOD,"HT,LT",,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.84344444444444 12.2115, 79.84391666666666 12.208749999999998)"
113,T.NO 111,,T,DB,24,110-111,308.766145,5.81,34,"11°1'58""",79.84391667,12.20875,,,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.84391666666666 12.208749999999998, 79.8446111111111 12.206888888888889)"
114,T.NO 112,,T,DD,28,111-112,220.2281916,6.41,36,"30°20'2""",79.84461111,12.20688889,,,GOOD,GOOD,HT,TAAR ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.8446111111111 12.206888888888889, 79.84424999999999 12.20497222222222)"
115,T.NO 113,,T,DD,28,112-113,218.5247112,7.35,36,"165°47'35""",79.84425,12.20497222,,,GOOD,GOOD,2nos HT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.84424999999999 12.20497222222222, 79.84422222222221 12.205499999999999)"
116,GT 110KV MURUKKERI SS,2W,T,GT,15,113-GT,60.13543777,,38,,79.84422222,12.2055,Yes,,GOOD,MISSING,,,PLAIN,110KV MURUKKERI SS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,TOTAL,27817M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
