S.No,Tower No.,"Joint Box
",Tower Suspension / Tension,Tower Type (DC /SC ),Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),Ground Elevation,Deviation Angle,Longitude,Latitude,,,,,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing, Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
1,T.NO 21 PATTABIRAM LILO, ,T,DC,26,,,7.82,28,,80.09436111,13.09561111,,,,,GOOD,GOOD,,,PLAIN,PATTABIRAM LILO NEED 3WAY JUNCTION BOX,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.09436111111111 13.095611111111111, 80.09263888888889 13.096)"
2,T.NO 15,,S,DA,26,21-15,191.6585506,5.2,36,,80.09263889,13.096,,,,,GOOD,GOOD,,MUDROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.09263888888889 13.096, 80.09105555555556 13.0965)"
3,T.NO 14,,T,DB,24,15-14,179.3014222,4.78,34,"4°24'20""",80.09105556,13.0965,,,,,GOOD,GOOD,LT-1,MUDROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.09105555555556 13.0965, 80.08825 13.097027777777779)"
4,T.NO 13,,T,DD,28,14-13,311.826875,12.68,36,"33°52'34""",80.08825,13.09702778,,,,,GOOD,GOOD,"LT,HT",2-MUDROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.08825 13.097027777777779, 80.08777777777777 13.096833333333334)"
5,T.NO 12,,T,DD,28,13-Dec,54.23098745,10.28,35,"73°37'41""",80.08777778,13.09683333,,,,,GOOD,GOOD,110KV,,PLAIN,110KV CROSSING BELOW,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.08777777777777 13.096833333333334, 80.08666666666666 13.098222222222223)"
6,T.NO 11,,S,DA,26,12-Nov,194.4453651,6.08,31,,80.08666667,13.09822222,,,,,GOOD,GOOD,"HT-1,LT-2",ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.08666666666666 13.098222222222223, 80.08547222222222 13.099472222222223)"
7,T.NO 10,,S,DA,26,11-Oct,191.0497317,9.05,31,,80.08547222,13.09947222,,,,,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.08547222222222 13.099472222222223, 80.08408333333333 13.10125)"
8,T.NO 9,,S,DA,26,10-Sep,247.0020243,7.69,30,,80.08408333,13.10125,,,,,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.08408333333333 13.10125, 80.0825 13.103166666666667)"
9,T.NO 8,,S,DA,26,09-Aug,271.5916052,8.58,26,,80.0825,13.10316667,,,,,GOOD,GOOD,LT-1,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.0825 13.103166666666667, 80.08094444444444 13.104944444444444)"
10,T.NO 7,,S,DA,26,08-Jul,257.6140524,4.85,23,,80.08094444,13.10494444,,,,,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.08094444444444 13.104944444444444, 80.07947222222222 13.10675)"
11,T.NO 6,,S,DA,26,07-Jun,256.9065978,8.25,26,,80.07947222,13.10675,,,,,GOOD,GOOD,LT-1,ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.07947222222222 13.10675, 80.07836111111111 13.108083333333333)"
