S.No,Tower No.,Joint Box,Tower Suspension / Tension,Tower Type,Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),Ground Elevation,Deviation Angle,Latitude,Longitude,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing,  Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
1,GANTRY SUNGAVACHATRAM 110KV S/S,2W,GT,GT,15,,,,,,12.9026,79.879,GOOD,NO EARTH WIRE,,,INISDE SS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.879 12.9026, 79.8792 12.9026)"
2,T.NO-1,,T,DD,28,GT-1,16.1245154965971,2.14,75,"41°41'15"" ",12.9026,79.8792,GOOD,GOOD,,TAR-1,INSIDE SS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.8792 12.9026, 79.8796 12.9029)"
3,T.NO-2,,T,DD,28,1-2,54.644304369257,2.86,74,"38°20'5"" ",12.9029,79.8796,GOOD,NO EARTH WIRE,,,INSIDE SS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.8796 12.9029, 79.8797 12.9033)"
4,T.NO-2A GT,,GT,GT,15,2-2A,40.8044115262063,3.07,75,,12.9033,79.8797,GOOD,NO EARTH WIRE,,,INSIDE SS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.8797 12.9033, 79.8797 12.9035)"
5,T.NO-2B GT,,GT,GT,15,2A-2B,26.3058928759318,3.19,73,,12.9035,79.8797,GOOD,NO EARTH WIRE,,,INSIDE SS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.8797 12.9035, 79.8798 12.9038)"
6,T.NO-3,,T,DD,28,2B-3,39.319206502675,3.34,74,"22°21'25"" ",12.9038,79.8798,GOOD,NO EARTH WIRE,,,INSIDE SS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.8798 12.9038, 79.8795 12.9049)"
7,T.NO-4,,T,DD,28,3-4,123.227432010896,3.27,74,"59°57'48"" ",12.9049,79.8795,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.8795 12.9049, 79.8776 12.9054)"
8,T.NO-5,,T,DD,28,4-5,204.97072961767,3.4,74,"3°46'46"" ",12.9054,79.8776,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.8776 12.9054, 79.8757 12.9058)"
9,T.NO-6,,T,DD,28,5-6,216.120336849636,4.19,75,"7°13'44"" ",12.9058,79.8757,GOOD,NO EARTH WIRE,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.8757 12.9058, 79.8754 12.9059)"
10,T.NO-6A(DP),,GT,GT,15,6-6A,34.7850542618522,,73,,12.9059,79.8754,GOOD,NO EARTH WIRE,400KV-1 XING ABOVE(SVC - NORTH MADRAS),,PLAIN,WATER LOGGED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.8754 12.9059, 79.8751 12.906)"
11,T.NO-6B(DP),,GT,GT,15,6A-6B,35.4400902933387,,75,,12.906,79.8751,GOOD,NO EARTH WIRE,,,PLAIN,WATER LOGGED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.8751 12.906, 79.8748 12.9059)"
12,T.NO-7,,T,DD,28,6B-7,29.4278779391243,4.8,76,"12°28'36"" ",12.9059,79.8748,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.8748 12.9059, 79.874 12.9059)"
13,T.NO-8,,T,DD,28,7-8,85.0940655980192,,72,"83°39'27"" ",12.9059,79.874,GOOD,GOOD,,,PLAIN,WATER LOGGED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.874 12.9059, 79.8738 12.9086)"
14,T.NO-9,,T,DD,28,8-9,298.60509037858,,70,"3°16'16"" ",12.9086,79.8738,GOOD,GOOD,,,PLAIN,WATER LOGGED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.8738 12.9086, 79.8738 12.91)"
15,T.NO-10,,T,DD,28,9-10,152.003289438091,,72,"71°53'20"" ",12.91,79.8738,GOOD,GOOD,,MUD-1,PLAIN,HEAVY BUSHES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.8738 12.91, 79.872 12.9106)"
16,T.NO-11,,T,DD,28,10-11,206.828431314459,3.2,70,"60°40'46"" ",12.9106,79.872,GOOD,GOOD,,MUD-1,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.872 12.9106, 79.8699 12.9086)"
17,T.NO-12,,T,DD,28,11-12,315.572495632937,3.27,71,"34°14'43"" ",12.9086,79.8699,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.8699 12.9086, 79.8673 12.9082)"
18,T.NO-13,,S,DA,26,12-13,284.270997465447,3.31,71,,12.9082,79.8673,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.8673 12.9082, 79.865 12.9079)"
