S. No ,Tower No,Supspension/Tension,Tower Type,Tower Hight (Mtrs),Span Between Tower No.,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation,Horizontal Angle(˚),Longitude,Latitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earth wire (Missing,Broken etc)",Crossing Objects,,Condition of Area (PLAIN/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
1,GT 230KV MOSUR SS,T,GANTRY,15,,,,83,,79.68622222222223,13.096611111111113,GOOD,MISSING,,,PLAIN,230KV MOSUR SS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.68622222222223 13.096611111111113, 79.68611111111112 13.09613888888889)"
2,T.NO 1,T       ,DD,28,GT-1,51.4198405287298,2.78,84,"110°3'59""",79.68611111111112,13.09613888888889,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.68611111111112 13.09613888888889, 79.68786111111112 13.096361111111111)"
3,T.NO 2,T,DB,24,1-2,192.262840923565,3.15,85,"0°22'39""",79.68786111111112,13.096361111111111,GOOD,GOOD,LT1,ROAD1,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.68786111111112 13.096361111111111, 79.68994444444445 13.096666666666668)"
4,T.NO 3,S,DA,26,2-3,227.407123898967,4.36,84,,79.68994444444445,13.096666666666668,GOOD,GOOD,,MUD ROAD1,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.68994444444445 13.096666666666668, 79.69219444444445 13.096833333333334)"
5,T.NO 4,T,DB,24,3-4,245.660334608581,4.85,86,"9°0'38""",79.69219444444445,13.096833333333334,GOOD,GOOD,HT2,ROAD1,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.69219444444445 13.096833333333334, 79.69433333333333 13.097472222222223)"
6,T.NO 5,S,DA,26,4-5,240.127049704943,4.05,86,,79.69433333333333,13.097472222222223,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.69433333333333 13.097472222222223, 79.69655555555556 13.098027777777778)"
7,T.NO 6,T,DD,28,5-6,248.116907928501,5.25,86,"78°1'21""",79.69655555555556,13.098027777777778,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.69655555555556 13.098027777777778, 79.69725 13.096694444444445)"
8,T.NO 7/1 MOSUR 110KV LILO,T,DD,28,6-7,166.373074744683,4.05,85,"82°30'22""",79.69725,13.096694444444445,GOOD,GOOD,"HT2,LT1",HIGHWAY ROAD1,PLAIN,MOSUR 110KV LILO NEED 3WAY JUNCTION BOX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.69725 13.096694444444445, 79.69825 13.097055555555556)"
9,T.NO 8,T,DB,24,7-8,115.767007389843,5.42,87,"0°31'44""",79.69825,13.097055555555556,GOOD,GOOD,110KV,MUDROAD,PLAIN,MOSUR-PALLUR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.69825 13.097055555555556, 79.70061111111112 13.097777777777779)"
10,T.NO 9,S,DA,26,8-9,268.50884529192,4.98,86,,79.70061111111112,13.097777777777779,GOOD,GOOD,HT-1,MUDROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.70061111111112 13.097777777777779, 79.70308333333334 13.098694444444446)"
11,T.NO 10,S,DA,26,9-10,286.048946860498,5.67,83,,79.70308333333334,13.098694444444446,GOOD,GOOD,HT-1,MUDROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.70308333333334 13.098694444444446, 79.70544444444445 13.099555555555556)"
12,T.NO 11,S,DA,26,10-11,274.59060435492,4.42,81,,79.70544444444445,13.099555555555556,GOOD,GOOD,LT-1,TAARROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.70544444444445 13.099555555555556, 79.70611111111111 13.09975)"
13,T.NO 12,T,DB,24,11-12,73.0821455623739,3.8,80,"0°49'30""",79.70611111111111,13.09975,GOOD,GOOD,HT-1,MUDROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.70611111111111 13.09975, 79.70655555555555 13.100027777777777)"
14,DP1,T,DP,15,12-DP1,58.309518948453,DP,79,,79.70655555555555,13.100027777777777,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.70655555555555 13.100027777777777, 79.70683333333334 13.100111111111111)"
15,DP2,T,DP,15,DP1-DP2,30.364452901378,DP,79,,79.70683333333334,13.100111111111111,GOOD,MISSING,230KV ,,PLAIN,ATHIPATTU-ALAMATHI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.70683333333334 13.100111111111111, 79.70722222222223 13.100166666666667)"
16,T.NO 13,T,DB,24,DP2-13,42.2965719651132,3.58,79,"0°49'13""",79.70722222222223,13.100166666666667,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.70722222222223 13.100166666666667, 79.70794444444445 13.1005)"
17,T.NO 14,S,DA,26,13-14,87.2353139502575,IN WATER,78,,79.70794444444445,13.1005,GOOD,GOOD,,,WATER LOGGED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.70794444444445 13.1005, 79.71044444444445 13.101277777777778)"
18,T.NO 15,S,DA,26,14-15,284.971928442084,3.51,79,,79.71044444444445,13.101277777777778,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.71044444444445 13.101277777777778, 79.71272222222223 13.102083333333333)"
19,T.NO 16,S,DA,26,15-16,263.150147254376,IN WATER,78,,79.71272222222223,13.102083333333333,GOOD,GOOD,,,WATER LOGGED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.71272222222223 13.102083333333333, 79.7135 13.102333333333332)"
20,T.NO 17,T,DB,24,16-17,87.2811548961172,3.86,78,"1°0'12""",79.7135,13.102333333333332,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.7135 13.102333333333332, 79.71391666666666 13.102583333333333)"
21,DP1,T,DP,15,17-DP1,51.9711458407451,DP,78,,79.71391666666666,13.102583333333333,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.71391666666666 13.102583333333333, 79.71422222222222 13.102694444444444)"
22,DP2,T,DP,15,DP1-DP2,36.4005494464026,DP,78,,79.71422222222222,13.102694444444444,GOOD,MISSING,400KV,,PLAIN,CDP-MDS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.71422222222222 13.102694444444444, 79.71463888888889 13.102722222222221)"
23,T.NO 18,T,DB,24,DP2-18,46.0434577328854,4.07,78,"1°4'2""",79.71463888888889,13.102722222222221,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.71463888888889 13.102722222222221, 79.71561111111112 13.103055555555555)"
24,T.NO 19,S,DA,26,18-19,112.605506082074,6.15,79,,79.71561111111112,13.103055555555555,GOOD,GOOD,LT-1,TAARROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.71561111111112 13.103055555555555, 79.71813888888889 13.103916666666667)"
25,T.NO 20,S,DA,26,19-20,290.621747293626,4.718,75,,79.71813888888889,13.103916666666667,GOOD,GOOD,,MUD ROAD1,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.71813888888889 13.103916666666667, 79.72075 13.104861111111111)"
26,T.NO 21,S,DA,26,20-21,298.600066979229,4.73,75,,79.72075,13.104861111111111,GOOD,GOOD,,POND,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.72075 13.104861111111111, 79.72330555555556 13.105722222222221)"
27,T.NO 22,S,DA,26,21-22,294.108823397055,5.28,76,,79.72330555555556,13.105722222222221,GOOD,GOOD,,MUD ROAD1,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.72330555555556 13.105722222222221, 79.72572222222223 13.10661111111111)"
28,T.NO 23,S,DA,26,22-23,281.852798460473,3.96,73,,79.72572222222223,13.10661111111111,GOOD,GOOD,,,WATER LOGGED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.72572222222223 13.10661111111111, 79.72816666666667 13.107444444444445)"
29,T.NO 24,S,DA,26,23-24,280.515596714336,2.36,73,,79.72816666666667,13.107444444444445,GOOD,GOOD,,POND,WATER LOGGED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.72816666666667 13.107444444444445, 79.73094444444445 13.10838888888889)"
30,T.NO 25,T,DB,24,24-25,318.441517393697,3.95,74,"0°6'3""",79.73094444444445,13.10838888888889,GOOD,GOOD,HT-1,POND,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.73094444444445 13.10838888888889, 79.73361111111112 13.109333333333334)"
31,T.NO 26,S,DA,26,25-26,306.202547344074,4.65,76,,79.73361111111112,13.109333333333334,GOOD,GOOD,LT-3,TAARROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.73361111111112 13.109333333333334, 79.73727777777778 13.11063888888889)"
32,T.NO 27,S,DA,26,26-27,423.851389050455,3.25,66,,79.73727777777778,13.11063888888889,GOOD,GOOD,LT-1,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.73727777777778 13.11063888888889, 79.73869444444445 13.11111111111111)"
33,T.NO 28,S,DA,26,27-28,160.962728605103,3.2,66,,79.73869444444445,13.11111111111111,GOOD,GOOD,,FOREST,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.73869444444445 13.11111111111111, 79.74122222222222 13.111972222222223)"
34,T.NO 29,S,DA,26,28-29,291.892103353277,4.17,66,,79.74122222222222,13.111972222222223,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.74122222222222 13.111972222222223, 79.74366666666667 13.112833333333333)"
35,T.NO 30,S,DA,26,29-30,279.571100080105,4.85,68,,79.74366666666667,13.112833333333333,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.74366666666667 13.112833333333333, 79.74472222222222 13.113194444444444)"
36,T.NO 31,T,DB,24,30-31,120.813906484312,5.89,69,"1°48'24""",79.74472222222222,13.113194444444444,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.74472222222222 13.113194444444444, 79.74511111111111 13.113472222222223)"
37,DP1,T,DP,15,31-DP1,52.4309069156733,DP,69,,79.74511111111111,13.113472222222223,GOOD,GOOD,LT-1,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.74511111111111 13.113472222222223, 79.74547222222222 13.113555555555555)"
38,DP2,T,DP,15,DP1-DP2,40.5215991787096,DP,70,,79.74547222222222,13.113555555555555,GOOD,MISSING,230KV,,PLAIN,ATHIPATTU-ALAMATHI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.74547222222222 13.113555555555555, 79.74580555555556 13.11361111111111)"
39,T.NO 32,T,DB,24,DP2-32,37.3363094051889,5.69,70,"3°9'54""",79.74580555555556,13.11361111111111,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.74580555555556 13.11361111111111, 79.74636111111111 13.113805555555555)"
40,T.NO 33,S,DA,26,32-33,64.1950153828161,6.1,69,,79.74636111111111,13.113805555555555,GOOD,GOOD,,,CULTIVACTION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.74636111111111 13.113805555555555, 79.74922222222223 13.114722222222222)"
41,T.NO 34,T,DB,24,33-34,324.778385980348,4.35,69,"7°25'10""",79.74922222222223,13.114722222222222,GOOD,GOOD,LT-3,TAARROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.74922222222223 13.114722222222222, 79.75158333333333 13.115166666666667)"
42,T.NO 35,S,DA,26,34-35,261.818639519802,5.28,69,,79.75158333333333,13.115166666666667,GOOD,GOOD,"LT-1,HT-1",TAARROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.75158333333333 13.115166666666667, 79.75436111111111 13.115194444444445)"
43,T.NO 36,S,DA,26,35-36,301,4.71,63,,79.75436111111111,13.115194444444445,GOOD,GOOD,LT-1,,CULTIVACTION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.75436111111111 13.115194444444445, 79.75702777777778 13.116194444444444)"
44,T.NO 37,S,DA,26,36-37,310.744267847373,3.72,65,,79.75702777777778,13.116194444444444,GOOD,GOOD,,,BUSHESS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.75702777777778 13.116194444444444, 79.75961111111111 13.116666666666667)"
45,T.NO 38,S,DA,26,37-38,283.622989195164,2.15,68,,79.75961111111111,13.116666666666667,GOOD,GOOD,,POND,WATER LOGGED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.75961111111111 13.116666666666667, 79.76213888888888 13.11713888888889)"
46,T.NO 39,S,DA,26,38-39,277.722883464795,2.76,65,,79.76213888888888,13.11713888888889,GOOD,GOOD,,"MUDROAD,POND",CULTIVACTION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.76213888888888 13.11713888888889, 79.76477777777778 13.117611111111112)"
47,T.NO 40,S,DA,26,39-40,292.836131650451,3.86,63,,79.76477777777778,13.117611111111112,GOOD,GOOD,LT-2,POND,WATER LOGGED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.76477777777778 13.117611111111112, 79.76741666666666 13.11813888888889)"
48,T.NO 41,T,DB,24,40-41,292.035956690268,2.96,61,"0°36'9""",79.76741666666666,13.11813888888889,GOOD,GOOD,,,WATER LOGGED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.76741666666666 13.11813888888889, 79.76988888888889 13.118555555555556)"
49,T.NO 42,T,DB,24,41-42,272.090058620303,5.36,56,"0°15'25""",79.76988888888889,13.118555555555556,GOOD,GOOD,"HT-1,LT-2",TAARROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.76988888888889 13.118555555555556, 79.77286111111111 13.119083333333334)"
50,T.NO 43,S,DA,26,42-43,325.848124131473,3.19,54,,79.77286111111111,13.119083333333334,GOOD,GOOD,LT-2,,CULTIVACTION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.77286111111111 13.119083333333334, 79.77555555555556 13.119583333333333)"
51,T.NO 44,S,DA,26,43-44,298.117426528541,1.95,56,,79.77555555555556,13.119583333333333,GOOD,GOOD,,,CULTIVACTION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.77555555555556 13.119583333333333, 79.77780555555556 13.120027777777779)"
52,T.NO 45,S,DA,26,44-45,247.315587862957,2.39,55,,79.77780555555556,13.120027777777779,GOOD,GOOD,,,WATER LOGGED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.77780555555556 13.120027777777779, 79.78058333333333 13.12052777777778)"
53,T.NO 46,S,DA,26,45-46,308.131465449408,3.72,56,,79.78058333333333,13.12052777777778,GOOD,GOOD,,,WATER LOGGED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.78058333333333 13.12052777777778, 79.78325 13.120972222222223)"
54,T.NO 47,T,DB,24,46-47,293.945573193406,4.151,56,"13°14'45""",79.78325,13.120972222222223,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.78325 13.120972222222223, 79.78583333333333 13.120888888888889)"
55,T.NO 48,S,DA,26,47-48,279.302703173457,5.13,55,,79.78583333333333,13.120888888888889,GOOD,GOOD,LT-5,TAARROAD,BUSHESS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.78583333333333 13.120888888888889, 79.7885 13.120750000000001)"
56,T.NO 49,S,DA,26,48-49,290.497848529038,3.26,45,,79.7885,13.120750000000001,GOOD,GOOD,"LT-2,HT-1",,CULTIVACTION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.7885 13.120750000000001, 79.79125 13.120611111111112)"
57,T.NO 50,S,DA,26,49-50,296.432117018382,4.67,46,,79.79125,13.120611111111112,GOOD,GOOD,LT-1,,CULTIVACTION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.79125 13.120611111111112, 79.79397222222222 13.120472222222222)"
58,T.NO 51,S,DA,26,50-51,296.487773778279,3.02,50,,79.79397222222222,13.120472222222222,GOOD,GOOD,HT-1,,CULTIVACTION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.79397222222222 13.120472222222222, 79.79663888888889 13.120361111111112)"
59,T.NO 52,T,DB,24,51-52,288.340076992429,4.38,48,"0°7'13""",79.79663888888889,13.120361111111112,GOOD,GOOD,"765KV  ,   LT-1",CANAL,CULTIVACTION,VILUPURAM - NORTH CHENNAI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.79663888888889 13.120361111111112, 79.7991111111111 13.120222222222223)"
60,T.NO 53,S,DA,26,52-53,270.534655820655,2.37,47,,79.7991111111111,13.120222222222223,GOOD,GOOD,"HT-1,LT-1",TAARROAD,WATER LOGGED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.7991111111111 13.120222222222223, 79.80180555555555 13.120083333333334)"
61,T.NO 54,S,DA,26,53-54,291.386341478114,2.71,46,,79.80180555555555,13.120083333333334,GOOD,GOOD,,CANAL,WATER LOGGED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.80180555555555 13.120083333333334, 79.80472222222222 13.119944444444444)"
62,T.NO 55,S,DA,26,54-55,316.512243049143,3.88,51,,79.80472222222222,13.119944444444444,GOOD,GOOD,,,CULTIVACTION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.80472222222222 13.119944444444444, 79.80722222222222 13.119833333333334)"
63,T.NO 56,S,DA,26,55-56,271.361382661572,4.27,51,,79.80722222222222,13.119833333333334,GOOD,GOOD,,,CULTIVACTION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.80722222222222 13.119833333333334, 79.80983333333333 13.119694444444445)"
64,T.NO 57,T,DB,24,56-57,282.398654387729,4.51,52,"0°32'8""",79.80983333333333,13.119694444444445,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.80983333333333 13.119694444444445, 79.81016666666666 13.11975)"
65,DP1,T,DP,15,57-DP1,39.6232255123179,DP,52,,79.81016666666666,13.11975,GOOD,GOOD,,CANAL,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.81016666666666 13.11975, 79.81044444444444 13.11975)"
66,DP2,T,DP,15,DP1-DP2,30.0166620396073,DP,52,,79.81044444444444,13.11975,GOOD,MISSING,400KV,,PLAIN,TVLM-ALM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.81044444444444 13.11975, 79.81083333333333 13.119666666666667)"
67,T.NO 58,T,DB,24,DP2-58,41.4849370253831,3.71,51,"0°39'8""",79.81083333333333,13.119666666666667,GOOD,GOOD,,,WATER LOGGED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.81083333333333 13.119666666666667, 79.81283333333333 13.119555555555555)"
