S.No,Tower No.,,Tower Suspension / Tension,Tower Type,Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),Ground Elevation,Deviation Angle,Latitude,Longitude,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire ( Missing,  Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
1,Kancheepuram Gantry,Joint Box,,Gantry,15,-,-,-,85,,12.851075,79.69568056,GOOD,-,-,-,Plain,No Peak Available on Gantry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.69568055555555 12.851075, 79.69604722222222 12.8515)"
2,1,2W,Tension,SD+0,28,4-5,65,2.1,84,"38°13'51.88""RT",12.8515,79.69604722,GOOD,NO E/W,-,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.69604722222222 12.8515, 79.6977888888889 12.851861111111111)"
3,2,,Suspension,SA+0,26,5-6,198,-,84,,12.85186111,79.69778889,GOOD,GOOD,Two HT,-,Water Logged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.6977888888889 12.851861111111111, 79.70054166666667 12.8523)"
4,3,,Tension,DD+9,37,6-7,304,-,85,"6°58’26.39""RT",12.8523,79.70054167,GOOD,GOOD,Two 11kv,Road,Water Logged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.70054166666667 12.8523, 79.70171944444445 12.852333333333332)"
5,4,,Tension,DD+9,37,7-8,129,5.2,83,"11°18’39.47""RT",12.85233333,79.70171944,GOOD,GOOD,25kv,Railway,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.70171944444445 12.852333333333332, 79.70443888888889 12.851866666666666)"
6,5,,Suspension,SA+10,36,8-9,304,2.8,82,,12.85186667,79.70443889,GOOD,GOOD,-,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.70443888888889 12.851866666666666, 79.7059888888889 12.85155)"
7,6,,Suspension,SA+10,36,9-10,176,6,82,,12.85155,79.70598889,GOOD,GOOD,-,Flyover Road Under construction,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.7059888888889 12.85155, 79.70873888888889 12.851011111111111)"
8,7,,Suspension,SA+10,36,10-11,308,2.3,81,,12.85101111,79.70873889,GOOD,GOOD,"Two LT, HT","SH, Three Roads",Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.70873888888889 12.851011111111111, 79.71152222222223 12.850491666666667)"
9,8,,Tension,SB+0,24,11-12,311,4.1,81,7°21’37.67”RT,12.85049167,79.71152222,GOOD,GOOD,"Two HT, Three LT",-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.71152222222223 12.850491666666667, 79.71360833333334 12.849833333333335)"
10,9,,Suspension,SA+0,26,12-13,241,0.2,81,,12.84983333,79.71360833,GOOD,GOOD,HT,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.71360833333334 12.849833333333335, 79.71603611111111 12.84905)"
