S.No,Tower No.,Tower Suspension / Tension,Tower Type (DC /SC ),Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),Ground Elevation,Deviation Angle,Longitude,Latitude,JB Location,Earthing Location,Erection Status,Erection remarks,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing, Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
64,T.NO 59 THIRUNINRAVOOR LILO,T,DB,24,58-59,111.75866856758807,9.85,38,"0°4'25""",80.01027777777777,13.08438888888889,,,,,GOOD,GOOD,,,PLAIN,THIRUNINRAVOOR LILO NEED 3WAY JUNCTION BOX,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.01027777777777 13.08438888888889, 80.00894444444444 13.084555555555555)"
65,T.NO 60,S,DA,26,59-60,145.24806367039804,7.62,39,,80.00894444444444,13.084555555555555,,,,,GOOD,GOOD,"LT,HT",ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.00894444444444 13.084555555555555, 80.00669444444445 13.084805555555556)"
66,T.NO 61,T,DB,24,60-61,247.4772716836841,13.28,35,"9°33'23""",80.00669444444445,13.084805555555556,,,,,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.00669444444445 13.084805555555556, 80.00422222222223 13.085500000000001)"
67,T.NO 62,S,DA,26,61-62,277.4833328328028,5.58,35,,80.00422222222223,13.085500000000001,,,,,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.00422222222223 13.085500000000001, 80.002 13.08613888888889)"
68,T.NO 63,S,DA,26,62-63,250.28184113115358,4.31,36,,80.002,13.08613888888889,,,,,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.002 13.08613888888889, 79.99952777777779 13.086777777777778)"
69,T.NO 64,S,DA,26,63-64,278.72925931807015,6.41,40,,79.99952777777779,13.086777777777778,,,,,GOOD,GOOD,LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.99952777777779 13.086777777777778, 79.99716666666667 13.087444444444445)"
70,T.NO 65,S,DA,26,64-65,264.2820463065927,8.05,44,,79.99716666666667,13.087444444444445,,,,,GOOD,GOOD,4-LT,"ROAD,MUDROAD",PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.99716666666667 13.087444444444445, 79.99477777777778 13.088111111111111)"
71,T.NO 66,S,DA,26,65-66,270.60118255469615,9.7,45,,79.99477777777778,13.088111111111111,,,,,GOOD,GOOD,HT-1 ,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.99477777777778 13.088111111111111, 79.99263888888889 13.088750000000001)"
72,T.NO 67,T,DB,24,66-67,242.26019070412704,6.75,39,"3°26'29""",79.99263888888889,13.088750000000001,,,,,GOOD,GOOD,"LT,HT-3",ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.99263888888889 13.088750000000001, 79.99027777777778 13.08925)"
73,T.NO 68,S,DA,26,67-68,263.24513290847375,12.1,43,,79.99027777777778,13.08925,,,,,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.99027777777778 13.08925, 79.9875 13.089861111111112)"
