Tower No,Tower Type,Tower Hight (Mtrs),Span Between Tower No.,Span length             (As per tower schedule) ,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation,Horizontal Angle(˚),Latitude,Longitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earht wire (Missing,Broken etc)",Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
25,DB,32,26-25,,342.052,5.31,186,"4*32'58""RT",12.158942093714046,79.038476499354,GOOD,GOOD,"HT-1,LT-2",NIL,PLAIN,D/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.038476499354 12.158942093714046, 79.03838183690425 12.156817392575228)"
24,DA,34,25-24,,235.306,4.3,183,,12.156817392575228,79.03838183690425,GOOD,GOOD,LT1,NIL,PLAIN,D/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.03838183690425 12.156817392575228, 79.0382271108983 12.154113806027976)"
23,DA,34,24-23,,299.604,2.4,178,,12.154113806027976,79.0382271108983,GOOD,GOOD,LT-1,NIL,PLAIN,D/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.0382271108983 12.154113806027976, 79.03811592882691 12.151735911600603)"
22,DB,32,23-22,,263.37,2.7,175,"6*38'03""RT",12.151735911600603,79.03811592882691,GOOD,GOOD,"HT-1,LT-1",ROAD,PLAIN,D/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.03811592882691 12.151735911600603, 79.03765806743269 12.149030174357636)"
21,DA,34,22-21,,303.488,2.8,177,,12.149030174357636,79.03765806743269,GOOD,GOOD,NIL,NIL,PLAIN,D/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.03765806743269 12.149030174357636, 79.03721778771799 12.146433023068441)"
20,DA,34,21-20,,292,1.8,179,,12.146433023068441,79.03721778771799,GOOD,GOOD,NIL,NIL,PLAIN,D/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.03721778771799 12.146433023068441, 79.03666187477276 12.143319861388848)"
19,DA,34,20-19,,349.721,1.3,179,,12.143319861388848,79.03666187477276,GOOD,GOOD,NIL,NIL,PLAIN,D/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.03666187477276 12.143319861388848, 79.0363630105132 12.141482941185197)"
18,DC,34,19-18,,205.827,0.61,183,"23*22'01""RT",12.141482941185197,79.0363630105132,GOOD,GOOD,LT-1,ROAD,PLAIN,D/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.0363630105132 12.141482941185197, 79.03531826658418 12.139893803462172)"
17,DA,34,18-17,,209.403,1.2,183,,12.139893803462172,79.03531826658418,GOOD,GOOD,LT-1,NIL,PLAIN,D/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.03531826658418 12.139893803462172, 79.03420989891276 12.138213827516338)"
16,DA,34,17-16,,221.605,2.8,180,,12.138213827516338,79.03420989891276,GOOD,GOOD,LT-1,NIL,PLAIN,D/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.03420989891276 12.138213827516338, 79.03314707321123 12.136588402986982)"
15,DA,34,16-15,,213.845,3.2,182,,12.136588402986982,79.03314707321123,GOOD,GOOD,NIL,NIL,PLAIN,D/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.03314707321123 12.136588402986982, 79.0317750106222 12.134545011595911)"
14,DA,34,15-14,,270.972,5.1,180,,12.134545011595911,79.0317750106222,GOOD,GOOD,LT-2,NIL,PLAIN,D/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.0317750106222 12.134545011595911, 79.03077591155596 12.133001380390509)"
