Tower No,Tower Type  (T/S),Tower Type,Tower Hight (Mtrs),Span Between Tower No.,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation/ M,Horizontal Angle(˚),Longitude,Latitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earht wire (Missing,Broken etc)",Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
T.NO 18,S,DA,26,19-18,231.4173718630475,14.28,182,,78.94758333333334,12.18961111111111,GOOD,GOOD,LT,,CULTIVATION ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.94758333333334 12.18961111111111, 78.94800000000001 12.187583333333334)"
T.NO 17,S,DA,26,18-17,228.47538160598398,13.18,181,,78.94800000000001,12.187583333333334,GOOD,GOOD,"LT,HT",,CULTIVATION ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.94800000000001 12.187583333333334, 78.94844444444445 12.185555555555556)"
T.NO 16,S,DA,26,17-16,228.87769659798658,9.7,179,,78.94844444444445,12.185555555555556,GOOD,GOOD,,,CULTIVATION ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.94844444444445 12.185555555555556, 78.949 12.18311111111111)"
T.NO 15,T,DB,24,16-15,276.72549575346324,12.09,178,"0°32'50""",78.949,12.18311111111111,GOOD,GOOD,,,CULTIVATION ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.949 12.18311111111111, 78.94936111111112 12.181249999999999)"
T.NO 14,S,DA,26,15-14,209.4755355644186,7.63,179,,78.94936111111112,12.181249999999999,GOOD,GOOD,LT,,CULTIVATION ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.94936111111112 12.181249999999999, 78.94977777777778 12.179166666666665)"
T.NO 13,S,DA,26,14-13,235.53555994796199,4.91,177,,78.94977777777778,12.179166666666665,GOOD,GOOD,,,CULTIVATION ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.94977777777778 12.179166666666665, 78.95027777777779 12.176805555555555)"
T.NO 12,S,DA,26,13-12,267.89923478800756,6.12,178,,78.95027777777779,12.176805555555555,GOOD,GOOD,,,CULTIVATION ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.95027777777779 12.176805555555555, 78.95080555555556 12.17436111111111)"
T.NO 11,S,DA,26,12-11,276.3277040037788,17.1,176,,78.95080555555556,12.17436111111111,GOOD,GOOD,LT,"ROAD,MUDROAD",CULTIVATION ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.95080555555556 12.17436111111111, 78.95127777777778 12.172055555555556)"
T.NO 10,T,DB,24,11-10,260.24795868555816,8.6,177,"1°18'6""",78.95127777777778,12.172055555555556,GOOD,GOOD,LT,MUDROAD,"CANAL,PLAIN",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.95127777777778 12.172055555555556, 78.9516388888889 12.170166666666667)"
T.NO 9,T,DB,24,10-9,211.09239683134018,7.33,177,"7°16'4""",78.9516388888889,12.170166666666667,GOOD,GOOD,2NOD LT,"ROAD,MUDROAD",PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.9516388888889 12.170166666666667, 78.95238888888889 12.16786111111111)"
