S. No ,Tower No,Joint Box,Supspension/Tension,Tower Type,Tower Hight (Mtrs),Span Between Tower No.,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation,Horizontal Angle(˚),Longitude,Latitude,JB Location,Earthing Location,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earth wire (Missing,Broken etc)",Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
1,GT 110KV CHEYYUR SS,2W,T,GT,15,,,,34,,79.98369444,12.36875,Yes,,GOOD,MISSING,,,,110KV CHEYYUR SS,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.98369444444444 12.36875, 79.98425 12.369166666666667)"
2,T.NO 98,,T,DD,28,GT-98,77.84399781,4.21,32,"52°33'50""",79.98425,12.36916667,,,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.98425 12.369166666666667, 79.98438888888889 12.372055555555557)"
3,T.NO 97,,T,DD,28,98-97,321.3061036,4.97,33,"52°57'37""",79.98438889,12.37205556,,,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.98438888888889 12.372055555555557, 79.98188888888889 12.374055555555556)"
4,T.NO 96,,S,DA,26,97-96,349.1407761,3.69,30,,79.98188889,12.37405556,,,GOOD,GOOD,"2nos HT,LT",TAAR ROAD,CULTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.98188888888889 12.374055555555556, 79.97977777777778 12.37575)"
5,T.NO 95,,T,DD,28,96-95,299.9665533,5.32,31,"37°40'9""",79.97977778,12.37575,,,GOOD,GOOD,HT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.97977777777778 12.37575, 79.9791388888889 12.378472222222223)"
6,T.NO 94,,S,DA,26,95-94,309.3666649,5.71,34,,79.97913889,12.37847222,,,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.9791388888889 12.378472222222223, 79.9786111111111 12.380666666666666)"
7,T.NO 93 VELLUR LILO ,3W,T,DC,26,94-93,248.4206944,6.81,37,"29°23'35""",79.97861111,12.38066667,Yes,,GOOD,GOOD,,,PLAIN,VELLUR LILO NEED 3WAY NEED JUNCTION BOX,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.9786111111111 12.380666666666666, 79.97877777777778 12.381166666666667)"
8,T.NO 1,,T,DD,28,93-1,60.48108943,5.97,29,"43°5'12""",79.97877778,12.38116667,,,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.97877777777778 12.381166666666667, 79.98075 12.382305555555556)"
9,T.NO 2,,S,DA,26,01-Feb,249.6966023,6.35,25,,79.98075,12.38230556,,,GOOD,GOOD,LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.98075 12.382305555555556, 79.98302777777778 12.383722222222222)"
10,T.NO 3,,S,DA,26,02-Mar,294.3018923,4.82,25,,79.98302778,12.38372222,,,GOOD,GOOD,HT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.98302777777778 12.383722222222222, 79.98519444444445 12.384916666666665)"
11,T.NO 4,,S,DA,26,03-Apr,269.1734513,4.91,24,,79.98519444,12.38491667,,,GOOD,GOOD,2nos LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.98519444444445 12.384916666666665, 79.98730555555555 12.386111111111111)"
12,T.NO 5,,T,DB,24,04-May,267.0545057,3.98,24,"12°31'44""",79.98730556,12.38611111,,,GOOD,GOOD,LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.98730555555555 12.386111111111111, 79.98869444444445 12.38738888888889)"
13,T.NO 6,,T,DC,26,05-Jun,206.915031,4.12,26,"24°42'23""",79.98869444,12.38738889,,,GOOD,GOOD,HT,TAAR ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.98869444444445 12.38738888888889, 79.99088888888889 12.38811111111111)"
14,T.NO 7,,S,DA,26,06-Jul,253.0337279,4.31,28,,79.99088889,12.38811111,,,GOOD,GOOD,LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.99088888888889 12.38811111111111, 79.993 12.388805555555555)"
