S.No,Tower No.,Joint Box,Tower Suspension / Tension,Tower Type,Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),Ground Elevation,Deviation Angle,Latitude,Longitude,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire ( Missing,  Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
1,Vinnamangalam Gantry,2W,,Gantry,15,-,-,-,343,,12.73473056,78.68060833,-,-,-,-,Plain,No peak Available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.68060833333334 12.734730555555554, 78.68124444444445 12.734608333333332)"
2,1,,Tension,DD+0,28,4-5,79,5,340,"63°31'33.52""RT",12.73460833,78.68124444,GOOD,NO E/W,33kv,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.68124444444445 12.734608333333332, 78.68178611111112 12.732797222222223)"
3,2,,Tension,DD+0,28,5-6,210,12.9,340,"21°20'42.4""LT",12.73279722,78.68178611,GOOD,GOOD,LT,NH,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.68178611111112 12.732797222222223, 78.68256944444445 12.731719444444444)"
4,3,,Tension,DD+0,28,6-7,149,4.5,348,"6°4'50.18""LT",12.73171944,78.68256944,GOOD,GOOD,LT,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.68256944444445 12.731719444444444, 78.68307222222222 12.730866666666667)"
5,4,,Tension,DD+0,28,7-8,114,1.9,348,"4°18’55.78""RT",12.73086667,78.68307222,GOOD,GOOD,25kv,Railway Crossing,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.68307222222222 12.730866666666667, 78.68434722222223 12.728283333333334)"
6,5,2W,Tension,DD+0,28,8-9,322,5,353,"102°8'53.34""LT",12.72828333,78.68434722,GOOD,GOOD,-,-,Plain,LILO Tower,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.68434722222223 12.728283333333334, 78.685675 12.729308333333334)"
7,6,,Tension,SB+0,24,9-10,187,3.2,351,"2°48’45.86""RT",12.72930833,78.685675,GOOD,GOOD,-,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.685675 12.729308333333334, 78.68768611111112 12.730752777777777)"
8,7,,Suspension,SA+0,26,10-11,274,1.2,347,,12.73075278,78.68768611,GOOD,GOOD,LT,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.68768611111112 12.730752777777777, 78.689525 12.732125)"
9,8,,Suspension,SA+0,26,11-12,258,2.2,345,,12.732125,78.689525,GOOD,GOOD,LT,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.689525 12.732125, 78.69147222222223 12.733541666666666)"
10,9,,Suspension,SA+0,26,12-13,264,2,343,,12.73354167,78.69147222,GOOD,GOOD,-,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.69147222222223 12.733541666666666, 78.6934 12.73498611111111)"
11,10,,Suspension,SA+0,26,13-14,265,2.4,343,,12.73498611,78.6934,GOOD,GOOD,Two LT,"CTR, Road",Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.6934 12.73498611111111, 78.69528611111112 12.736341666666666)"
12,11,,Suspension,SA+0,26,14-15,262,3.7,338,,12.73634167,78.69528611,GOOD,GOOD,"LT, 11kv",-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.69528611111112 12.736341666666666, 78.69710555555555 12.737675)"
13,12,,Suspension,SA+0,26,15-16,249,4.2,343,,12.737675,78.69710556,GOOD,GOOD,-,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.69710555555555 12.737675, 78.69908055555555 12.739094444444444)"
14,13,,Suspension,SA+0,26,16-17,269,5,340,,12.73909444,78.69908056,GOOD,GOOD,-,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.69908055555555 12.739094444444444, 78.70092777777778 12.740463888888888)"
15,14,2W,Tension,SB+0,24,17-18,257,1.4,345,"0°47'51.68""RT",12.74046389,78.70092778,GOOD,GOOD,LT,Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.70092777777778 12.740463888888888, 78.70306666666667 12.742027777777777)"
16,15,,Suspension,SA+0,26,18-19,293,3.1,340,,12.74202778,78.70306667,GOOD,GOOD,"LT, 11kv",CTR,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.70306666666667 12.742027777777777, 78.70516111111111 12.743555555555554)"
17,16,,Suspension,SA+0,26,19-20,283,2.7,339,,12.74355556,78.70516111,GOOD,GOOD,-,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.70516111111111 12.743555555555554, 78.70714722222222 12.745)"
18,17,,Suspension,SA+0,26,20-21,274,4,342,,12.745,78.70714722,GOOD,GOOD,LT,Canal,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.70714722222222 12.745, 78.70959722222223 12.746819444444444)"
19,18,,Suspension,SA+0,26,21-22,328,7.2,340,,12.74681944,78.70959722,GOOD,GOOD,Two LT,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.70959722222223 12.746819444444444, 78.711875 12.748438888888888)"
20,19,,Suspension,SA+0,26,22-23,318,3.5,343,,12.74843889,78.711875,GOOD,GOOD,"LT, 11kv",-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.711875 12.748438888888888, 78.71411388888889 12.750066666666667)"
21,20,,Suspension,SA+0,26,23-24,306,2.6,343,,12.75006667,78.71411389,GOOD,GOOD,Three LT,"Road, CTR",Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.71411388888889 12.750066666666667, 78.71621944444445 12.75155)"
22,21,,Suspension,SA+0,26,24-25,280,5.2,347,,12.75155,78.71621944,GOOD,GOOD,"Three LT, 11kv",CTR,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.71621944444445 12.75155, 78.71794722222222 12.752855555555556)"
23,22,2W,Tension,SD+0,28,25-26,246,1.5,355,"37°14'46.1""LT",12.75285556,78.71794722,GOOD,GOOD,LT,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.71794722222222 12.752855555555556, 78.71869722222222 12.755419444444444)"
