S.No,Tower No.,Joint Box,Tower Suspension / Tension,Tower Type,Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),Ground Elevation,Deviation Angle,Latitude,Longitude,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire ( Missing,  Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
22,37,,Suspension,SA+0,26,36-37,251,0.8,306,,12.82730278,78.77542222,GOOD,GOOD,Two LT,Two Roads,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.77542222222222 12.827302777777778, 78.77730833333334 12.828447222222222)"
23,38,,Suspension,SA+0,26,37-38,247,5.1,315,,12.82844722,78.77730833,GOOD,GOOD,Two LT,CTR,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.77730833333334 12.828447222222222, 78.77915 12.829547222222223)"
24,39,,Suspension,SA+0,26,38-39,238,8.2,315,,12.82954722,78.77915,GOOD,GOOD,-,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.77915 12.829547222222223, 78.78076388888888 12.830519444444445)"
25,40,,Tension,SB+0,24,39-40,210,2.3,315,"0°22’48.34""LT",12.83051944,78.78076389,GOOD,GOOD,-,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.78076388888888 12.830519444444445, 78.78271388888889 12.831730555555556)"
26,41,,Tension,SB+3,27,40-41,257,4.5,343,"0°31’32.88""RT",12.83173056,78.78271389,GOOD,GOOD,-,-,Hilly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.78271388888889 12.831730555555556, 78.78475833333333 12.832938888888888)"
27,42,,Tension,SB+0,24,41-42,265,2.3,316,"0°47’13.84""RT",12.83293889,78.78475833,GOOD,GOOD,-,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.78475833333333 12.832938888888888, 78.78651666666667 12.833947222222223)"
28,43,,Suspension,SA+0,26,42-43,230,7.2,317,,12.83394722,78.78651667,GOOD,GOOD,LT,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.78651666666667 12.833947222222223, 78.78836666666666 12.835094444444445)"
29,44,,Suspension,SA+3,29,43-44,237,2.5,318,,12.83509444,78.78836667,GOOD,GOOD,-,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.78836666666666 12.835094444444445, 78.79004444444445 12.836066666666667)"
30,45,,Suspension,SA+0,26,44-45,221,4.5,316,,12.83606667,78.79004444,GOOD,GOOD,LT,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.79004444444445 12.836066666666667, 78.79176388888888 12.83716388888889)"
31,46,2W,Tension,SB+0,24,45-46,227,5,317,2°22’38.81”RT,12.83716389,78.79176389,GOOD,GOOD,LT,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.79176388888888 12.83716388888889, 78.79362499999999 12.838236111111112)"
32,47,,Suspension,SA+0,26,46-47,242,0.4,317,,12.83823611,78.793625,GOOD,GOOD,-,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.79362499999999 12.838236111111112, 78.79576944444445 12.839547222222222)"
