S.No,Tower No.,Joint Box,Tower Suspension / Tension,Tower Type (DC /SC ),Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),Ground Elevation,Deviation Angle,Latitude,Longitude,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing, Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
1,Gantry ( MAMBAKKAM SS ),2W,T,H-POLE,15,,,-,21.842468,,12.82622997,80.16250097,GOOD,,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.1625009719282 12.8262299671769, 80.1622688770294 12.8261026460677)"
2,25,,T,DC,28,Gantry  - 25,33.35739796,3.4,21.360941,76°52'54''RT,12.82610265,80.16226888,GOOD,NO E/W,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.1622688770294 12.8261026460677, 80.1613709237426 12.8270701691508)"
3,24,,T,DC,28,25 - 24,149.2303983,-,20,0°5'21''LT,12.82707017,80.16137092,GOOD,AVAILABLE,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.1613709237426 12.8270701691508, 80.1601290609687 12.8284040652215)"
4,23,,T,DC,28,24 - 23,204.3190766,-,20,1°18'28''RT,12.82840407,80.16012906,GOOD,AVAILABLE,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.1601290609687 12.8284040652215, 80.1586442906409 12.8300738241523)"
5,22,,T,DC,28,23 - 22,249.5869011,-,21,0°1'24''RT,12.83007382,80.15864429,GOOD,AVAILABLE,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.1586442906409 12.8300738241523, 80.1576090417802 12.8312389925122)"
6,21,,T,DC,28,22 - 21,175.463399,-,26.128933,103°16'2''LT,12.83123899,80.15760904,GOOD,AVAILABLE,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.1576090417802 12.8312389925122, 80.1579660270363 12.83172740601)"
7,20,,T,DC,28,21 - 20,70.97360599,1.7,21.696371,136°39'12''RT,12.83172741,80.15796603,GOOD,AVAILABLE,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.1579660270363 12.83172740601, 80.1577330101281 12.8334190417081)"
8,19,,T,DC,28,20 - 19,193.2898806,4.66,24.593382,11°17'42''LT,12.83341904,80.15773301,GOOD,AVAILABLE,LT -4,ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.1577330101281 12.8334190417081, 80.1572178583592 12.8348877187818)"
9,18,,T,DC,28,19 - 18,176.2821261,5.2,24.564917,48°49'12''LT,12.83488772,80.15721786,GOOD,AVAILABLE,"LT,HT",,CITY AREA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.1572178583592 12.8348877187818, 80.1555979717522 12.8355359751731)"
10,17,,T,DC,28,18 - 17,194.3536632,1.58,26.145912,40°29'41''RT,12.83553598,80.15559797,GOOD,AVAILABLE,HT-3,,CITY AREA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.1555979717522 12.8355359751731, 80.1547819934785 12.8370860405266)"
11,16,,T,SC,25,17 - 16,197.4516881,6.01,28.249844,1°17'23''RT,12.83708604,80.15478199,GOOD,AVAILABLE,"LT, HT",,CITY AREA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.1547819934785 12.8370860405266, 80.1542400196194 12.8381750173866)"
12,15,,T,SC,25,16 - 15,138.5314351,2.8,26.954657,146°59'16''LT,12.83817502,80.15424002,GOOD,AVAILABLE,"LT, HT",,CITY AREA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.1542400196194 12.8381750173866, 80.1545020379126 12.8402740135788)"
13,14,2W,T,SC,25,15 - 14,238.3764086,5.03,25.255737,23°52'49''RT,12.84027401,80.15450204,GOOD,AVAILABLE,"LT, HT",ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.1545020379126 12.8402740135788, 80.1554539706557 12.8418369870632)"
14,13,,S,SC,25,14 - 13,205.8758282,7.49,25.209866,,12.84183699,80.15545397,GOOD,AVAILABLE,,VIT college,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.1554539706557 12.8418369870632, 80.1563940010964 12.8434540238231)"
15,12,,S,SC,25,13-Dec,210.3877204,3.67,24.931662,,12.84345402,80.156394,GOOD,AVAILABLE,,VIT college,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.1563940010964 12.8434540238231, 80.1572839915752 12.8450070228427)"
16,11,,T,SC,25,12-Nov,201.5486066,2.05,22.198235,141°19'7''RT,12.84500702,80.15728399,GOOD,AVAILABLE,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.1572839915752 12.8450070228427, 80.1570359710603 12.8464880213141)"
17,10,,S,SC,25,11-Oct,170.489712,2.06,20.471087,,12.84648802,80.15703597,GOOD,AVAILABLE,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.1570359710603 12.8464880213141, 80.1567440293729 12.8481450397521)"
18,9,,S,SC,25,10-Sep,190.4785393,1.43,20.282562,,12.84814504,80.15674403,GOOD,AVAILABLE,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.1567440293729 12.8481450397521, 80.1564459688961 12.8499759826809)"
19,8,,T,SC,25,09-Aug,209.5627019,3.9,20.561327,25°43'39''LT,12.84997598,80.15644597,GOOD,AVAILABLE,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.1564459688961 12.8499759826809, 80.1552699878811 12.851636018604)"
20,7,,T,SC,25,08-Jul,228.0891684,1.67,20.224314,7°19'45''RT,12.85163602,80.15526999,GOOD,AVAILABLE,LT,MUD ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.1552699878811 12.851636018604, 80.1542609743773 12.8535399679094)"
21,6,,T,SC,25,07-Jun,241.836903,2.15,20.39572,27°37'35''LT,12.85353997,80.15426097,GOOD,AVAILABLE,,MUD ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.1542609743773 12.8535399679094, 80.1525720208883 12.8546959999948)"
22,5,,T,SC,25,06-May,227.9664032,4.73,21.440725,30°2'23''RT,12.854696,80.15257202,GOOD,AVAILABLE,,MUD ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.1525720208883 12.8546959999948, 80.1515039987862 12.8569369856268)"
23,4,,S,SC,25,05-Apr,278.1043047,5.22,20.992407,,12.85693699,80.151504,GOOD,AVAILABLE,,CANAL,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.1515039987862 12.8569369856268, 80.1503740344196 12.8592629637569)"
24,3,,T,SC,25,04-Mar,289.4738885,3.75,20.801786,27°27'10''LT,12.85926296,80.15037403,GOOD,AVAILABLE,,CANAL,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.1503740344196 12.8592629637569, 80.1484239846467 12.8607080038636)"
25,2,,S,SC,25,03-Feb,269.6765191,2.01,23.385582,,12.860708,80.14842398,GOOD,AVAILABLE,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.1484239846467 12.8607080038636, 80.1465529762208 12.8620500303804)"
26,1,,T,SC,25,02-Jan,255.9956878,4.11,27.058872,5°12'15''RT,12.86205003,80.14655298,GOOD,AVAILABLE,LT,MUD ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.1465529762208 12.8620500303804, 80.1462290156632 12.8623299859464)"
