S.No,Tower No.,Joint Box,Tower Suspension / Tension,Tower Type,Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),Ground Elevation,Deviation Angle,Latitude,Longitude,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing,  Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
1,T.NO-22/A LILO,3W,T,DD,34,,,7.45,158,,12.6134,79.2884,GOOD,GOOD,,,PLAIN,"NEED THREE WAY JUNCTION BOX, T.NO-22/A OPGW DONE ALREADY",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.2884 12.6134, 79.289 12.6122)"
2,T.NO-22,,T,DD,28,22/A-22,151.2878052,7,158,"8°19'54"" ",12.6122,79.289,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.289 12.6122, 79.2897 12.6097)"
3,T.NO-23,,S,DA,26,22-23,281.726818,6.97,157,,12.6097,79.2897,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.2897 12.6097, 79.2905 12.6069)"
4,T.NO-24,,S,DA,26,23-24,326.3694226,5.25,158,,12.6069,79.2905,GOOD,GOOD,LT-1,"TAR-1,NALA-1",PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.2905 12.6069, 79.2914 12.6042)"
5,T.NO-25,,S,DA,26,24-25,313.0447252,7.94,159,,12.6042,79.2914,GOOD,GOOD,LT-1,NALA-1,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.2914 12.6042, 79.2921 12.6016)"
6,T.NO-26,,S,DA,26,25-26,293.8196726,6.31,154,,12.6016,79.2921,GOOD,GOOD,LT-1,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.2921 12.6016, 79.293 12.5988)"
7,T.NO-27,,S,DA,26,26-27,323.0804853,5.21,153,,12.5988,79.293,GOOD,GOOD,LT-1,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.293 12.5988, 79.2937 12.5961)"
8,T.NO-28,,T,DD,28,27-28,310.7426588,4.37,159,,12.5961,79.2937,GOOD,GOOD,,TAR-1,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.2937 12.5961, 79.2945 12.5935)"
9,T.NO-29,,S,DA,26,28-29,308.9239389,6.27,160,,12.5935,79.2945,GOOD,GOOD,11KV-1,MUD-1,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.2945 12.5935, 79.2953 12.5908)"
10,T.NO-30,,S,DA,26,29-30,304.9721299,6.49,159,,12.5908,79.2953,GOOD,GOOD,,MUD-1,PLAIN,WATER LOGGED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.2953 12.5908, 79.2962 12.588)"
11,T.NO-31,,S,DA,26,30-31,321.5618137,5.27,159,,12.588,79.2962,GOOD,GOOD,LT-1,MUD-1,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.2962 12.588, 79.297 12.5854)"
12,T.NO-32,,S,DA,26,31-32,305.7646153,5.1,158,,12.5854,79.297,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.297 12.5854, 79.2978 12.5828)"
13,T.NO-33,,S,DA,26,32-33,303.8420642,4.74,160,,12.5828,79.2978,GOOD,GOOD,"LT-1,11KV-1",MUD-1,PLAIN,WATER LOGGED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.2978 12.5828, 79.2985 12.5804)"
14,T.NO-34,,S,DA,26,33-34,266.2048084,3.27,160,,12.5804,79.2985,GOOD,GOOD,"LT-1,11KV-2",MUD-1,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.2985 12.5804, 79.2993 12.5775)"
15,T.NO-35,2W,T,DD,28,34-35,336.1220017,3.39,160,"1°22'18"" ",12.5775,79.2993,GOOD,GOOD,LT-1,RIVER-1,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.2993 12.5775, 79.3 12.5751)"
16,T.NO-36,,S,DA,30,35-36,276.0235497,4.42,160,,12.5751,79.3,GOOD,GOOD,,TAR-1,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.3 12.5751, 79.3006 12.5728)"
17,T.NO-37,,S,DA,26,36-37,265.0924367,5.1,161,,12.5728,79.3006,GOOD,GOOD,LT-1,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.3006 12.5728, 79.3012 12.5705)"
18,T.NO-38,,S,DA,26,37-38,264.3709515,5.27,161,,12.5705,79.3012,GOOD,GOOD,,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.3012 12.5705, 79.3018 12.5686)"
19,T.NO-39,,T,DD,28,38-39,217.3384457,6.71,161,"5°56'57"" ",12.5686,79.3018,GOOD,GOOD,LT-3,"MUD-1,TAR-1",PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.3018 12.5686, 79.3022 12.5658)"
20,T.NO-40,,S,DA,30,39-40,313.8486897,7.17,162,,12.5658,79.3022,RUSTED,GOOD,,MUD-1,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.3022 12.5658, 79.3027 12.5631)"
21,T.NO-41,,S,DA,26,40-41,300.6958596,7.1,162,,12.5631,79.3027,GOOD,GOOD,LT-1,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.3027 12.5631, 79.3031 12.5603)"
22,T.NO-42,,S,DA,26,41-42,318.9435687,6.17,162,,12.5603,79.3031,GOOD,GOOD,,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.3031 12.5603, 79.3036 12.5576)"
23,T.NO-43,,T,DD,28,42-43,301.5294347,5.37,162,"12°51'31"" ",12.5576,79.3036,GOOD,GOOD,LT-1,TAR-1,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.3036 12.5576, 79.3047 12.5549)"
24,T.NO-44,,S,DA,26,43-44,317.3546912,2.42,161,,12.5549,79.3047,GOOD,GOOD,,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.3047 12.5549, 79.3057 12.5523)"
25,T.NO-45,,S,DA,26,44-45,305.4914074,3.74,162,,12.5523,79.3057,GOOD,GOOD,,,PLAIN,INISDE POND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.3057 12.5523, 79.3068 12.5497)"
26,T.NO-46,,S,DA,26,45-46,317.9182285,,162,,12.5497,79.3068,GOOD,GOOD,,,PLAIN,INISDE POND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.3068 12.5497, 79.3078 12.5471)"
27,T.NO-47,,S,DA,26,46-47,307.5841348,4.19,162,,12.5471,79.3078,GOOD,GOOD,LT-1,,PLAIN,BUSHES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.3078 12.5471, 79.3088 12.5445)"
28,T.NO-48,,S,DA,26,47-48,304.9213013,4.18,165,,12.5445,79.3088,GOOD,GOOD,,TAR-1,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.3088 12.5445, 79.3099 12.5418)"
29,T.NO-49,2W,T,DD,28,448-49,320.7132676,5.61,165,,12.5418,79.3099,GOOD,GOOD,LT-1,MUD-1,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.3099 12.5418, 79.311 12.5393)"
30,T.NO-50,,S,DA,26,49-50,306.2172431,5.92,165,,12.5393,79.311,GOOD,GOOD,LT-1,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.311 12.5393, 79.312 12.5367)"
31,T.NO-51,,S,DA,26,50-51,304.0740042,5.84,165,,12.5367,79.312,GOOD,GOOD,LT-1,MUD-1,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.312 12.5367, 79.313 12.5342)"
