S.No,Tower No.,Tower Suspension / Tension,Tower Type (DC /SC ),Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),Ground Elevation,Deviation Angle,Latitude,Longitude,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing, Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
1,GANTRY ( ORAGADAM SS ),T,H-POLE,12,,,,33.751911,,12.8638969827443,79.9408019799739,GOOD,,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.9408019799739 12.8638969827443, 79.9405940249562 12.8638870082795)"
2,1,T,DC,26,GANTRY  - 1,25.093789928134377,4.35,66.7271729999999,90°15'54''RT,12.8638870082795,79.9405940249562,GOOD,NO E/W,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.9405940249562 12.8638870082795, 79.940580362454 12.8641899302601)"
3,2,T,M,45,"=B7& "" - ""&B8",36.036919194574516,3.5,67.2195969999999,112°59'49''LT,12.8641899302601,79.940580362454,GOOD,AVAILABLE,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.940580362454 12.8641899302601, 79.9418518971651 12.8647857997566)"
4,3,T,M,45,"=B8& "" - ""&B9",155.41512910826245,2.8,65.6906429999999,61°44'5''RT,12.8647857997566,79.9418518971651,GOOD,NO E/W,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.9418518971651 12.8647857997566, 79.9421392288059 12.8645794373005)"
5,4,T,DC,25,"=B9& "" - ""&B10",41.14161741734827,4.75,66.886238,60°41'29''LT,12.8645794373005,79.9421392288059,GOOD,AVAILABLE,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.9421392288059 12.8645794373005, 79.943120246753 12.8650178108364)"
6,5,T,DC,25,"=B10& "" - ""&B11",119.47885299822413,6.01,61.858471,63°31'44''LT,12.8650178108364,79.943120246753,GOOD,AVAILABLE,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.943120246753 12.8650178108364, 79.9431739747524 12.866538958624)"
7,6,T,DC,25,"=B11& "" - ""&B12",170.84464777800252,3.17,62.2549479999999,23°26'59''RT,12.866538958624,79.9431739747524,GOOD,AVAILABLE,66KV,,PLAIN,DOWN LINE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.9431739747524 12.866538958624, 79.9442839901894 12.8688289783895)"
8,7,T,DC,25,"=B12& "" - ""&B13",282.96697862652155,5.7,58.981689,59°44'13''RT,12.8688289783895,79.9442839901894,GOOD,AVAILABLE,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.9442839901894 12.8688289783895, 79.946153992787 12.8689839597791)"
9,8,S,DC,26,"=B13& "" - ""&B14",206.14712286521467,2.46,58.227139,,12.8689839597791,79.946153992787,GOOD,AVAILABLE,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.946153992787 12.8689839597791, 79.9481170345097 12.8689879830926)"
10,9,T,DC,26,"=B14& "" - ""&B15",215.52089304746713,4.81,57.3653979999999,80°59'53''RT,12.8689879830926,79.9481170345097,GOOD,AVAILABLE,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.9481170345097 12.8689879830926, 79.9480367358773 12.8694786597043)"
11,10,T,DC,26,"=B15& "" - ""&B16",57.46536282282047,4.96,57.9497069999999,24°0'28''LT,12.8694786597043,79.9480367358773,GOOD,AVAILABLE,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.9480367358773 12.8694786597043, 79.9469090346246 12.8711739834398)"
12,11,S,DC,26,"=B16& "" - ""&B17",226.40667951611792,4.21,55.569633,,12.8711739834398,79.9469090346246,GOOD,AVAILABLE,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.9469090346246 12.8711739834398, 79.9455790780484 12.8729226998984)"
