S.No,Tower No.,Joint Box,Tower Suspension / Tension,Tower Type,Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),Ground Elevation,Deviation Angle,Latitude,Longitude,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire ( Missing,  Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
1,Sathuvachari Gantry,2W,,Gantry,15,-,-,-,215,,12.94462222,79.16633333,GOOD,-,-,-,,No Peak Available On Gantry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.16633333333334 12.944622222222222, 79.16620277777778 12.944611111111112)"
2,1,,Tension,DD+0,28,45A-46,20,2.6,211,"2°31'9.87""LT",12.94461111,79.16620278,GOOD,NO E/W,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.16620277777778 12.944611111111112, 79.16450277777778 12.94421111111111)"
3,2,,Tension,DC+0,26,46-47,192,6.1,205,"17°0'28.18""RT",12.94421111,79.16450278,GOOD,GOOD,LT,"Road, Sewage Canal",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.16450277777778 12.94421111111111, 79.16389444444445 12.944252777777779)"
4,3,,Tension,DD+0,28,47-48,68,5.4,208,"83°9'50.03""RT",12.94425278,79.16389444,GOOD,GOOD,LT,Road,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.16389444444445 12.944252777777779, 79.16386111111112 12.945111111111112)"
5,45A,3W,Tension,DD+0,28,48-49,103,0.5,205,"105°41’30.9""LT",12.94511111,79.16386111,GOOD,GOOD,"LT, Two HT",-,,LILO TOWER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.16386111111112 12.945111111111112, 79.16178333333333 12.944427777777777)"
6,46,,Suspension,SA+0,26,49-50,242,0.4,206,,12.94442778,79.16178333,GOOD,GOOD,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.16178333333333 12.944427777777777, 79.15939444444444 12.943605555555555)"
7,47,,Suspension,SA+0,26,50-51,276,3.2,209,,12.94360556,79.15939444,GOOD,GOOD,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.15939444444444 12.943605555555555, 79.15678333333334 12.942747222222222)"
8,48,,Tension,SB+0,24,51-52,307,2.1,207,"14°31’29.72""LT",12.94274722,79.15678333,GOOD,GOOD,Two LT,Road,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.15678333333334 12.942747222222222, 79.15481944444446 12.941458333333333)"
9,49,,Tension,SB+0,24,52-53,258,6.2,209,"1°41'59.54""RT",12.94145833,79.15481944,GOOD,GOOD,"LT, HT","Road, Domestic Sewage",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.15481944444446 12.941458333333333, 79.1537 12.940791666666668)"
10,50,,Tension,SB+0,24,53-54,147,0.6,205,"0°27’58.75""LT",12.94079167,79.1537,GOOD,GOOD,LT,Domestic Sewage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.1537 12.940791666666668, 79.15218611111112 12.939841666666666)"
11,51,,Suspension,SA+0,26,54-54A,198,5.8,201,,12.93984167,79.15218611,GOOD,GOOD,Two LT,"Sewage Canal, Road",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.15218611111112 12.939841666666666, 79.14969166666667 12.938177777777778)"
