S. No ,Tower No,Joint Box,Supspension/Tension,Tower Type,Tower Hight (Mtrs),Span Between Tower No.,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation,Horizontal Angle(˚),Longitude,Latitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earth wire (Missing,Broken etc)",Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
1,GT 110KV KORATTUR SS,2W,T,GT,15,,,,20,,80.18216667,13.09963889,GOOD,MISSING,,,PLAIN,KORATTUR 230KV SS,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.18216666666667 13.09963888888889, 80.18080555555557 13.09886111111111)"
2,DP,,T,DP,15,GT-DP,172.0377865,,23,,80.18080556,13.09886111,GOOD,MISSING,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.18080555555557 13.09886111111111, 80.18050000000001 13.098833333333333)"
3,DP1,,T,DP,15,DP-DP1,34.13209633,,18,,80.1805,13.09883333,GOOD,MISSING,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.18050000000001 13.098833333333333, 80.1806388888889 13.098833333333333)"
4,T.NO 2,,T,DB,24,DP1-2,15.13274595,3.25,14,"7°24'51""",80.18063889,13.09883333,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.1806388888889 13.098833333333333, 80.17894444444445 13.097611111111112)"
5,T.NO 3,,S,DA,26,02-Mar,226.4508777,4.47,27,,80.17894444,13.09761111,GOOD,GOOD,LT 1,ROAD 1,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.17894444444445 13.097611111111112, 80.17766666666667 13.096722222222223)"
6,T.NO 4,,T,DB,24,03-Apr,169.6142683,3.46,30,"1°15'39""",80.17766667,13.09672222,GOOD,GOOD,LT 2,ROAD 2,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.17766666666667 13.096722222222223, 80.17630555555556 13.095611111111111)"
7,T.NO 5,,S,DA,26,04-May,193.9819579,4.46,30,,80.17630556,13.09561111,GOOD,GOOD,"LT 2,HT 1",ROAD 1,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.17630555555556 13.095611111111111, 80.17452777777778 13.094333333333333)"
8,T.NO 6,,S,DA,26,05-Jun,236.2244695,3.49,19,,80.17452778,13.09433333,GOOD,GOOD,HT 1,ROAD 1,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.17452777777778 13.094333333333333, 80.17308333333334 13.093194444444444)"
9,T.NO 7,,S,DA,26,06-Jul,203.4944717,1.76,20,,80.17308333,13.09319444,GOOD,GOOD,,ROAD 1,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.17308333333334 13.093194444444444, 80.17141666666667 13.091972222222223)"
10,T.NO 8,,S,DA,26,07-Aug,225.2043516,2.61,21,,80.17141667,13.09197222,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.17141666666667 13.091972222222223, 80.16988888888889 13.09088888888889)"
11,T.NO 9,,T,DB,24,08-Sep,203.6663939,3.34,6,"14°19'24""",80.16988889,13.09088889,GOOD,GOOD,,ROAD 2,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.16988888888889 13.09088888888889, 80.16816666666666 13.090166666666667)"
12,T.NO 10,,S,DA,26,09-Oct,203.3937069,2.96,26,,80.16816667,13.09016667,GOOD,GOOD,,ROAD 1,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.16816666666666 13.090166666666667, 80.16625 13.08938888888889)"
13,T.NO 11,,T,DB,24,10-Nov,225.0777643,3.92,37,"3°53'29""",80.16625,13.08938889,GOOD,GOOD,,ROAD 1,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.16625 13.08938888888889, 80.1645 13.088527777777779)"
