S.No,Tower No.,Tower Suspension / Tension,Tower Type (DC /SC ),Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),Ground Elevation,Deviation Angle,Latitude,Longitude,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing, Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
20,19,T,DC,32,18 - 19,258.9637953748492,3.07,42.278168,19°44'2''LT,12.7635139692574,80.0837189611047,GOOD,AVAILABLE,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.0837189611047 12.7635139692574, 80.0837310310453 12.7640219964087)"
21,20,T,H-POLE,15,19 - 20,58.701951070679435,9.52,41.745651,49°13'19''RT,12.7640219964087,80.0837310310453,GOOD,AVAILABLE,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.0837310310453 12.7640219964087, 80.083288969472 12.764421980828)"
22,21,T,H-POLE,15,20 - 21,67.76746278264484,3.93,42.125805,17°15'25''LT,12.764421980828,80.083288969472,GOOD,NO E/W,400KV,,PLAIN,UPLINE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.083288969472 12.764421980828, 80.0830629933625 12.7648040279746)"
23,24,T,DC,32,21 - 24,51.35833765782791,4.82,42.105423,60°2'9''LT,12.7648040279746,80.0830629933625,GOOD,AVAILABLE,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.0830629933625 12.7648040279746, 80.083954995498 12.7663850225508)"
24,25,S,DC,32,24 - 25,202.37619961415302,2.16,41.203346,,12.7663850225508,80.083954995498,GOOD,AVAILABLE,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.083954995498 12.7663850225508, 80.0848240312188 12.7679579704999)"
25,26,S,DC,32,25 - 26,200.3972785087176,1.45,42.0755229999999,,12.7679579704999,80.0848240312188,GOOD,AVAILABLE,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.0848240312188 12.7679579704999, 80.0858679972589 12.7697459980845)"
26,27,T,DC,32,26 - 27,230.42270915367422,3.97,41.5252529999999,2°24'21''RT,12.7697459980845,80.0858679972589,GOOD,AVAILABLE,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.0858679972589 12.7697459980845, 80.0867660343647 12.771444004029)"
27,28,T,DC,32,27 - 28,214.09043961213234,0.83,41.4205699999999,68°19'34''RT,12.771444004029,80.0867660343647,GOOD,AVAILABLE,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.0867660343647 12.771444004029, 80.0850820261985 12.7734190318733)"
28,29,S,DC,32,28 - 29,287.33390662942287,1.4,42.1189269999999,,12.7734190318733,80.0850820261985,GOOD,AVAILABLE,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.0850820261985 12.7734190318733, 80.0834309589117 12.7752939797937)"
29,30,S,DC,32,29 - 30,276.5846346755762,0.56,42.401138,1°5'8''RT,12.7752939797937,80.0834309589117,GOOD,AVAILABLE,LT,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.0834309589117 12.7752939797937, 80.0816479604691 12.7772430237382)"
