S.No,Tower No.,Joint Box,Tower Suspension / Tension,Tower Type,Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),Ground Elevation,Deviation Angle,Longitude,Latitude,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing,  Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
1,GT 110KV T.V.MALAI SS,2W,T,GT,15,,,,,,79.06891667,12.25613889,GOOD,,,,PLAIN,T.V.MALAI 110KV SS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.06891666666667 12.25613888888889, 79.06875 12.256027777777778)"
2,T.NO 74,,T,DC,26,GT-74,22.47220505,6.15,180,"28°10'32""",79.06875,12.25602778,GOOD,MISSING,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.06875 12.256027777777778, 79.06616666666666 12.255833333333333)"
3,T.NO 73 VETTAVALAM LILO,2W,T,DC,26,74-73,279.7159273,5.18,193,"28°40'3""",79.06616667,12.25583333,GOOD,GOOD,"LT-1, HT-1",,PLAIN,VETTAVALAM LILO NEED 3WAY JUNCTION BOX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.06616666666666 12.255833333333333, 79.06488888888889 12.256416666666667)"
4,T.NO 72,,T,DD,26,73-72,153.9350512,8.01,187,"30°40'27""",79.06488889,12.25641667,GOOD,GOOD,LT-3,"ROAD-1,CEMENT ROAD-1",PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.06488888888889 12.256416666666667, 79.06388888888888 12.257805555555555)"
5,T.NO 71,,S,DA,26,72-71,189.4887859,6.82,184,,79.06388889,12.25780556,GOOD,GOOD,"LT-3,HT-2,HT 33KV-1, HT 11KV-1",ROAD-2,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.06388888888888 12.257805555555555, 79.0625 12.259777777777778)"
6,T.NO 70,,S,DA,26,71-70,266.5370518,7.08,182,,79.0625,12.25977778,GOOD,GOOD,LT-3,ROAD-2,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.0625 12.259777777777778, 79.06127777777778 12.261472222222222)"
7,T.NO 69,,T,DC,26,70-69,228.0789337,11.18,183,"19°33'23""",79.06127778,12.26147222,GOOD,GOOD,LT-2,"ROAD-1, MUD ROAD-1",PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.06127777777778 12.261472222222222, 79.06066666666666 12.263638888888888)"
8,T.NO 68,,S,DA,26,69-68,248.6463352,8.67,179,,79.06066667,12.26363889,GOOD,GOOD,"LT-3, HT-1",MUD ROAD-2,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.06066666666666 12.263638888888888, 79.06016666666666 12.265277777777778)"
9,T.NO 67,,S,DA,26,68-67,189.5600169,5.28,177,,79.06016667,12.26527778,GOOD,GOOD,LT-1,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.06016666666666 12.265277777777778, 79.05961111111111 12.267277777777778)"
10,T.NO 66,,T,DB,24,67-66,229.2007853,9.35,176,"0°41'21""",79.05961111,12.26727778,GOOD,GOOD,LT-2,,CULTIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.05961111111111 12.267277777777778, 79.05897222222222 12.269444444444446)"
