S.No,Tower No.,Tower Suspension / Tension,Tower Type (DC /SC ),Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),Ground Elevation,Deviation Angle,Longitude,Latitude,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing, Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
18,T.NO 18,T,DB,24,17-18,260.3420826528051,,37,"4°8'35""",80.01808333333334,13.118611111111111,GOOD,GOOD,,LAKE,WATER LOGGED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.01808333333334 13.118611111111111, 80.02019444444444 13.120055555555556)"
19,T.NO 19,S,DA,26,18-19,277.08662905308154,,38,,80.02019444444444,13.120055555555556,GOOD,GOOD,,LAKE,WATER LOGGED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.02019444444444 13.120055555555556, 80.02211111111112 13.121361111111112)"
20,T.NO 20,T,DD,28,19-20,252.73306075778848,,39,"55°38'55""",80.02211111111112,13.121361111111112,GOOD,GOOD,,LAKE,WATER LOGGED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.02211111111112 13.121361111111112, 80.02380555555555 13.120694444444444)"
21,T.NO 21,S,DA,26,20-21,198.8818744883505,,37,,80.02380555555555,13.120694444444444,GOOD,GOOD,,LAKE,WATER LOGGED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.02380555555555 13.120694444444444, 80.0261388888889 13.119861111111112)"
22,T.NO 22,T,DC,26,21-22,269.3120866207085,7.62,39,"29°15'30""",80.0261388888889,13.119861111111112,GOOD,GOOD,,LAKE,WATER LOGGED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.0261388888889 13.119861111111112, 80.02755555555555 13.118194444444445)"
23,T.NO 23,T,DD,28,22-23,237.89283301520456,,39,"46°42'38""",80.02755555555555,13.118194444444445,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.02755555555555 13.118194444444445, 80.028 13.118194444444445)"
24,GANTRY THIRUNINRAVOOR SS,GT,GT,15,23-GT,48.093658625644196,,42,,80.028,13.118194444444445,GOOD,MISSING,,,PLAIN,110KV THIRUNINRAVOOR SS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL,,,,,,=SUM(G6:G29),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note :  1. Shut down will be required in where earth wiers are missing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
