S.No,Tower No.,Joint Box,Tower Suspension / Tension,Tower Type (DC /SC ),Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),Ground Elevation,Deviation Angle,Latitude,Longitude,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing, Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
21,50,,S,MC,45,51 - 50,280.8459595,0.94,49.65752,,12.81319703,80.08938798,GOOD,OPGW,HT,ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.0893879774957 12.8131970297545, 80.0876000337302 12.8111510071903)"
22,49,,S,MC,45,50 - 49,301.0987454,1.73,49.196724,,12.81115101,80.08760003,GOOD,OPGW,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.0876000337302 12.8111510071903, 80.0864239688962 12.8097359742969)"
23,48,,S,MC,45,49 - 48,204.954548,0.22,49.875839,,12.80973597,80.08642397,GOOD,OPGW,HT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.0864239688962 12.8097359742969, 80.085101975128 12.8081839811056)"
24,47,,S,MC,45,48 - 47,226.7204665,2.63,48.690979,,12.80818398,80.08510198,GOOD,OPGW,,,PLAIN,Joint Box Available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.085101975128 12.8081839811056, 80.0832840241491 12.8060989826917)"
25,46,,T,MC,45,47 - 46,306.4940951,3.27,47.708878,36°26'57''RT,12.80609898,80.08328402,GOOD,OPGW,LT,ROAD,PLAIN,Joint Box Available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.0832840241491 12.8060989826917, 80.083096018061 12.8037809673696)"
26,45,,S,MC,45,46 - 45,260.1790111,1.15,52.4702,,12.80378097,80.08309602,GOOD,OPGW,"LT -3, HT",ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.083096018061 12.8037809673696, 80.082911029458 12.8009199723601)"
27,44,,S,MC,45,45 - 44,320.0570814,0.53,52.670372,,12.80091997,80.08291103,GOOD,OPGW,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.082911029458 12.8009199723601, 80.082726040855 12.7980739809572)"
28,43,2W,T,MC,45,44 - 43,318.4010219,1.89,50.778572,46°15'52''LT,12.79807398,80.08272604,GOOD,OPGW,,MUD ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.082726040855 12.7980739809572, 80.080904988572 12.7965450379997)"
29,42,,S,DC,28,43 - 42,263.1229708,0.13,49.946388,,12.79654504,80.08090499,GOOD,AVAILABLE,HT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.080904988572 12.7965450379997, 80.0790599640458 12.7950460184365)"
30,41,,S,DC,28,42 - 41,262.9838362,2.67,51.780876,,12.79504602,80.07905996,GOOD,AVAILABLE,,MUD ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.0790599640458 12.7950460184365, 80.0772249978035 12.7935309894382)"
31,40,,S,DC,28,41 - 40,263.2811399,2.36,49.636883,,12.79353099,80.077225,GOOD,AVAILABLE,LT -5,MUD ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.0772249978035 12.7935309894382, 80.0753079727292 12.7919090073555)"
32,39,,T,DC,28,40 - 39,277.7330475,1.8,54.665298,5°54'58''LT,12.79190901,80.07530797,GOOD,AVAILABLE,"HT -2, LT",ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.0753079727292 12.7919090073555, 80.0731119979172 12.7904099877923)"
33,38,,S,DC,28,39 - 38,293.3486717,3.19,52.297894,,12.79040999,80.073112,GOOD,AVAILABLE,,MUD ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.0731119979172 12.7904099877923, 80.0708130095154 12.7888099662959)"
34,37,,S,DC,28,38 - 37,308.920741,2.55,49.961903,,12.78880997,80.07081301,GOOD,AVAILABLE,LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.0708130095154 12.7888099662959, 80.0685649830847 12.7872630022466)"
35,36,,S,DC,28,37 - 36,301.019689,0.9,51.177715,,12.787263,80.06856498,GOOD,AVAILABLE,,MUD ROAD,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.0685649830847 12.7872630022466, 80.0662420224398 12.7856390085071)"
36,35,,S,DC,28,36 - 35,312.580555,3.9,54.359837,,12.78563901,80.06624202,GOOD,AVAILABLE,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.0662420224398 12.7856390085071, 80.0641400087624 12.7842119894921)"
37,34,,S,DC,28,35 - 34,280.4350114,0.21,53.906403,,12.78421199,80.06414001,GOOD,AVAILABLE,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.0641400087624 12.7842119894921, 80.062005976215 12.7826849743723)"
38,LILO : 33,,T,DC,28,34 - LILO : 33,289.6744823,2.29,46.896008,,12.78268497,80.06200598,GOOD,AVAILABLE,,,PLAIN,POTHERI LILO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note :  1. Shut down will be required in where earth wiers are missing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
