S. No ,Tower No,Joint Box,Supspension/Tension,Tower Type,Tower Hight (Mtrs),Span Between Tower No.,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation,Horizontal Angle(˚),Longitude,Latitude,JB Location,Earthing Location,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earth wire (Missing,Broken etc)",Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
1,T.NO 54/1  THIRUKAZHUKUNDRAM LILO,,T,DC,26,,,4.61,36,,80.10452778,12.71788889,Yes,,GOOD,GOOD,,,PLAIN,THIRUKAZHUKUNDRAM LILO NEED 3WAY JUNCTION BOX,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.10452777777778 12.717888888888888, 80.10355555555554 12.715)"
2,T.NO 2,,S,DA,26,54/1-2,336.7862824,5.27,36,,80.10355556,12.715,,,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.10355555555554 12.715, 80.10263888888889 12.712388888888889)"
3,T.NO 3,,T,DB,24,02-Mar,305.4864972,4.31,35,"2°22'8""",80.10263889,12.71238889,,,GOOD,GOOD,HT-1,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.10263888888889 12.712388888888889, 80.10199999999999 12.710999999999999)"
4,T.NO 4,,S,DA,26,03-Apr,166.8592221,4.71,33,,80.102,12.711,,,GOOD,GOOD,LT-1,ROAD-1,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.10199999999999 12.710999999999999, 80.1013611111111 12.707944444444443)"
5,T.NO 5,,S,DA,26,04-May,345.376606,4.95,31,,80.10136111,12.70794444,,,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.1013611111111 12.707944444444443, 80.10058333333333 12.705333333333332)"
6,T.NO 6,,S,DA,26,05-Jun,300,4.71,32,,80.10058333,12.70533333,,,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.10058333333333 12.705333333333332, 80.09994444444445 12.703277777777776)"
7,T.NO 7,,T,DC,26,06-Jul,240.7093683,5.57,32,"25°11'36""",80.09994444,12.70327778,,,GOOD,GOOD,LTT-1,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.09994444444445 12.703277777777776, 80.09794444444444 12.701027777777776)"
8,T.NO 8,,S,DA,26,07-Aug,328.6943869,4.29,33,,80.09794444,12.70102778,,,GOOD,GOOD,LT-2,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.09794444444444 12.701027777777776, 80.09613888888889 12.699027777777777)"
9,T.NO 9,,T,DC,26,08-Sep,296.0574269,5.41,31,"27°41'33""",80.09613889,12.69902778,,,GOOD,GOOD,LT-2,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.09613888888889 12.699027777777777, 80.09552777777778 12.696527777777778)"
10,T.NO 10,,S,DA,26,09-Oct,284.2534081,4.95,28,,80.09552778,12.69652778,,,GOOD,GOOD,"LT-1 , HT-1",,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.09552777777778 12.696527777777778, 80.09494444444444 12.694277777777778)"
11,T.NO 11,,T,DD,28,10-Nov,255.6325488,4.46,29,"40°28'3""",80.09494444,12.69427778,,,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.09494444444444 12.694277777777778, 80.09252777777778 12.692555555555556)"
12,T.NO 12,,S,DA,26,11-Dec,324.4518454,5.25,30,,80.09252778,12.69255556,,,GOOD,GOOD,LT-2,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.09252777777778 12.692555555555556, 80.09011111111111 12.690861111111111)"
13,T.NO 13,2W,T,DB,24,Dec-13,324.9138347,5.17,30,"1°46'23""",80.09011111,12.69086111,Yes,,GOOD,GOOD,LT-1,MUD ROAD-1,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.09011111111111 12.690861111111111, 80.08780555555555 12.689055555555555)"
14,T.NO 14,,S,DA,26,13-14,317.5059055,4.76,33,,80.08780556,12.68905556,,,GOOD,GOOD,"LT-1 , HT-1",,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.08780555555555 12.689055555555555, 80.08566666666667 12.687472222222222)"
15,T.NO 15,,S,DA,26,14-15,290.800619,4.55,33,,80.08566667,12.68747222,,,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.08566666666667 12.687472222222222, 80.08361111111111 12.685944444444445)"
16,T.NO 16,,T,DB,24,15-16,281.4000711,5.61,33,"8°27'58""",80.08361111,12.68594444,,,GOOD,GOOD,LT-2,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.08361111111111 12.685944444444445, 80.08194444444445 12.684277777777778)"
17,T.NO 17,,S,DA,26,16-17,258.11819,5.21,35,,80.08194444,12.68427778,,,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.08194444444445 12.684277777777778, 80.08044444444444 12.682722222222221)"
18,T.NO 18,,S,DA,26,17-18,237.6257562,4.78,35,,80.08044444,12.68272222,,,GOOD,GOOD,"LT-3 , HT-3",ROAD-2,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.08044444444444 12.682722222222221, 80.07897222222222 12.681222222222221)"
19,T.NO 19,,T,DD,28,18-19,229.1200559,5.21,35,"44°47'14""",80.07897222,12.68122222,,,GOOD,GOOD,HT-1,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.07897222222222 12.681222222222221, 80.079 12.678861111111111)"
20,T.NO 20,,S,DA,26,19-20,263.0076045,2.16,33,,80.079,12.67886111,,,GOOD,GOOD,LT-1,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.079 12.678861111111111, 80.07905555555556 12.676416666666666)"
21,T.NO 21,,S,DA,26,20-21,270.029628,3.81,34,,80.07905556,12.67641667,,,GOOD,GOOD,,,CULTIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.07905555555556 12.676416666666666, 80.07905555555556 12.674027777777777)"
22,T.NO 22,,S,DA,26,21-22,263.0019011,2.61,32,,80.07905556,12.67402778,,,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.07905555555556 12.674027777777777, 80.0791111111111 12.67175)"
23,T.NO 23,,S,DA,26,22-23,252.0495983,3.81,32,,80.07911111,12.67175,,,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.0791111111111 12.67175, 80.07916666666667 12.669444444444444)"
24,T.NO 24,,S,DA,26,23-24,257.0311265,4.21,32,,80.07916667,12.66944444,,,GOOD,GOOD,,ROAD-1,CULTIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.07916666666667 12.669444444444444, 80.07919444444444 12.66713888888889)"
25,T.NO 25,,T,DD,28,24-25,252.0019841,IN WATER ,31,"39°38'40""",80.07919444,12.66713889,,,GOOD,GOOD,LT-2,,CULTIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.07919444444444 12.66713888888889, 80.08091666666667 12.665138888888889)"
26,T.NO 26,,S,DA,26,25-26,291.5561695,5.21,31,,80.08091667,12.66513889,,,GOOD,GOOD,"LT-2, HT-1",,CULTIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.08091666666667 12.665138888888889, 80.08277777777778 12.663027777777778)"
27,T.NO 27,2W,T,DD,28,26-27,308.7021218,3.76,32,"36°20'19""",80.08277778,12.66302778,Yes,,GOOD,GOOD,LT-1,ROAD-1,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.08277777777778 12.663027777777778, 80.08294444444444 12.660666666666668)"
28,T.NO 28,,S,DA,26,27-28,262.6175927,IN WATER ,35,,80.08294444,12.66066667,,,GOOD,GOOD,HT-1,POND,POND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.08294444444444 12.660666666666668, 80.08311111111111 12.658222222222223)"
29,T.NO 29,,S,DA,26,28-29,270.5993348,5.15,39,,80.08311111,12.65822222,,,GOOD,GOOD,HT-1,ROAD-1,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.08311111111111 12.658222222222223, 80.08330555555555 12.65536111111111)"
