S.No,Tower No.,Tower Suspension / Tension,Tower Type,Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),Ground Elevation,Deviation Angle,Latitude,Longitude,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing,  Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
1,GANTRY SALAI 110KV SS,GT,GT,15,,,,123,,13.0861,79.5702,GOOD,,,,PLAIN,INSIDE SS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.5702 13.0861, 79.5708 13.0859)"
2,T.NO-75,T,DD,28,GT-75,61.68468205316454,5.32,123,"25°41'28"" ",13.0859,79.5708,GOOD,NO EARTH WIRE,11KV-1,POND-1,PLAIN,"INSIDE SS,NEED THREE WAY JUNCTION BOX FOR ULTRATECH CEMENT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.5708 13.0859, 79.5726 13.0862)"
3,T.NO-74,T,DD,28,75-74,204.36486977951958,8.12,123,"4°10'46"" ",13.0862,79.5726,GOOD,GOOD,LT-1,CANAL-1,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.5726 13.0862, 79.5748 13.0864)"
4,T.NO-73,T,DD,28,74-73,239.75404063331237,7.32,123,"30°35'53"" ",13.0864,79.5748,GOOD,GOOD,"LT-1,11KV-1",TAR-1,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.5748 13.0864, 79.5762 13.0874)"
5,T.NO-72,T,DD,28,73-72,185.88437266214714,11.9,122,"6°24'56"" ",13.0874,79.5762,GOOD,GOOD,LT-1,TAR-1,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.5762 13.0874, 79.5784 13.0886)"
6,T.NO-71,S,DA,26,72-71,272.5472436110848,10.27,122,,13.0886,79.5784,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.5784 13.0886, 79.5807 13.0898)"
7,T.NO-70,S,DA,26,71-70,278.29660436304283,11.1,124,,13.0898,79.5807,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.5807 13.0898, 79.5826 13.0909)"
8,T.NO-69,S,DA,26,70-69,242.7364826308563,8.29,122,,13.0909,79.5826,GOOD,GOOD,,TAR-1,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.5826 13.0909, 79.585 13.0921)"
9,T.NO-68,S,DA,26,69-68,288.9498226336192,9.1,122,,13.0921,79.585,GOOD,GOOD,LT-2,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.585 13.0921, 79.5869 13.0931)"
10,T.NO-67,S,DA,26,68-67,235.29555881911583,8.94,122,,13.0931,79.5869,GOOD,GOOD,11KV-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.5869 13.0931, 79.5884 13.0939)"
11,T.NO-66,T,DD,28,67-66,182.0604295282201,7.17,122,"56°2'38"" ",13.0939,79.5884,GOOD,GOOD,LT-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.5884 13.0939, 79.5886 13.096)"
12,T.NO-65,S,DA,26,66-65,234.33736364481018,7.42,123,,13.096,79.5886,GOOD,GOOD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.5886 13.096, 79.5888 13.0978)"
13,T.NO-64,T,DD,28,65-66,173.40126873814967,6.37,123,"14°49'44"" ",13.0978,79.5888,GOOD,GOOD,,CANAL-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.5888 13.0978, 79.5895 13.0993)"
14,T.NO-1 LILO,T,DD,32,66-1 LILO,213.60009363293827,4.9,123,,13.0993,79.5895,GOOD,GOOD,,,,NEED THREE WAY JUNCTION BOX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL,,,,,,=SUM(G7:G19),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note : 1. Shut down will be required in where earth wiers are missing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
