S.No,Tower No.,Tower Suspension / Tension,Tower Type (DC /SC ),Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),Ground Elevation,Deviation Angle,Latitude.,Longitude.,JB Location,Earthing Location,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing, Broken etc)",Power Line,"Rail, Road, River, Car Track",Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
1,Gantry ( Ottiyambakkam SS ),T,H-POLE,15,,,-,19,,12.852907, 80.193381,Yes,,GOOD,,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.21400 12.90507, 80.21398 12.90484)"
2,LILO POINT,T,DC,28,Gantry  - 1,48,3.50,19,47°56'49''RT,12.880191, 80.204259,,,GOOD,NO E/W,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.21398 12.90484, 80.21377 12.90475)"
3,TNSCB,T,DC,28,Gantry  - 1,48,3.50,19,47°56'49''RT,12.879820, 80.205573,,,GOOD,NO E/W,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.21398 12.90484, 80.21377 12.90475)"

























