S.No,Tower No.,Joint Box,Tower Suspension / Tension,Tower Type,Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),Ground Elevation,Deviation Angle,Latitude,Longitude,,,,,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire ( Missing,  Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
1,Pakkam Gantry,2W,,Gantry,15,-,-,-,313,-,12.97873333,78.87629444,,,,,GOOD,-,-,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.87629444444444 12.978733333333333, 78.8761111111111 12.978441666666667)"
2,G-56,,Tension,DD+0,28,G-53-G-52,43,0.3,301,5°52’52.93”LT,12.97844167,78.87611111,,,,,GOOD,OPGW,Two HT,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.8761111111111 12.978441666666667, 78.87553333333332 12.977116666666667)"
3,G-55,,Tension,DC+0,26,G-52-G-51,162,3.5,318,27°46’7.93”RT,12.97711667,78.87553333,,,,,GOOD,OPGW,LT,-,Hilly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.87553333333332 12.977116666666667, 78.87426111111111 12.976141666666667)"
4,G-54,,Tension,DC+0,26,G-51-G-50,178,3.2,319,5°53’10.95”RT,12.97614167,78.87426111,,,,,GOOD,OPGW,-,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.87426111111111 12.976141666666667, 78.8724361111111 12.974933333333334)"
5,G-53,,Tension,DC+0,26,G-50-G-49,240,2.1,319,22°58’28.28”LT,12.97493333,78.87243611,,,,,GOOD,OPGW,-,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.8724361111111 12.974933333333334, 78.87159999999999 12.973741666666667)"
6,G-52,,Tension,DD+0,28,G-49-G-48,168,0.5,320,2°21’41.49”LT,12.97374167,78.8716,,,,,GOOD,OPGW,-,-,Hilly,LILO TOWER,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.87159999999999 12.973741666666667, 78.87110833333332 12.972997222222222)"
7,G-51,,Tension,SD+0,28,G-48-G-47,101,2.5,305,57°10’18.75”RT,12.97299722,78.87110833,,,,,GOOD,OPGW,-,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.87110833333332 12.972997222222222, 78.86965277777777 12.972994444444444)"
8,G-50,,Tension,SD+0,28,G-47-G-46,162,9.1,306,34°43’46.89”LT,12.97299444,78.86965278,,,,,GOOD,OPGW,Three HT,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.86965277777777 12.972994444444444, 78.86763611111111 12.971586111111112)"
9,G-49,,Tension,SD+0,28,G-46-G-45,273,0.6,300,33°13’41.3”RT,12.97158611,78.86763611,,,,,GOOD,OPGW,-,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.86763611111111 12.971586111111112, 78.86446666666666 12.971486111111112)"
10,G-48,,Tension,SD+0,28,G-45-G-44,348,8.1,296,45°43’2.01”RT,12.97148611,78.86446667,,,,,GOOD,OPGW,"LT, HT",Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.86446666666666 12.971486111111112, 78.86321388888888 12.972669444444444)"
11,G-47,,Tension,SB+0,24,G-44-G-43,195,2.5,296,2°57’14.99”LT,12.97266944,78.86321389,,,,,GOOD,OPGW,LT,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.86321388888888 12.972669444444444, 78.8615611111111 12.97413888888889)"
12,G-46,,Tension,SD+0,28,G-43-G-42,241,2.7,296,52°31’27.41”LT,12.97413889,78.86156111,,,,,GOOD,OPGW,-,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.8615611111111 12.97413888888889, 78.85902222222222 12.973630555555555)"
13,G-45,2W,Tension,SB+0,24,G-42-G-41,285,0.9,300,12°7’48.56”LT,12.97363056,78.85902222,,,,,GOOD,OPGW,"Two LT, 800kv HVDC",-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.85902222222222 12.973630555555555, 78.85743333333333 12.972911111111111)"
14,G-44,,Tension,SD+0,28,G-41-G-40,197,2.3,297,29°51’1.33”RT,12.97291111,78.85743333,,,,,GOOD,GOOD,Three LT,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.85743333333333 12.972911111111111, 78.85498055555556 12.973180555555556)"
15,G-43,,Suspension,SA+0,26,G-40-G-39,271,5,298,,12.97318056,78.85498056,,,,,GOOD,GOOD,"Three LT, HT","Road, CTR",Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.85498055555556 12.973180555555556, 78.85246388888888 12.973430555555556)"
16,G-42,,Suspension,SA+0,26,G-39-G-38,280,1.3,297,,12.97343056,78.85246389,,,,,GOOD,GOOD,Two LT,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.85246388888888 12.973430555555556, 78.85021111111111 12.973727777777778)"
17,G-41,,Tension,SB+0,24,G-38-G-37,252,7.2,298,8°26’43.57”RT,12.97372778,78.85021111,,,,,GOOD,GOOD,LT,Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.85021111111111 12.973727777777778, 78.84774444444444 12.97438611111111)"
18,G-40,,Tension,SD+0,28,G-37-G-36,283,2.5,299,44°48’24.37”LT,12.97438611,78.84774444,,,,,GOOD,GOOD,-,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.84774444444444 12.97438611111111, 78.84648055555554 12.973697222222222)"
19,G-39,,Tension,SD+0,28,G-36-G-35,163,2.1,303,30°30’25.84”RT,12.97369722,78.84648056,,,,,GOOD,GOOD,"Three LT, HT",Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.84648055555554 12.973697222222222, 78.84469999999999 12.973747222222222)"
