S.No,Tower No.,Tower Suspension / Tension,Tower Type,As per TNEB,Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),Ground Elevation,Deviation Angle,Latitude,Longitude,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire ( Missing,  Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
52,51,Suspension,SA+0,PA,26,"=CONCATENATE(B56,""-"",B57)",199,0.5,282,,12.861352777777778,78.90717500000001,GOOD,GOOD,-,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.90717500000001 12.861352777777778, 78.90582222222223 12.863402777777777)"
53,52,Suspension,SA+0,PA,26,"=CONCATENATE(B57,""-"",B58)",274,0.2,281,,12.863402777777777,78.90582222222223,GOOD,GOOD,-,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.90582222222223 12.863402777777777, 78.9045888888889 12.865283333333332)"
54,53,Suspension,SA+0,PA,26,"=CONCATENATE(B58,""-"",B59)",252,2.3,282,,12.865283333333332,78.9045888888889,GOOD,GOOD,-,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.9045888888889 12.865283333333332, 78.90324722222223 12.867294444444445)"
55,54,Suspension,SA+0,PA,26,"=CONCATENATE(B59,""-"",B60)",271,2.6,270,,12.867294444444445,78.90324722222223,GOOD,GOOD,-,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.90324722222223 12.867294444444445, 78.90194166666667 12.869283333333334)"
56,55,Tension,SD+0,PC,28,"=CONCATENATE(B60,""-"",B61)",263,2.9,279,46°5’27.02”LT,12.869283333333334,78.90194166666667,GOOD,GOOD,-,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.90194166666667 12.869283333333334, 78.90060277777778 12.86948888888889)"
57,56,Suspension,SA+0,PA,26,"=CONCATENATE(B61,""-"",B62)",151,3,278,,12.86948888888889,78.90060277777778,GOOD,GOOD,LT,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.90060277777778 12.86948888888889, 78.89786388888889 12.869819444444445)"
58,57,Suspension,SA+0,PA,26,"=CONCATENATE(B62,""-"",B63)",303,8.1,275,,12.869819444444445,78.89786388888889,GOOD,GOOD,-,Lake,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.89786388888889 12.869819444444445, 78.89508055555557 12.870222222222223)"
59,58,Suspension,SA+0,PA,26,"=CONCATENATE(B63,""-"",B64)",309,6.1,279,,12.870222222222223,78.89508055555557,GOOD,GOOD,LT,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.89508055555557 12.870222222222223, 78.89260833333334 12.87056388888889)"
60,59,Tension,SD+0,PC,28,"=CONCATENATE(B64,""-"",B65)",277,6.3,288,38°39’28.68”RT,12.87056388888889,78.89260833333334,GOOD,GOOD,-,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.89260833333334 12.87056388888889, 78.89106666666667 12.872194444444444)"
61,60,Suspension,SA+0,PA,26,"=CONCATENATE(B65,""-"",B66)",250,9,282,,12.872194444444444,78.89106666666667,GOOD,GOOD,LT,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.89106666666667 12.872194444444444, 78.88966388888889 12.873683333333334)"
62,61,Suspension,SA+0,PA,26,"=CONCATENATE(B66,""-"",B67)",227,8.7,286,,12.873683333333334,78.88966388888889,GOOD,GOOD,Three LT,Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.88966388888889 12.873683333333334, 78.88813888888889 12.875308333333335)"
63,62,Suspension,SA+0,PA,26,"=CONCATENATE(B67,""-"",B68)",247,4.7,297,,12.875308333333335,78.88813888888889,GOOD,GOOD,-,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.88813888888889 12.875308333333335, 78.88663333333334 12.876922222222223)"
64,63,Tension,SD+0,PC,28,"=CONCATENATE(B68,""-"",B69)",246,3.1,298,48°23’3.71”LT,12.876922222222223,78.88663333333334,GOOD,GOOD,-,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.88663333333334 12.876922222222223, 78.8853888888889 12.876875)"
65,64,Tension,SD+0,PC,28,"=CONCATENATE(B69,""-"",B70)",141,7.2,304,39°16’32.06”RT,12.876875,78.8853888888889,GOOD,GOOD,HT,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.8853888888889 12.876875, 78.883175 12.878558333333334)"
66,65,Suspension,SA+0,PA,26,"=CONCATENATE(B70,""-"",B71)",307,0.7,301,,12.878558333333334,78.883175,GOOD,GOOD,-,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.883175 12.878558333333334, 78.88155277777777 12.879772222222222)"
67,66,Suspension,SA+0,PA,26,"=CONCATENATE(B71,""-"",B72)",225,8.1,303,,12.879772222222222,78.88155277777777,GOOD,GOOD,-,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.88155277777777 12.879772222222222, 78.87985555555555 12.881069444444446)"
68,67,Tension,SB+0,PC,24,"=CONCATENATE(B72,""-"",B73)",238,7,309,8°15’2.76”RT,12.881069444444446,78.87985555555555,GOOD,GOOD,-,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.87985555555555 12.881069444444446, 78.8790111111111 12.881902777777778)"
69,68,Tension,SD+0,PC,28,"=CONCATENATE(B73,""-"",B74)",134,6.3,291,57°5’50.46”LT,12.881902777777778,78.8790111111111,GOOD,GOOD,"HT, LT",-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.8790111111111 12.881902777777778, 78.87654444444443 12.881405555555556)"
70,69,Suspension,SA+0,PA,26,"=CONCATENATE(B74,""-"",B75)",278,8.1,294,,12.881405555555556,78.87654444444443,GOOD,GOOD,-,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.87654444444443 12.881405555555556, 78.87425555555555 12.880797222222222)"
71,70,Suspension,SA+0,PA,26,"=CONCATENATE(B75,""-"",B76)",261,8,291,,12.880797222222222,78.87425555555555,GOOD,GOOD,-,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.87425555555555 12.880797222222222, 78.87273888888888 12.880541666666668)"
72,71,Suspension,SA+0,PA,26,"=CONCATENATE(B76,""-"",B77)",170,4.1,288,,12.880541666666668,78.87273888888888,GOOD,GOOD,-,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.87273888888888 12.880541666666668, 78.87080833333333 12.88011111111111)"
73,72,Tension,SB+0,PB,24,"=CONCATENATE(B77,""-"",B78)",220,2.5,285,0°38’55.96”RT,12.88011111111111,78.87080833333333,GOOD,GOOD,-,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.87080833333333 12.88011111111111, 78.86830833333333 12.879547222222223)"
74,73,Tension,SD+0,PC,28,"=CONCATENATE(B78,""-"",B79)",281,1.2,300,22°20’19.35”LT,12.879547222222223,78.86830833333333,GOOD,GOOD,"HT,  Four LT",-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.86830833333333 12.879547222222223, 78.86800555555556 12.87936388888889)"
77,Vadakathipatty Gantry,,Gantry,-,15,"=CONCATENATE(B79,""-"",B80)",46,-,295,,12.87936388888889,78.86800555555556,GOOD,NO E/W,-,-,Plain,No Peak Available On Gantry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,=SUM(H6:H80),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
