S.No,Tower No.,"Joint Box
",Tower Suspension / Tension,Tower Type (DC /SC ),Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),Ground Elevation,Deviation Angle,Latitude,Longitude,,,,,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing, Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
1,GANTRY AT KORATTUR SS,2W,H-POLE,H-POLE,15,,,,29,,13.0996137,80.18239886,2W,,,,GOOD,,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.1823988556861 13.0996137019246, 80.1827118359506 13.0998136103153)"
2,TN - 1,,T,DC,28,TN - 4 : TN - 5,43.49755235,5.1,29,14°46'19''RT,13.09981361,80.18271184,,,,,GOOD,NO E/W,,ROAD,PLAIN,BUSHES,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.1827118359506 13.0998136103153, 80.1838148944079 13.1010106299072)"
3,TN - 2,,T,DC,28,TN - 5 : TN - 6,181.39846,3.8,26,7°3'59''LT,13.10101063,80.18381489,,,,,GOOD,AVAILABLE,"LT -3, 11KV -3",ROAD -4,PLAIN,BUSHES,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.1838148944079 13.1010106299072, 80.1848081499338 13.1018521729856)"
4,TN - 3,,T,DC,28,TN - 6 : TN - 7,145.3262963,3.5,27,7°51'33''LT,13.10185217,80.18480815,,,,,RUSTED,AVAILABLE,LT,,PLAIN,BUSHES,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.1848081499338 13.1018521729856, 80.1869975868612 13.1032423954457)"
5,TN - 4,,T,DC,28,TN - 7 : TN - 8,285.8003359,5.3,25,59°19'2''RT,13.1032424,80.18699759,,,,,RUSTED,AVAILABLE,LT,ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.1869975868612 13.1032423954457, 80.1869166176766 13.1059210840612)"
6,TN - 5,,T,DC,28,TN - 8 : TN - 9,299.3869523,5.8,25,7°50'9''LT,13.10592108,80.18691662,,,,,RUSTED,AVAILABLE,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.1869166176766 13.1059210840612, 80.1870597805827 13.1072597578167)"
7,TN - 6,,T,DC,28,TN - 9 : LILO : TN - 10,151.8655254,-,24,79°45'11''LT,13.10725976,80.18705978,,,,,RUSTED,AVAILABLE,,,WATER LOGGED,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.1870597805827 13.1072597578167, 80.18792998977 13.1073227897286)"
8,TN - 7,,T,DC,28,LILO : TN - 10 : TN - 11,97.59225098,-,24,87°46'9''RT,13.10732279,80.18792999,,,,,RUSTED,AVAILABLE,,,WATER LOGGED,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.18792998977 13.1073227897286, 80.1878544688224 13.1095851492136)"
9,TN - 8,,T,DC,28,TN - 11 : TN - 12,253.345799,6.5,23,1°10'34''RT,13.10958515,80.18785447,,,,,RUSTED,NO E/W,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.1878544688224 13.1095851492136, 80.1877241302281 13.1120011489838)"
10,TN - 9,,T,DC,28,TN - 12 : TN - 13,270.5775251,6.89,25,81°40'9''RT,13.11200115,80.18772413,,,,,RUSTED,NO E/W,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.1877241302281 13.1120011489838, 80.1900478452444 13.1117879133671)"
11,LILO : TN - 10,3W,T,DC,28,TN - 13 : TN - 14,255.9991116,-,18,6°42'29''LT,13.11178791,80.19004785,3W,,,,RUSTED,AVAILABLE,,,WATER LOGGED,LILO TO PADI,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.1900478452444 13.1117879133671, 80.1904949359595 13.1116932816803)"
12,TN - 11,,T,DC,28,TN - 14 : TN - 15,52.58314076,-,17,2°40'47''RT,13.11169328,80.19049494,,,,,RUSTED,AVAILABLE,,,WATER LOGGED,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.1904949359595 13.1116932816803, 80.1915521454066 13.111520698294)"
13,TN - 12,,S,DC,28,TN - 15 : TN - 16,119.1833092,7.6,15,,13.1115207,80.19155215,,,,,RUSTED,AVAILABLE,,,PLAIN,BUSHES,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.1915521454066 13.111520698294, 80.1936489623039 13.111362028867)"
14,TN - 13,,T,DC,28,TN - 16 : TN - 17,230.9777367,-,14,0°41'21''RT,13.11136203,80.19364896,,,,,RUSTED,NO E/W,220KV ABOVE XING,,WATER LOGGED,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.1936489623039 13.111362028867, 80.1964211091399 13.1111857574433)"
15,TN - 14,,T,DC,32,TN - 17 : TN - 18,304.1408967,-,14,2°36'18''LT,13.11118576,80.19642111,,,,,RUSTED,AVAILABLE,,,WATER LOGGED,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.1964211091399 13.1111857574433, 80.1974753849208 13.1110704224556)"
16,TN - 15,,T,DC,32,TN - 18 : TN - 19,117.9963805,-,15,5°36'23''LT,13.11107042,80.19747538,,,,,RUSTED,AVAILABLE,11KV,SH,WATER LOGGED,BUSHES,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.1974753849208 13.1110704224556, 80.1989614963531 13.1107586156576)"
17,TN - 16,,T,DC,28,TN - 19 : TN - 20,167.7487534,-,15,74°13'5''LT,13.11075862,80.1989615,,,,,RUSTED,AVAILABLE,,,WATER LOGGED,BUSHES,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.1989614963531 13.1107586156576, 80.1990913320332 13.1110021099448)"
18,TN - 17,,T,DC,32,TN - 20 : TN - 21,33.3860408,6.5,14,4°9'10''RT,13.11100211,80.19909133,,,,,RUSTED,AVAILABLE,,,PLAIN,BUSHES,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.1990913320332 13.1110021099448, 80.1996017061173 13.1121530290693)"
19,TN - 18,,T,DC,32,TN - 21 : TN - 22,141.792637,6.8,14,20°33'32''LT,13.11215303,80.19960171,,,,,RUSTED,AVAILABLE,,RAILWAY,PLAIN,BUSHES,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.1996017061173 13.1121530290693, 80.200536 13.113217)"
