S.No,Tower No.,Joint Box,Tower Suspension / Tension,Tower Type,Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),Ground Elevation,Deviation Angle,Latitude,Longitude,,,,,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire ( Missing,  Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
1,Thiruvalam 230 Gantry,2W,,Gantry,18,-,-,-,224,,12.99985278,79.24287778,2W,,,,GOOD,-,-,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.24287777777778 12.999852777777777, 79.24342777777778 12.999955555555555)"
2,1,,Tension,SD+0,34,4-5,63,2.3,219,"4°50'40.46""RT",12.99995556,79.24342778,,,,,GOOD,NO E/W,-,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.24342777777778 12.999955555555555, 79.24598055555556 13.000027777777778)"
3,2,,Tension,SPECIAL,34,5-6,280,0.5,212,"6°2'2.51""LT",13.00002778,79.24598056,,,,,OLD TOWER,GOOD,LT,Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.24598055555556 13.000027777777778, 79.24921388888889 13.000455555555556)"
4,3,,Suspension,SPECIAL,34,6-7,358,0.6,207,,13.00045556,79.24921389,,,,,OLD TOWER,GOOD,LT,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.24921388888889 13.000455555555556, 79.25060555555555 13.000647222222222)"
5,4,2W,Tension,DD+0,34,7-8,153,1.7,213,"56°16'48.13""LT",13.00064722,79.25060556,3W,,,,GOOD,GOOD,-,-,Plain,LILO Tower (SP Koil),,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.25060555555555 13.000647222222222, 79.25102222222222 13.00148888888889)"
6,5,,Tension,DD+12,46,8-9,109,8.2,215,"28°57'1.39""LT",13.00148889,79.25102222,,,,,GOOD,GOOD,LT,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.25102222222222 13.00148888888889, 79.25096111111111 13.002494444444444)"
7,6,,Tension,DD+12,46,9-10,117,2.5,216,"1°20'38.17""RT",13.00249444,79.25096111,,,,,GOOD,GOOD,230kv,-,Plain,OPGW Joint Box Existed on tower for Thiruvalam-Mosur Line,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.25096111111111 13.002494444444444, 79.25088611111111 13.005105555555556)"
8,7,,Tension,DC+0,32,10-11,292,"3,2",210,"20°33’0.09""RT",13.00510556,79.25088611,,,,,GOOD,GOOD,HT,Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.25088611111111 13.005105555555556, 79.2518 13.007705555555555)"
9,8,,Tension,DB+0,30,11-12,308,3.5,206,"3°28’58.09""RT",13.00770556,79.2518,,,,,GOOD,GOOD,Three LT,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.2518 13.007705555555555, 79.25275833333333 13.010133333333334)"
10,9,,Tension,DD+0,34,12-13,292,0.6,208,"34°41'5.57""LT",13.01013333,79.25275833,,,,,GOOD,GOOD,Two HT,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.25275833333333 13.010133333333334, 79.25228333333334 13.0125)"
