S. No ,Tower No,Tower Type 1,Tower Type,Tower Hight (Mtrs),Span Between Tower No.,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation,Horizontal Angle(˚),Longitude,Latitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earth wire (Missing,Broken etc)",Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
21,T.NO 20,S,DA,26,19-20,301.496268633627,6.2,40,,79.7715,12.379888888888889,GOOD,GOOD,HT-1 LT-1,,FOREST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.7715 12.379888888888889, 79.76941666666667 12.378)"
22,T.NO 21,S,DA,26,20-21,307.148172711478,5.11,40,,79.76941666666667,12.378,GOOD,GOOD,,,FOREST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.76941666666667 12.378, 79.76733333333333 12.376138888888889)"
23,T.NO 22,S,DA,26,21-22,305.865983724899,4.37,40,,79.76733333333333,12.376138888888889,GOOD,GOOD,,,CULTIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.76733333333333 12.376138888888889, 79.76513888888888 12.374166666666667)"
24,T.NO 23,T,DB,24,22-23,324.228314617956,4.78,40,"0°6'59""",79.76513888888888,12.374166666666667,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.76513888888888 12.374166666666667, 79.76338888888888 12.372611111111112)"
25,T.NO 24,S,DA,26,23-24,256.288899486497,6.54,42,,79.76338888888888,12.372611111111112,GOOD,GOOD,HT-1,POND,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.76338888888888 12.372611111111112, 79.761 12.370444444444445)"
26,T.NO 25,S,DA,26,24-25,354.701282771856,5.74,40,,79.761,12.370444444444445,GOOD,GOOD,,CANAL,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.761 12.370444444444445, 79.75922222222222 12.368861111111112)"
27,T.NO 26,S,DA,26,25-26,259.78645076293,6.12,41,,79.75922222222222,12.368861111111112,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.75922222222222 12.368861111111112, 79.75766666666667 12.367444444444445)"
28,T.NO 27,S,DA,26,26-27,231.467060291524,6.57,42,,79.75766666666667,12.367444444444445,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.75766666666667 12.367444444444445, 79.756 12.365916666666667)"
29,T.NO 28,T,DB,24,27-28,247.072863746709,6.13,44,"8°37'42""",79.756,12.365916666666667,GOOD,GOOD,HT-2 LT-1,ROAD-1,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.756 12.365916666666667, 79.7535 12.36425)"
30,T.NO 29,S,DA,26,28-29,329.21877224727,5.95,43,,79.7535,12.36425,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.7535 12.36425, 79.75116666666666 12.362694444444443)"
31,T.NO 30,S,DA,26,29-30,305.640311477397,6.75,43,,79.75116666666666,12.362694444444443,GOOD,GOOD,LT-1,CEMENT ROAD-1,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.75116666666666 12.362694444444443, 79.74905555555556 12.361305555555555)"
32,T.NO 31,S,DA,26,30-31,276.240836952106,6.17,43,,79.74905555555556,12.361305555555555,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.74905555555556 12.361305555555555, 79.74672222222222 12.359777777777778)"
33,T.NO 32,S,DA,26,31-32,304.532428486688,5.78,42,,79.74672222222222,12.359777777777778,GOOD,GOOD,,POND,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.74672222222222 12.359777777777778, 79.74425 12.358166666666666)"
34,T.NO 33,S,DA,26,32-33,321.460728550161,5.54,42,,79.74425,12.358166666666666,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.74425 12.358166666666666, 79.74191666666667 12.356583333333333)"
35,T.NO 34,S,DA,26,33-34,307.883094696672,6.19,41,,79.74191666666667,12.356583333333333,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.74191666666667 12.356583333333333, 79.73958333333333 12.355055555555555)"
36,T.NO 35,S,DA,26,34-35,305.366992322353,6.78,41,,79.73958333333333,12.355055555555555,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.73958333333333 12.355055555555555, 79.73725 12.353527777777778)"
37,T.NO 36,S,DA,26,35-36,306.752343104336,5.38,42,,79.73725,12.353527777777778,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.73725 12.353527777777778, 79.73519444444445 12.352138888888888)"
38,T.NO 37,S,DA,26,36-37,269.050181193026,7.19,37,,79.73519444444445,12.352138888888888,GOOD,GOOD,,,FOREST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.73519444444445 12.352138888888888, 79.73311111111111 12.350805555555555)"
39,T.NO 38,S,DA,26,37-38,272.426136778394,4.2,39,,79.73311111111111,12.350805555555555,GOOD,GOOD,,,FOREST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.73311111111111 12.350805555555555, 79.73097222222222 12.349333333333334)"
40,T.NO 39,S,DA,26,38-39,282.962895094039,3.77,43,,79.73097222222222,12.349333333333334,GOOD,GOOD,,,FOREST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.73097222222222 12.349333333333334, 79.72886111111112 12.348)"
41,T.NO 40,S,DA,26,39-40,272.121296483756,3.61,36,,79.72886111111112,12.348,GOOD,GOOD,,,LAKE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.72886111111112 12.348, 79.7265 12.346444444444446)"
42,T.NO 41,S,DA,26,40-41,310.357857963996,4.27,36,,79.7265,12.346444444444446,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.7265 12.346444444444446, 79.72430555555556 12.345)"
43,T.NO 42,S,DA,26,41-42,285.119273287514,4.83,36,,79.72430555555556,12.345,GOOD,GOOD,,POND,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.72430555555556 12.345, 79.72230555555555 12.343694444444445)"
44,T.NO 43,S,DA,26,42-43,264.03787607084,5.39,37,,79.72230555555555,12.343694444444445,GOOD,GOOD,,ROAD-1,POND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.72230555555555 12.343694444444445, 79.72047222222223 12.342472222222224)"
45,T.NO 44,T,DB,24,43-44,241.018671475884,5.76,36,"4°28'39""",79.72047222222223,12.342472222222224,GOOD,GOOD,LT-1,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.72047222222223 12.342472222222224, 79.71847222222222 12.340916666666667)"
46,T.NO 45,S,DA,26,44-45,275.494101570251,4.05,38,,79.71847222222222,12.340916666666667,GOOD,GOOD,LT-3,MUD ROAD-1,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.71847222222222 12.340916666666667, 79.71652777777778 12.339361111111112)"
47,T.NO 46,S,DA,26,45-46,273.928822871928,4.32,39,,79.71652777777778,12.339361111111112,GOOD,GOOD,LT-1,,CULTIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.71652777777778 12.339361111111112, 79.71475000000001 12.338000000000001)"
48,T.NO 47,S,DA,26,46-47,245.051015096857,4.96,38,,79.71475000000001,12.338000000000001,GOOD,GOOD,LT-2,,CULTIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.71475000000001 12.338000000000001, 79.7123888888889 12.336194444444445)"
49,T.NO 48,S,DA,26,47-48,325.219925588824,5.78,40,,79.7123888888889,12.336194444444445,GOOD,GOOD,,LAKE,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.7123888888889 12.336194444444445, 79.71016666666667 12.334472222222223)"
50,T.NO 49,S,DA,26,48-49,307.847364776767,5.26,41,,79.71016666666667,12.334472222222223,GOOD,GOOD,LT-1,ROAD-1,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.71016666666667 12.334472222222223, 79.708 12.332749999999999)"
51,T.NO 50,S,DA,26,49-50,302.978547095335,5.84,44,,79.708,12.332749999999999,GOOD,GOOD,HT-1,,CULTIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.708 12.332749999999999, 79.70575000000001 12.331027777777777)"
52,T.NO 51,S,DA,26,50-51,309.803163315031,4.65,47,,79.70575000000001,12.331027777777777,GOOD,GOOD,LT-1,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.70575000000001 12.331027777777777, 79.70358333333334 12.329333333333333)"
53,T.NO 52,S,DA,26,51-52,300.166620396073,4.13,44,,79.70358333333334,12.329333333333333,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.70358333333334 12.329333333333333, 79.70152777777778 12.327694444444445)"
54,T.NO 53,S,DA,26,52-53,289.546196659531,3.72,40,,79.70152777777778,12.327694444444445,GOOD,GOOD,LT-1,MUD ROAD-1,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.70152777777778 12.327694444444445, 79.69911111111111 12.325888888888889)"
55,T.NO 54,S,DA,26,53-54,328.600060864267,3.49,42,,79.69911111111111,12.325888888888889,GOOD,GOOD,"LT-1 , HT-1",ROAD-1,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.69911111111111 12.325888888888889, 79.69691666666667 12.324166666666667)"
56,T.NO 55,S,DA,26,54-55,305.321142405828,3.18,47,,79.69691666666667,12.324166666666667,GOOD,GOOD,LT-2,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.69691666666667 12.324166666666667, 79.69469444444445 12.322416666666667)"
57,T.NO 56,S,DA,26,55-56,308.914227577818,2.84,46,,79.69469444444445,12.322416666666667,GOOD,GOOD,,MUD ROAD-1,CULTIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.69469444444445 12.322416666666667, 79.69252777777778 12.320722222222223)"
58,T.NO 57,S,DA,26,56-57,302.676394851003,2.53,49,,79.69252777777778,12.320722222222223,GOOD,GOOD,,,CULTIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.69252777777778 12.320722222222223, 79.69033333333334 12.319027777777778)"
59,T.NO 58,S,DA,26,57-58,303.819025079076,3.41,49,,79.69033333333334,12.319027777777778,GOOD,GOOD,LT-3,,CULTIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.69033333333334 12.319027777777778, 79.68811111111111 12.317305555555555)"
60,T.NO 59,T,DB,24,58-59,308.29369114531,3.76,49,"0°3'10""",79.68811111111111,12.317305555555555,GOOD,GOOD,LT-1,OODAI-1,CULTIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.68811111111111 12.317305555555555, 79.68594444444444 12.315583333333334)"
61,T.NO 60,S,DA,26,59-60,301.890708701013,3.61,54,,79.68594444444444,12.315583333333334,GOOD,GOOD,,ROAD-1,CULTIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.68594444444444 12.315583333333334, 79.68380555555557 12.313944444444445)"
62,T.NO 61,S,DA,26,60-61,295.656895742345,2.21,55,,79.68380555555557,12.313944444444445,GOOD,GOOD,,,CULTIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.68380555555557 12.313944444444445, 79.68158333333334 12.31225)"
63,T.NO 62,S,DA,26,61-62,304.428973653954,2.61,53,,79.68158333333334,12.31225,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.68158333333334 12.31225, 79.67933333333333 12.310527777777779)"
64,T.NO 63,S,DA,26,62-63,311.014469116792,3.71,54,,79.67933333333333,12.310527777777779,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.67933333333333 12.310527777777779, 79.67719444444445 12.308833333333334)"
65,T.NO 64,S,DA,26,63-64,298.760773864308,2.21,56,,79.67719444444445,12.308833333333334,GOOD,GOOD,,ROAD-1,CULTIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.67719444444445 12.308833333333334, 79.67497222222222 12.307083333333335)"
66,T.NO 65,S,DA,26,64-65,307.675153367964,3.41,57,,79.67497222222222,12.307083333333335,GOOD,GOOD,,,CULTIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.67497222222222 12.307083333333335, 79.67277777777778 12.305361111111111)"
67,T.NO 66,S,DA,26,65-66,306.271121720609,4.71,58,,79.67277777777778,12.305361111111111,GOOD,GOOD,LT-1,,CULTIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.67277777777778 12.305361111111111, 79.67069444444445 12.303777777777778)"
68,T.NO 67,S,DA,26,66-67,287.236836077826,3.21,56,,79.67069444444445,12.303777777777778,GOOD,GOOD,LT-2,,CULTIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.67069444444445 12.303777777777778, 79.66863888888889 12.302138888888889)"
69,T.NO 68,S,DA,26,67-68,286.735069358458,3.41,55,,79.66863888888889,12.302138888888889,GOOD,GOOD,LT-1,,CULTIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.66863888888889 12.302138888888889, 79.66661111111112 12.300555555555556)"
70,T.NO 69,S,DA,26,68-69,283.301959047233,4.32,54,,79.66661111111112,12.300555555555556,GOOD,GOOD,LT-1,ROAD-1,CULTIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.66661111111112 12.300555555555556, 79.66425000000001 12.298833333333333)"
71,T.NO 70,S,DA,26,69-70,319.01410627118,3.61,54,,79.66425000000001,12.298833333333333,GOOD,GOOD,HT-1,,CULTIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.66425000000001 12.298833333333333, 79.66216666666668 12.297138888888888)"
72,T.NO 71,S,DA,26,70-71,293.76351032761,4.61,53,,79.66216666666668,12.297138888888888,GOOD,GOOD,LT-1,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.66216666666668 12.297138888888888, 79.66019444444446 12.295555555555556)"
73,T.NO 72,S,DA,26,71-72,276.443484278433,3.71,52,,79.66019444444446,12.295555555555556,GOOD,GOOD,,MUD ROAD-1,CULTIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.66019444444446 12.295555555555556, 79.65830555555556 12.294083333333333)"
