S.No,Tower No.,Joint Box,Tower Suspension / Tension,Tower Type (DC /SC ),Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),Ground Elevation,Deviation Angle,Latitude,Longitude,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing, Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
1,GANTRY ( ORAGADAM SS ),2W,T,H-POLE,12,,,,33.751911,,12.86389698,79.94080198,GOOD,,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.9408019799739 12.8638969827443, 79.9405940249562 12.8638870082795)"
2,1,,T,DC,26,GANTRY  - 1,25.09378993,4.35,66.727173,90°15'54''RT,12.86388701,79.94059402,GOOD,NO E/W,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.9405940249562 12.8638870082795, 79.940580362454 12.8641899302601)"
3,2,,T,M,45,5 - 6,36.03691919,3.5,67.219597,112°59'49''LT,12.86418993,79.94058036,GOOD,AVAILABLE,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.940580362454 12.8641899302601, 79.9418518971651 12.8647857997566)"
4,3,,T,M,45,6 - 7,155.4151291,2.8,65.690643,61°44'5''RT,12.8647858,79.9418519,GOOD,NO E/W,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.9418518971651 12.8647857997566, 79.9421392288059 12.8645794373005)"
5,4,,T,DC,25,7 - 8,41.14161742,4.75,66.886238,60°41'29''LT,12.86457944,79.94213923,GOOD,AVAILABLE,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.9421392288059 12.8645794373005, 79.943120246753 12.8650178108364)"
6,5,,T,DC,25,8 - 9,119.478853,6.01,61.858471,63°31'44''LT,12.86501781,79.94312025,GOOD,AVAILABLE,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.943120246753 12.8650178108364, 79.9431739747524 12.866538958624)"
7,6,,T,DC,25,9 - 10,170.8446478,3.17,62.254948,23°26'59''RT,12.86653896,79.94317397,GOOD,AVAILABLE,66KV,,PLAIN,DOWN LINE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.9431739747524 12.866538958624, 79.9442839901894 12.8688289783895)"
8,7,,T,DC,25,10 - 11,282.9669786,5.7,58.981689,59°44'13''RT,12.86882898,79.94428399,GOOD,AVAILABLE,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.9442839901894 12.8688289783895, 79.946153992787 12.8689839597791)"
9,8,,S,DC,26,11 - 12,206.1471229,2.46,58.227139,,12.86898396,79.94615399,GOOD,AVAILABLE,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.946153992787 12.8689839597791, 79.9481170345097 12.8689879830926)"
10,9,,T,DC,26,12 - 13,215.520893,4.81,57.365398,80°59'53''RT,12.86898798,79.94811703,GOOD,AVAILABLE,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.9481170345097 12.8689879830926, 79.9480367358773 12.8694786597043)"
