S.No,Tower No.,Joint Box,Tower Suspension / Tension,Tower Type (DC /SC ),Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),No.s of Earthing Sets ( Pipe Earthing  / Counter Poise ),Ground Elevation,Deviation Angle,Longitude,Latitude,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing, Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
15,T.NO 14,,S,MA,45,14-15,329.7711328,3.21,,40,,80.10066667,13.18272222,GOOD,GOOD,HT,2-MUDROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.10066666666665 13.182722222222221, 80.10225 13.180027777777777)"
16,T.NO 15,,T,MB,45,15-16,342.2119226,3.73,,38,"2°0'53""",80.10225,13.18002778,GOOD,GOOD,LT,4-ROAD; MUDROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.10225 13.180027777777777, 80.10272222222221 13.17911111111111)"
17,T.NO 16,,T,MB,45,16-17,114.9347641,3.81,,39,"2°33'21""",80.10272222,13.17911111,GOOD,GOOD,2-LT; HT,2-MUDROAD; ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.10272222222221 13.17911111111111, 80.10355555555554 13.177694444444445)"
18,T.NO 17,,S,MA,45,17-18,178.2386041,3.62,,38,,80.10355556,13.17769444,GOOD,GOOD,HT; LT,3-MUDROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.10355555555554 13.177694444444445, 80.10488888888888 13.175333333333333)"
19,T.NO 18,,S,MA,45,18-19,298.9648809,3.96,,33,,80.10488889,13.17533333,GOOD,GOOD,2-LT,2-MUDROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.10488888888888 13.175333333333333, 80.10630555555555 13.172749999999999)"
20,T.NO 19,,S,MA,45,19-20,323.8826948,3.78,,34,,80.10630556,13.17275,GOOD,GOOD,LT,ROAD;MUDROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.10630555555555 13.172749999999999, 80.10749999999999 13.170694444444443)"
21,T.NO 20,,T,MB,45,20-21,264.6903852,3.82,,38,"6°24'2""",80.1075,13.17069444,GOOD,GOOD,LT,ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.10749999999999 13.170694444444443, 80.10866666666666 13.168)"
22,T.NO 21,,S,MA,45,21-22,324.0771513,3.56,,30,,80.10866667,13.168,GOOD,GOOD,LT,ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.10866666666666 13.168, 80.10952777777777 13.165944444444445)"
23,T.NO 22,,S,MA,45,22-23,244.3869882,3.24,,29,,80.10952778,13.16594444,GOOD,GOOD,2-LT,MUDROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.10952777777777 13.165944444444445, 80.11052777777778 13.163416666666667)"
24,T.NO 23,,S,MA,45,23-24,299.3927187,3.28,,30,,80.11052778,13.16341667,GOOD,GOOD,,LAKE,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.11052777777778 13.163416666666667, 80.11147222222222 13.161388888888888)"
