Tower No,Tower Type  (T/S),Tower Type,Tower Hight (Mtrs),Span Between Tower No.,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation/ M,Horizontal Angle(˚),Longitude,Latitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earht wire (Missing,Broken etc)",Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom,,,,,,,,,,,,,
T.NO 11,T ,DB,24,10-11,253.07141845120006,7.73,66,"6°45'58""",79.85074999999999,12.59088888888889,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.85074999999999 12.59088888888889, 79.85038888888889 12.591222222222223)",,,,,,,,,,,,,
DP1,T ,DP,15,11-DP1,54.74011537017761,DP,65,,79.85038888888889,12.591222222222223,GOOD,GOOD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.85038888888889 12.591222222222223, 79.8501111111111 12.59138888888889)",,,,,,,,,,,,,
DP2,T ,DP,15,DP1-DP2,38.21558813185679,DP,66,,79.8501111111111,12.59138888888889,GOOD,MISSING,230KV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.8501111111111 12.59138888888889, 79.84977777777777 12.59163888888889)",,,,,,,,,,,,,
T.NO 12,T  ,DD,28,DP2-12,46.60701700396552,7.52,65,"35°23'28""",79.84977777777777,12.59163888888889,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.84977777777777 12.59163888888889, 79.84905555555555 12.594000000000001)",,,,,,,,,,,,,
T.NO 13,S ,DA,26,12-13,271.8800472533922,6.79,63,,79.84905555555555,12.594000000000001,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.84905555555555 12.594000000000001, 79.84830555555556 12.596333333333334)",,,,,,,,,,,,,
T.NO 14,S,DA,26,13-14,273.32517327636094,7.32,63,,79.84830555555556,12.596333333333334,GOOD,GOOD,,"TAAR ROAD 2,CANAL",PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.84830555555556 12.596333333333334, 79.84755555555554 12.59875)",,,,,,,,,,,,,
T.NO 15,S ,DA,26,14-15,279.7274654568509,6.32,62,,79.84755555555554,12.59875,GOOD,GOOD,LT,CANAL,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.84755555555554 12.59875, 79.84677777777777 12.601222222222221)",,,,,,,,,,,,,
T.NO 16,T ,DC,26,15-16,287.0069929215018,7.21,63,"19°32'24""",79.84677777777777,12.601222222222221,GOOD,GOOD,,TAAR ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.84677777777777 12.601222222222221, 79.84594444444444 12.602333333333332)",,,,,,,,,,,,,
T.NO 17,T ,DD,28,16-17,154.8083222715858,6.53,64,"54°20'51""",79.84594444444444,12.602333333333332,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.84594444444444 12.602333333333332, 79.84394444444445 12.602333333333332)",,,,,,,,,,,,,
T.NO 18,S ,DA,26,17-18,219.00917411888886,5.32,64,,79.84394444444445,12.602333333333332,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.84394444444445 12.602333333333332, 79.84169444444444 12.602277777777777)",,,,,,,,,,,,,
