S.No,Tower No.,Joint Box,Tower Suspension / Tension,Tower Type,Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),Ground Elevation,Deviation Angle,Latitude,Longitude,,,,,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire ( Missing,  Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
1,Ambur Gantry,2W,,Gantry,15,-,-,-,340,,12.77783889,78.72585278,2W,,,,GOOD,-,-,-,Plain,No Peak Available on Gantry,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.72585277777777 12.77783888888889, 78.72595 12.778327777777779)"
2,1,,Tension,SD+0,28,4-5,60,7,344,"27°43’17.77""RT",12.77832778,78.72595,,,,,GOOD,NO E/W,Four 33kv,"Road, CTR",Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.72595 12.778327777777779, 78.72726944444445 12.780055555555556)"
3,2,,Tension,SB+3,27,5-6,254,5.2,335,0°23’33.12”RT,12.78005556,78.72726944,,,,,GOOD,GOOD,LT,Canal,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.72726944444445 12.780055555555556, 78.7285 12.781547222222223)"
4,3,,Suspension,SA+3,29,6-7,204,2.3,331,,12.78154722,78.7285,,,,,GOOD,GOOD,-,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.7285 12.781547222222223, 78.730075 12.783530555555556)"
5,4,,Tension,SB+3,27,7-8,282,4.1,334,1°13’41.24”RT,12.78353056,78.730075,,,,,GOOD,GOOD,-,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.730075 12.783530555555556, 78.73125833333333 12.784916666666666)"
6,5,,Suspension,SA+3,29,8-9,204,2.3,349,,12.78491667,78.73125833,,,,,GOOD,GOOD,-,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.73125833333333 12.784916666666666, 78.73245 12.786416666666666)"
7,6,,Tension,SB+3,27,9-10,214,1.7,342,"2°2’5.87""RT",12.78641667,78.73245,,,,,GOOD,GOOD,Four LT,"Three CTR, Road",Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.73245 12.786416666666666, 78.73418333333333 12.788483333333334)"
8,7,,Tension,SC+0,26,10-11,304,1.3,328,"17°42’2.72""LT",12.78848333,78.73418333,,,,,GOOD,GOOD,-,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.73418333333333 12.788483333333334, 78.73505833333333 12.790522222222222)"
9,8,,Suspension,SA+0,26,11-12,245,0.2,326,,12.79052222,78.73505833,,,,,GOOD,GOOD,Two 33kv,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.73505833333333 12.790522222222222, 78.73569444444445 12.79233611111111)"
10,9,,Suspension,SA+0,26,12-13,223,0.5,324,,12.79233611,78.73569444,,,,,GOOD,GOOD,-,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.73569444444445 12.79233611111111, 78.73646111111111 12.79425)"
11,10,,Suspension,SA+0,26,13-14,231,5.1,322,,12.79425,78.73646111,,,,,GOOD,GOOD,Three LT,Two Roads,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.73646111111111 12.79425, 78.73721666666667 12.7962)"
12,11,,Suspension,SA+0,26,14-15,233,7.2,319,,12.7962,78.73721667,,,,,GOOD,GOOD,-,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.73721666666667 12.7962, 78.73790833333334 12.797986111111111)"
13,12,,Tension,SB+0,24,15-16,225,7.1,318,0°8’16.15”RT,12.79798611,78.73790833,,,,,GOOD,GOOD,-,CTR,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.73790833333334 12.797986111111111, 78.73876666666666 12.80008888888889)"
14,13,,Suspension,SA+0,26,16-17,249,0.6,324,,12.80008889,78.73876667,,,,,GOOD,GOOD,Two LT,CTR,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.73876666666666 12.80008888888889, 78.73940555555555 12.801766666666667)"
15,14,,Tension,SC+0,26,17-18,202,0.9,317,"17°57’26.64""LT",12.80176667,78.73940556,,,,,GOOD,GOOD,Two LT,Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.73940555555555 12.801766666666667, 78.73953611111111 12.803647222222223)"
16,15,,Tension,SB+0,24,18-19,212,5.2,320,3°55’41.23”RT,12.80364722,78.73953611,,,,,GOOD,GOOD,-,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.73953611111111 12.803647222222223, 78.73984444444444 12.805944444444446)"
17,16,,Tension,SD+0,26,19-20,257,7.8,314,"36°11’36.97""RT",12.80594444,78.73984444,,,,,GOOD,GOOD,-,Two CTR,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.73984444444444 12.805944444444446, 78.74072222222222 12.80793888888889)"
18,17,3W,Tension,DD+6,34,20-21,252,5.8,383,"60°37’26.2""LT",12.80793889,78.74072222,3W,,,,GOOD,GOOD,-,-,Hilly,LILO Tower for OPGW,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.74072222222222 12.80793888888889, 78.73975 12.80947777777778)"
