S.No,Tower No.,Joint Box,Tower Suspension / Tension,Tower Type,Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),Ground Elevation,Deviation Angle,Latitude,Longitude,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing,  Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
1,GANTRY TNSCB 110KV SS,2W,GT,,15,,,,4,,12.8804,80.2055,GOOD,,,,INSIDE SS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.2055 12.8804, 80.2055 12.8804)"
2,T.NO-1,,T,DD,28,GT-1,8.062257748,1.2,4,"63°13'6"" ",12.8804,80.2055,GOOD,GOOD,,,INISDE SS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.2055 12.8804, 80.2058 12.8803)"
3,T.NO-2,,T,DD,28,01-????????,29.73213749,2.27,4,"73°38'53"" ",12.8803,80.2058,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.2058 12.8803, 80.2058 12.8799)"
4,T.NO-3,,T,DD,28,02-??????,52.08646657,2.4,4,"83°27'30"" ",12.8799,80.2058,GOOD,GOOD,11KV-1,TAR-1,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.2058 12.8799, 80.2063 12.8799)"
5,T.NO-4,,T,DD,28,03-??????,53.08483776,4.37,5,"10°47'48"" ",12.8799,80.2063,GOOD,NO EARTH WIRE,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.2063 12.8799, 80.2064 12.8799)"
6,GT,,GT,,,4-GT,12.36931688,,5,,12.8799,80.2064,GOOD,NO EARTH WIRE,220KV -1 XING ABVOE,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.2064 12.8799, 80.2065 12.8799)"
7,GT,,GT,,,GT-GT,19.23538406,,5,,12.8799,80.2065,GOOD,NO EARTH WIRE,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.2065 12.8799, 80.2067 12.8799)"
8,T.NO-5,,T,DD,28,GT-5,20.22374842,5.37,5,"6°48'14"" ",12.8799,80.2067,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.2067 12.8799, 80.2086 12.8798)"
9,T.NO-6,,T,DD,28,05-????,199.0904317,7.71,5,"2°3'58"" ",12.8798,80.2086,GOOD,GOOD,,TAR-2,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.2086 12.8798, 80.2101 12.8798)"
10,T.NO-7,,T,DD,28,06-????,169.0029586,5.44,5,"71°58'12"" ",12.8798,80.2101,GOOD,GOOD,,,PLAIN,INSIDE CANAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.2101 12.8798, 80.2104 12.8809)"
11,T.NO-8,,T,DD,28,07-??????,121.7579566,,5,"5°15'36"" ",12.8809,80.2104,GOOD,GOOD,,,PLAIN,INSIDE CANAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.2104 12.8809, 80.2108 12.8826)"
12,T.NO-9,,T,DD,28,08-??????????,190.4652199,,5,,12.8826,80.2108,GOOD,GOOD,,,PLAIN,INSIDE CANAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.2108 12.8826, 80.2113 12.8849)"
13,T.NO-10,,T,DD,28,09-????????,265.548489,,5,"30°4'49"" ",12.8849,80.2113,GOOD,GOOD,,,PLAIN,INISDE WATER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.2113 12.8849, 80.2107 12.8867)"
14,T.NO-11,,T,DD,28,10-???????,206.4969733,4.81,5,"43°52'37"" ",12.8867,80.2107,GOOD,GOOD,,,PLAIN,INISDE WATER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.2107 12.8867, 80.211 12.8873)"
15,T.NO-12,,T,DD,28,11-????????,74.24957912,,5,"64°28'13"" ",12.8873,80.211,GOOD,NO EARTH WIRE,220KV-1 XING ABOVE,,PLAIN,INISDE WATER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.211 12.8873, 80.2106 12.8873)"
16,T.NO-13 GT,,GT,,,????????-13,45,,5,,12.8873,80.2106,GOOD,NO EARTH WIRE,,,PLAIN,INISDE WATER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.2106 12.8873, 80.2105 12.8874)"
17,T.NO-14,,T,DD,30,13-14,12.80624847,2.34,5,"38°45'15"" ",12.8874,80.2105,GOOD,GOOD,110KV-1 XING BELOW,,PLAIN,INISDE WATER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.2105 12.8874, 80.2101 12.8892)"
18,T.NO-15,,T,DD,30,14-15,205.9757267,3.34,5,"63°15'42"" ",12.8892,80.2101,GOOD,GOOD,,,PLAIN,INISDE WATER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.2101 12.8892, 80.2086 12.8896)"
19,T.NO-16,,T,DD,28,15-16,168.0773631,4.88,5,"86°11'28"" ",12.8896,80.2086,GOOD,NO EARTH WIRE,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.2086 12.8896, 80.2087 12.8899)"
20,T.NO-17 GT,,GT,,,16-17,35.73513677,,5,,12.8899,80.2087,GOOD,NO EARTH WIRE,220KV-1 XING ABVOE,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.2087 12.8899, 80.2086 12.8901)"
21,T.NO-18 GT,,GT,,,17-18,27.29468813,,5,,12.8901,80.2086,GOOD,NO EARTH WIRE,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.2086 12.8901, 80.2086 12.8904)"
22,T.NO-19,,T,DD,28,18-19,30.01666204,4.9,5,,12.8904,80.2086,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.2086 12.8904, 80.2087 12.8931)"
