S.No,Tower No.,Tower Suspension / Tension,Tower Type (DC /SC ),Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),Ground Elevation,Deviation Angle,Latitude,Longitude,JB Location,Earthing Location,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing, Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
31,30,T,H-POLE,15,29 - 30,17,6.52,11,,12.957226,80.21045,,,GOOD,NO E/W,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.21045 12.957226, 80.210544 12.957019)"
32,31,T,H-POLE,15,30 - 31,24.729278422107114,3.57,11,17°15'57''RT,12.957019,80.210544,,,GOOD,NO E/W,230KV,,Water logged,UPLINE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.210544 12.957019, 80.21565246 12.9604296)"
33,32,T,DC,28,31 - 32,40,1.04,10.742929,,12.9604296,80.21565246,Yes,,GOOD,NO E/W,,,Water logged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.21565246 12.9604296, 80.21600903 12.96257696)"
34,33,T,DC,28,32 - 33,215.7844435474957,6.22,10.380494,149°35'42''LT,12.96257696,80.21600903,,,GOOD,AVAILABLE,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.21600903 12.96257696, 80.21560301 12.96357097)"
35,34,T,DC,28,33 - 34,270.02961834074307,2.7,10.712717,0°22'26''RT,12.96357097,80.21560301,,,GOOD,AVAILABLE,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.21560301 12.96357097, 80.21604641 12.96471879)"
36,35,T,DC,28,34 - 35,188.78572762043373,7.13,9.83792,4°23'26''RT,12.96471879,80.21604641,,,GOOD,AVAILABLE,,,Water logged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.21604641 12.96471879, 80.21672132 12.96655342)"
37,36,T,DC,28,35 - 36,132.8889378685382,5.67,13.192736,74°24'54''RT,12.96655342,80.21672132,,,GOOD,AVAILABLE,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.21672132 12.96655342, 80.21670632 12.9666592)"
38,37,T,DC,28,36 - 37,174.59253442718503,3.95,10.876357,0°9'33''LT,12.9666592,80.21670632,,,GOOD,AVAILABLE,HT,ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.21670632 12.9666592, 80.21502072 12.9685199)"
39,38,T,DC,28,37 - 38,198.06054374518598,4.03,9.886789,7°29'57''LT,12.9685199,80.21502072,,,GOOD,AVAILABLE,,MUD ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.21502072 12.9685199, 80.206513 12.969894)"
40,39,T,H-POLE,15,38 - 39,24,2.56,12,,12.969894,80.206513,,,GOOD,NO E/W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.206513 12.969894, 80.206357 12.969916)"
41,40,T,H-POLE,15,39 - 40,19,2.08,11.98243,38°35'2''RT,12.969916,80.206357,,,GOOD,NO E/W,230KV,,PLAIN,UPLINE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.206357 12.969916, 80.21320864 12.97039744)"
42,41,T,DC,28,40 - 41,18.06082535085971,1.8,11.94692,35°16'7''LT,12.97039744,80.21320864,,,GOOD,NO E/W,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.21320864 12.97039744, 80.21339103 12.97053399)"
43,42,T,DC,28,41 - 42,59.58287636904198,3.06,12.620575,79°29'29''LT,12.97053399,80.21339103,,,GOOD,AVAILABLE,,ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.21339103 12.97053399, 80.21371298 12.97087496)"
44,43,T,DC,28,42 - 43,58.926813203626644,2.05,11.500323,100°44'20''RT,12.97087496,80.21371298,,,GOOD,AVAILABLE,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.21371298 12.97087496, 80.21384801 12.971098)"
45,44,T,DC,28,43 - 44,38.45993920966082,6.1,15.162018,66°26'12''RT,12.971098,80.21384801,,,GOOD,AVAILABLE,,,PLAIN,,,6946,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.21384801 12.971098, 80.21354743 12.97215781)"
46,Gantry ( Perumbakkam TNSCB SS ),T,H-POLE,15,44 - Gantry ,16.72879549707028,-,14.920059,,12.97215781,80.21354743,Yes,,GOOD,NO E/W,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL,,,,,,=SUM(G7:G52),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note :  1. Shut down will be required in where earth wiers are missing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
