S.No,Tower No.,Tower Suspension / Tension,Tower Type (DC /SC ),Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),Ground Elevation,Deviation Angle,Latitude,Longitude,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing, Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
19,98,T,DC,26,"=B23& "" - ""&B24",296.2101911557654,8.02,29.041903,15°41'25''LT,13.0119939800351,80.0812309607863,GOOD,AVAILABLE,,CANAL,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.0812309607863 13.0119939800351, 80.081484010443 13.009570017457)"
20,99,T,DC,26,"=B24& "" - ""&B25",275.99099719824494,1.15,33.074623,72°9'14''RT,13.009570017457,80.081484010443,GOOD,AVAILABLE,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.081484010443 13.009570017457, 80.083257285878 13.0091967713087)"
21,100,T,DC,26,"=B25& "" - ""&B26",203.19343838408227,5.4,30.347401,19°55'49''LT,13.0091967713087,80.083257285878,GOOD,AVAILABLE,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.083257285878 13.0091967713087, 80.0849670264869 13.0093820113688)"
22,101,T,DC,26,"=B26& "" - ""&B27",193.0507458081867,2.81,31.611177,0°10'39''RT,13.0093820113688,80.0849670264869,GOOD,AVAILABLE,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.0849670264869 13.0093820113688, 80.0852482393383 13.0094133596867)"
23,102,T,DC,26,"=B27& "" - ""&B28",37.19411766576589,3.04,31.855242,11°43'39''RT,13.0094133596867,80.0852482393383,GOOD,AVAILABLE,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.0852482393383 13.0094133596867, 80.0854995287954 13.0093961767852)"
24,103,T,SC,26,"=B28& "" - ""&B29",33.81864369854748,1.7,32.2110369999999,2°47'52''RT,13.0093961767852,80.0854995287954,GOOD,NO E/W,110KV,,PLAIN,UP LINE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.0854995287954 13.0093961767852, 80.085715027526 13.0093919858336)"
25,LILO : 104,T,DC,26,"=B29& "" - ""&B30",29.875536062681466,5.11,32.546505,67°52'25''LT,13.0093919858336,80.085715027526,GOOD,AVAILABLE,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.085715027526 13.0093919858336, 80.0854130275547 13.0087439808994)"
26,105,T,DC,26,"=B30& "" - ""&B31",85.29830313924617,2.81,32.4810409999999,25°7'5''RT,13.0087439808994,80.0854130275547,GOOD,AVAILABLE,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.0854130275547 13.0087439808994, 80.0854202359914 13.0055712629109)"
27,106,S,DC,28,"=B31& "" - ""&B32",357.4027069481477,-,31.1944389999999,,13.0055712629109,80.0854202359914,GOOD,AVAILABLE,LT,ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.0854202359914 13.0055712629109, 80.085418978706 13.0022950284183)"
28,107,S,DC,28,"=B32& "" - ""&B33",368.85067292484695,4.53,30.111736,,13.0022950284183,80.085418978706,GOOD,AVAILABLE,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.085418978706 13.0022950284183, 80.0854420289397 12.9992219712585)"
