S.No,Tower No.,Tower Suspension / Tension,Tower Type (DC /SC ),Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),Ground Elevation,Deviation Angle,Latitude,Longitude,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing, Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
1,T/Off at  25,T,DC,28,,,,26.955967,,12.8623299859464,80.1462290156632,GOOD,,,,PLAIN,T/Off point at Mambakkam - Nallambakkam Link,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.1462290156632 12.8623299859464, 80.1481099985539 12.8645620029419)"
2,81,S,DC,28,LILO : 25 - 81,324.80815480523415,3.08,24.6930389999999,,12.8645620029419,80.1481099985539,GOOD,NO E/W,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.1481099985539 12.8645620029419, 80.150004979223 12.866740040481)"
3,82,S,DC,28,81 - 82,321.21294025027777,1.76,21.1752949999999,,12.866740040481,80.150004979223,GOOD,AVAILABLE,"LT, HT",ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.150004979223 12.866740040481, 80.1520380098372 12.869041962549)"
4,83,S,DC,28,82 - 83,341.36731090390373,0.89,18.8998579999999,,12.869041962549,80.1520380098372,GOOD,AVAILABLE,LT -2,ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.1520380098372 12.869041962549, 80.1541100163012 12.8713690303266)"
5,84,S,DC,28,83 - 84,346.2399378990884,6.1,18.26358,,12.8713690303266,80.1541100163012,GOOD,AVAILABLE,LT -2,CANAL,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.1541100163012 12.8713690303266, 80.1559370197355 12.8734859637916)"
6,85,S,DC,28,84 - 85,311.28263333994715,2.89,14.772035,,12.8734859637916,80.1559370197355,GOOD,AVAILABLE,LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.1559370197355 12.8734859637916, 80.1577220298349 12.8755410388112)"
7,86,S,DC,28,85 - 86,303.1174165968592,7.01,15.81587,,12.8755410388112,80.1577220298349,GOOD,AVAILABLE,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.1577220298349 12.8755410388112, 80.1595730055123 12.8776360116899)"
8,87,S,DC,28,86 - 87,311.1281873569554,5.33,15.3555259999999,,12.8776360116899,80.1595730055123,GOOD,AVAILABLE,LT,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.1595730055123 12.8776360116899, 80.1613600272685 12.8796579781919)"
9,88,S,DC,28,87 - 88,300.48061512552164,5.06,14.938672,,12.8796579781919,80.1613600272685,GOOD,NO E/W,230KV,,AGRI,UPLINE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.1613600272685 12.8796579781919, 80.1631290279328 12.8816390410065)"
10,89,S,DC,28,88 - 89,295.7844313412183,3.72,15.001746,,12.8816390410065,80.1631290279328,GOOD,AVAILABLE,LT,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.1631290279328 12.8816390410065, 80.1651489827781 12.8839019872248)"
