S.No,Tower No.,Joint Box,Tower Suspension / Tension,Tower Type (DC /SC ),Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),Ground Elevation,Deviation Angle,Latitude,Longitude,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing, Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
1,Gantry ( SIPCOT  SS ),2W,T,H-POLE,15,,,,80.512894,,12.92113599,79.90658202,GOOD,,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.9065820220857 12.9211359936743, 79.9063920043408 12.9213440325111)"
2,1,,T,DC,28,Gantry  - 1,33.39462692,2.04,81.780731,4°32'45''LT,12.92134403,79.906392,GOOD,NO E/W,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.9063920043408 12.9213440325111, 79.9057699833065 12.9219249822199)"
3,2,,T,DC,28,01-Feb,95.68331294,1.76,81.616295,85°52'1''LT,12.92192498,79.90576998,GOOD,AVAILABLE,HT -2,ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.9057699833065 12.9219249822199, 79.9046619795262 12.9209370072931)"
4,3,,T,DC,28,02-Mar,164.955965,0.53,81.571083,1°23'59''RT,12.92093701,79.90466198,GOOD,AVAILABLE,HT -3,,PLAIN,SIPCOT AREA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.9046619795262 12.9209370072931, 79.9027830082923 12.9193420149385)"
5,4,,S,DC,28,03-Apr,272.0928762,1.18,81.69841,,12.91934201,79.90278301,GOOD,AVAILABLE,HT,,PLAIN,SIPCOT AREA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.9027830082923 12.9193420149385, 79.9007730279117 12.917562033981)"
6,5,,T,DC,28,04-May,296.2959215,3.07,83.601273,44°49'41''RT,12.91756203,79.90077303,GOOD,AVAILABLE,HT,,PLAIN,SIPCOT AREA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.9007730279117 12.917562033981, 79.8982079979032 12.9176829848438)"
7,6,,T,DC,28,05-Jun,281.1172358,1.69,79.910469,0°30'44''RT,12.91768298,79.898208,GOOD,AVAILABLE,HT,,PLAIN,SIPCOT AREA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.8982079979032 12.9176829848438, 79.8967949766665 12.9177620261907)"
8,7,,T,DC,28,06-Jul,156.0564683,4.5,80.936325,88°57'2''LT,12.91776203,79.89679498,GOOD,AVAILABLE,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.8967949766665 12.9177620261907, 79.8966229800134 12.9155249800533)"
9,8,,T,DC,28,07-Aug,250.6314948,2.07,81.731323,3°2'20''LT,12.91552498,79.89662298,GOOD,AVAILABLE,,ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.8966229800134 12.9155249800533, 79.8965760413557 12.913454985246)"
10,9,,S,DC,28,08-Sep,231.5086545,0.89,77.983681,,12.91345499,79.89657604,GOOD,AVAILABLE,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.8965760413557 12.913454985246, 79.8965140152722 12.9109890293329)"
11,10,,S,DC,28,09-Oct,275.3303164,1.13,77.57605,,12.91098903,79.89651402,GOOD,AVAILABLE,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.8965140152722 12.9109890293329, 79.896420976147 12.9083580337464)"
12,11,,T,DC,28,10-Nov,293.6765241,4.01,80.531349,85°37'55''RT,12.90835803,79.89642098,GOOD,AVAILABLE,,ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.896420976147 12.9083580337464, 79.8953670356422 12.9083150345832)"
13,12,,T,DC,28,11-Dec,116.9517008,0.75,80.410332,21°18'49''RT,12.90831503,79.89536704,GOOD,AVAILABLE,,ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.8953670356422 12.9083150345832, 79.8947430029511 12.9085250012576)"
14,13,2W,T,DC,28,Dec-13,74.07975398,1.1,79.905212,39°3'30''RT,12.908525,79.894743,GOOD,AVAILABLE,,ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.8947430029511 12.9085250012576, 79.8948150034993 12.9084120132029)"
15,13A,,T,H-POLE,15,13 - 13A,17.23787813,0.92,78.535278,12°26'34''RT,12.90841201,79.894815,GOOD,NO E/W,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.8948150034993 12.9084120132029, 79.8948809690773 12.908229958266)"
