S. No ,Tower No,Joint BoX,Supspension/Tension,Tower Type,Tower Hight (Mtrs),Span Between Tower No.,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation,Horizontal Angle(˚),Longitude,Latitude,JB Location,Eathing Location,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earth wire (Missing,Broken etc)",Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
1,T.NO 99LILO MADHURADHAM, ,T,DC,26,,,,45,,79.84125,12.53988889,Yes,,GOOD,GOOD,,,PLAIN,MADHURANDHAGAM LILO NEED 3WAY JUNCTION BOX,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.84125 12.539888888888889, 79.84130555555555 12.539666666666667)"
2,T.NO 1 ,,T,DD,28,99LILO-1,26.92582404,2.95,45,"48°37'50""",79.84130556,12.53966667,,,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.84130555555555 12.539666666666667, 79.84291666666667 12.53888888888889)"
3,T.NO 2,,T,DB,24,01-Feb,194.0927613,4.95,38,"10°49'58""",79.84291667,12.53888889,,,GOOD,GOOD,,CANAL,CULTIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.84291666666667 12.53888888888889, 79.84436111111111 12.538499999999999)"
4,T.NO 3,,T,DB,24,02-Mar,164.9757558,5.75,39,"9°15'10""",79.84436111,12.5385,,,GOOD,GOOD,,CANAL,CANAL BED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.84436111111111 12.538499999999999, 79.84625 12.537666666666667)"
5,T.NO 4,,T,DC,26,03-Apr,222.3803049,6.5,33,"19°41'55""",79.84625,12.53766667,,,GOOD,GOOD,LT,"TAAR ROAD , CANAL",CANAL BED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.84625 12.537666666666667, 79.84877777777777 12.537583333333334)"
6,T.NO 5,,S,DA,26,04-May,276.1811,7.13,33,,79.84877778,12.53758333,,,GOOD,GOOD,,CANAL,CANAL BED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.84877777777777 12.537583333333334, 79.85091666666666 12.537305555555555)"
7,T.NO 6,,S,DA,26,05-Jun,234.1964987,7.25,34,,79.85091667,12.53730556,,,GOOD,GOOD,,CANAL,CANAL BED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.85091666666666 12.537305555555555, 79.85313888888888 12.537083333333333)"
8,T.NO 7,,T,DB,24,06-Jul,244.1823089,6.52,33,"3°34'49""",79.85313889,12.53708333,,,GOOD,GOOD,,CANAL,CANAL BED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.85313888888888 12.537083333333333, 79.85491666666667 12.536833333333334)"
9,T.NO 8,,S,DA,26,07-Aug,193.0414463,5.33,32,,79.85491667,12.53683333,,,GOOD,GOOD,,CANAL,CANAL BED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.85491666666667 12.536833333333334, 79.85674999999999 12.536583333333333)"
10,T.NO 9,,T,DC,26,08-Sep,201.4000993,5.34,35,"19°3'7""",79.85675,12.53658333,,,GOOD,GOOD,,CANAL,CANAL BED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.85674999999999 12.536583333333333, 79.85791666666667 12.536777777777777)"
