S.No,Tower No.,JOINT BOX,Tower Suspension / Tension,Tower Type,Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),Ground Elevation,Deviation Angle,Longitude,Latitude,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing,  Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
1,T.NO.73 SHOLINGAR LILO,3W,T,DC,26,,,8.31,164,,79.42566667,13.02827778,GOOD,GOOD,,,PLAIN,SHOLINGAR LILO NEED 3WAY JUNCTION BOX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.42566666666667 13.02827777777778, 79.42805555555556 13.027833333333334)"
2,T.NO.74,,T,SB,24,73-74,262.8003044,6.74,156,"1°17'54""",79.42805556,13.02783333,GOOD,GOOD,2 N0S LT,MUDROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.42805555555556 13.027833333333334, 79.43094444444445 13.02738888888889)"
3,T.NO.75,,S,SA,26,74-75,317.1277345,5.28,153,,79.43094444,13.02738889,GOOD,GOOD,LT,POND,CULTIVACTION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.43094444444445 13.02738888888889, 79.43375 13.026944444444446)"
4,T.NO.76,,S,SA,26,75-76,308.084404,7.03,156,,79.43375,13.02694444,GOOD,GOOD,"2 NOS LT,HT",ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.43375 13.026944444444446, 79.43625 13.026555555555557)"
5,T.NO.77,,S,SA,26,76-77,274.8763358,7.59,156,,79.43625,13.02655556,GOOD,GOOD,,MUDRAOD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.43625 13.026555555555557, 79.4383888888889 13.026166666666667)"
6,T.NO.78,,T,SD,28,77-78,237.118114,6.14,151,"36°2'49""",79.43838889,13.02616667,GOOD,GOOD,,,CULTIVACTION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.4383888888889 13.026166666666667, 79.44105555555556 13.027500000000002)"
7,T.NO.79,,S,SA,26,78-79,323.3357388,5.82,155,,79.44105556,13.0275,GOOD,GOOD,2 NOS LT,,CULTIVACTION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.44105555555556 13.027500000000002, 79.44344444444445 13.028611111111111)"
8,T.NO.80,,S,SA,26,79-80,286.7228627,6.34,158,,79.44344444,13.02861111,GOOD,GOOD,HT,ROAD,PLAIN,,,Proposed for Diamond crossing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.44344444444445 13.028611111111111, 79.44583333333334 13.029833333333334)"
9,T.NO.81,,S,SA,26,80-81,292.9334395,5.08,155,,79.44583333,13.02983333,GOOD,GOOD,2 NOS HT,ROAD,CULTIVACTION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.44583333333334 13.029833333333334, 79.44847222222222 13.031111111111112)"
10,T.NO.82,,S,SA,26,81-82,318.8886953,4.73,151,,79.44847222,13.03111111,GOOD,GOOD,LT,,CULTIVACTION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.44847222222222 13.031111111111112, 79.45105555555556 13.032416666666668)"
