S.No,Tower No.,Joint Box,Tower Suspension / Tension,Tower Type,Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),Ground Elevation,Deviation Angle,Latitude,Longitude,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing,  Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
20,T.NO-15,,T,DC,26,16-15,240.1874268,1.9,34,"14°14'43""",12.88369444,79.67547222,GOOD,GOOD,"LT-1,11KV-1","TAR ROAD-1,CANAL-1",PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.67547222222223 12.883694444444444, 79.67758333333333 12.882805555555557)"
21,T.NO-14,2W,T,DC,26,15-14,249.8819721,2.07,36,"8°58'49""",12.88280556,79.67758333,GOOD,GOOD,11KV-1,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.67758333333333 12.882805555555557, 79.67952777777778 12.882305555555556)"
22,T.NO-13,,T,DC,26,14-13,218.0504529,,39,"49°22'18""",12.88230556,79.67952778,GOOD,GOOD,,,PLAIN,WATER LOGGED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.67952777777778 12.882305555555556, 79.68075 12.883166666666668)"
23,T.NO-12,,T,DC,26,13-Dec,163.1103921,,40,"4°5'46""",12.88316667,79.68075,GOOD,GOOD,"LT-1,11KV-1","TAR ROAD-1,CANAL-1",WATER LOGGED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.68075 12.883166666666668, 79.68269444444445 12.884694444444444)"
24,T.NO-11,,T,DC,26,12-Nov,270.9630971,1.91,38,"7°53'39""",12.88469444,79.68269444,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.68269444444445 12.884694444444444, 79.68458333333334 12.885833333333332)"
25,T.NO-10,,T,DC,26,11-Oct,239.0690277,0.95,36,"17°52'19""",12.88583333,79.68458333,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.68458333333334 12.885833333333332, 79.68694444444445 12.886388888888888)"
26,T.NO-9,,T,DD,34,10-Sep,264.8848807,0.9,40,"19°16'40""",12.88638889,79.68694444,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.68694444444445 12.886388888888888, 79.68805555555556 12.886444444444445)"
27,T.NO-8,,T,DD,34,09-Aug,120.266371,0.95,40,"28°1'59""",12.88644444,79.68805556,GOOD,GOOD,LT-1,"TAR ROAD-1,ELECTRIC RAIL ROAD-1",PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.68805555555556 12.886444444444445, 79.69055555555556 12.885388888888889)"
28,T.NO-7,,T,DC,26,08-Jul,294.9610144,3.25,41,"7°44'11""",12.88538889,79.69055556,GOOD,GOOD,LT-1,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.69055555555556 12.885388888888889, 79.693 12.884666666666666)"
29,T.NO-6,,T,DC,26,07-Jun,278.4420945,3.01,39,"5°5'31""",12.88466667,79.693,GOOD,GOOD,,,WATER LOGGED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.693 12.884666666666666, 79.69552777777778 12.884194444444445)"
