S.No,Tower No.,Joint Box,Tower Suspension / Tension,Tower Type (DC /SC ),Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),Ground Elevation,Deviation Angle,Latitude,Longitude,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing, Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
1,Gantry ( SP KOIL SS ),2W,T,H-POLE,15,,,,51.793213,,12.74514201,79.996201,GOOD,,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.9962009955197 12.7451420109719, 79.9962879996746 12.7452900353819)"
2,1,,T,DC,28,Gantry  - 1,21.40106296,0.23,52.109409,10°27'27''RT,12.74529004,79.996288,GOOD,NO E/W,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.9962879996746 12.7452900353819, 79.9964240379631 12.7456640359014)"
3,2,,T,DC,28,01-Feb,46.42219294,1.13,52.274868,74°36'21''RT,12.74566404,79.99642404,GOOD,AVAILABLE,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.9964240379631 12.7456640359014, 79.9954229872673 12.7463749889284)"
4,3,,S,DC,28,02-Mar,136.6432491,2.02,51.295292,,12.74637499,79.99542299,GOOD,AVAILABLE,"LT, HT",,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.9954229872673 12.7463749889284, 79.9935168586671 12.7477231342345)"
5,4,,T,DC,28,03-Apr,257.5627696,-,51,71°32'3''LT,12.74772313,79.99351686,GOOD,AVAILABLE,"LT, HT",NH,Water logged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.9935168586671 12.7477231342345, 79.9937350396066 12.7484455704689)"
6,5,,T,H-POLE,15,04-May,85.83885904,-,50,11°12'55''LT,12.74844557,79.99373504,GOOD,AVAILABLE,,,Water logged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.9937350396066 12.7484455704689, 79.9939015042036 12.7487583830952)"
7,6,,T,H-POLE,15,05-Jun,41.53300886,-,50,12°4'42''RT,12.74875838,79.9939015,GOOD,NO E/W,230KV,,Water logged,UPLINE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.9939015042036 12.7487583830952, 79.9940999876707 12.7494532428681)"
8,7,,T,DC,28,06-Jul,82.31561848,-,49,34°50'35''RT,12.74945324,79.99409999,GOOD,AVAILABLE,,,Water logged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.9940999876707 12.7494532428681, 79.9933909624814 12.7515239920467)"
9,8,,T,DC,28,07-Aug,244.1153775,1.08,49.291286,35°21'14''RT,12.75152399,79.99339096,GOOD,AVAILABLE,230KV,,PLAIN,UPLINE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.9933909624814 12.7515239920467, 79.9924559611827 12.7521969750523)"
10,9,,T,DC,28,08-Sep,128.3727782,0.58,49.006744,28°45'47''LT,12.75219698,79.99245596,GOOD,AVAILABLE,HT,RAILWAY,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.9924559611827 12.7521969750523, 79.9918279889971 12.7535140234977)"
