S. No ,Tower No,Joint Box,Supspension/Tension,Tower Type,Tower Hight (Mtrs),Span Between Tower No.,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation,Horizontal Angle(˚),Longitude,Latitude,JB Location,Earthing Location,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earth wire (Missing,Broken etc)",Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
21,DP2,,T,DP,15,DP1-DP2,33.24154028,DP,76,,79.70186111,12.61086111,,,GOOD,MISSING,110KV ,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.70186111111111 12.610861111111111, 79.70183333333334 12.61061111111111)"
22,T.NO 66,,T,DC,26,DP2-66,27.16615541,4.9,76,"22°1'44""",79.70183333,12.61061111,,,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.70183333333334 12.61061111111111, 79.70086111111111 12.608805555555556)"
23,T.NO 65,,T,DD,28,66-65,227.2971623,5.01,76,"45°5'3""",79.70086111,12.60880556,,,GOOD,GOOD,LT-1,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.70086111111111 12.608805555555556, 79.69833333333334 12.608055555555556)"
24,T.NO 64,,T,DC,26,65-64,287.923601,4.32,76,"24°59'6""",79.69833333,12.60805556,,,GOOD,GOOD,,ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.69833333333334 12.608055555555556, 79.69800000000001 12.607777777777777)"
25,DP1,,T,DP,15,64-DP1,46.75467891,DP,75,,79.698,12.60777778,,,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.69800000000001 12.607777777777777, 79.6978888888889 12.6075)"
26,DP2,,T,DP,15,DP1-DP2,33.61547263,DP,76,,79.69788889,12.6075,,,GOOD,MISSING,110KV ,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.6978888888889 12.6075, 79.69783333333334 12.60725)"
27,T.NO 63,,T,DC,26,DP2-63,25.70992026,4.5,76,"25°43'58""",79.69783333,12.60725,,,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.69783333333334 12.60725, 79.69686111111112 12.606083333333332)"
28,T.NO 62,,S,DA,26,63-62,169.1449083,4.67,79,,79.69686111,12.60608333,,,GOOD,GOOD,HT-1,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.69686111111112 12.606083333333332, 79.69591666666668 12.604944444444444)"
29,T.NO 61,,T,DC,26,62-61,161.3350551,3.62,74,"28°15'30""",79.69591667,12.60494444,,,GOOD,GOOD,HT-2,MUD ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.69591666666668 12.604944444444444, 79.69369444444445 12.604)"
30,T.NO 60,,S,DA,26,61-60,263.5393709,4.12,75,,79.69369444,12.604,,,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.69369444444445 12.604, 79.69136111111112 12.603055555555555)"
31,T.NO 59,,T,DC,26,60-59,274.4667557,3.12,77,"26°59'24""",79.69136111,12.60305556,,,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.69136111111112 12.603055555555555, 79.68877777777779 12.603222222222222)"
32,T.NO 58,,S,DA,26,59-58,280.7863957,3.68,81,,79.68877778,12.60322222,,,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.68877777777779 12.603222222222222, 79.68616666666667 12.603416666666666)"
33,T.NO 57,2W,T,DB,24,58-57,282.9363886,4.14,81,"2°6'56""",79.68616667,12.60341667,Yes,,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.68616666666667 12.603416666666666, 79.68383333333334 12.603666666666665)"
34,T.NO 56,,S,DA,26,57-56,256.532649,3.95,82,,79.68383333,12.60366667,,,GOOD,GOOD,LT-1,ROAD,CULTVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.68383333333334 12.603666666666665, 79.68091666666668 12.603972222222222)"
35,T.NO 55,,S,DA,26,56-55,318.0440221,4.8,78,,79.68091667,12.60397222,,,GOOD,GOOD,,CANAL,CULTVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.68091666666668 12.603972222222222, 79.67836111111112 12.604277777777778)"
36,T.NO 54,,T,DD,28,55-54,279.0788419,5.15,81,"30°19'20""",79.67836111,12.60427778,,,GOOD,GOOD,,,CULTVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.67836111111112 12.604277777777778, 79.67633333333333 12.603416666666666)"
37,T.NO 53,,S,DA,26,54-53,240.5535283,4.35,79,,79.67633333,12.60341667,,,GOOD,GOOD,"LT-1 , HT-1",MUD ROAD,CULTVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.67633333333333 12.603416666666666, 79.674 12.602361111111112)"
38,T.NO 52,,S,DA,26,53-52,277.0884335,5.68,76,,79.674,12.60236111,,,GOOD,GOOD,LT-1,ROAD,CULTVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.674 12.602361111111112, 79.67163888888889 12.601333333333333)"
39,T.NO 51,,S,DA,26,52-51,282.577423,4.25,74,,79.67163889,12.60133333,,,GOOD,GOOD,,,CULTVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.67163888888889 12.601333333333333, 79.66933333333334 12.600305555555556)"
40,T.NO 50,,T,DB,24,51-50,275.7680185,6.05,75,"1°35'7""",79.66933333,12.60030556,,,GOOD,GOOD,"HT-1 , LT-3",,CULTVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.66933333333334 12.600305555555556, 79.6671388888889 12.599416666666666)"
41,T.NO 49,,S,DA,26,50-49,257.7692767,5.45,75,,79.66713889,12.59941667,,,GOOD,GOOD,,,CULTVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.6671388888889 12.599416666666666, 79.66463888888889 12.598416666666667)"
42,T.NO 48,,S,DA,26,49-48,292.0992982,5.04,76,,79.66463889,12.59841667,,,GOOD,GOOD,LT-2,,CULTVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.66463888888889 12.598416666666667, 79.66236111111111 12.597472222222223)"
43,T.NO 47,,S,DA,26,48-47,269.081772,3.85,72,,79.66236111,12.59747222,,,GOOD,GOOD,LT-1,CANAL,CULTVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.66236111111111 12.597472222222223, 79.66002777777778 12.596555555555556)"
44,T.NO 46,,S,DA,26,47-46,274.6434052,4.63,74,,79.66002778,12.59655556,,,GOOD,GOOD,LT-2,,CULTVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.66002777777778 12.596555555555556, 79.65772222222223 12.595611111111111)"
45,T.NO 45,,T,DC,26,46-45,270.0074073,3.4,75,"24°40'22""",79.65772222,12.59561111,,,GOOD,GOOD,,CANAL,POND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.65772222222223 12.595611111111111, 79.65644444444445 12.594222222222223)"
46,T.NO 44,,S,DA,26,45-44,206.6494616,2.95,76,,79.65644444,12.59422222,,,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.65644444444445 12.594222222222223, 79.65491666666668 12.592666666666668)"
47,T.NO 43,,S,DA,26,44-43,238.3463866,4.68,78,,79.65491667,12.59266667,,,GOOD,GOOD,,MUD ROAD,CULTVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.65491666666668 12.592666666666668, 79.6533888888889 12.591027777777779)"
48,T.NO 42,,T,DC,26,43-42,246.2194143,3.13,83,"26°37'32""",79.65338889,12.59102778,Yes,,GOOD,GOOD,LT-2,ROAD,CULTVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.6533888888889 12.591027777777779, 79.65280555555556 12.589027777777778)"
49,T.NO 41,,S,DA,26,42-41,231.6031088,4.44,77,,79.65280556,12.58902778,,,GOOD,GOOD,,,CULTVACTION LAND,S.P KOIL LINES JURISDICTION END UPTO T.NO 41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.65280555555556 12.589027777777778, 79.65352777777778 12.590861111111112)"
43,T.NO 42,2W,T,DC,26,41-42,233,5.62,78,,79.65352778,12.59086111,yes,,GOOD,GOOD,,,PLAIN,T.NO 42-KALIAMPOONI SS REMAINING TOWERS ARE ALREADY SCHEDULED IN S.P KOIL LINES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.65352777777778 12.590861111111112, 79.65283333333333 12.588861111111111)"
42,T.NO 41,,S,DA,26,40-41,252,8.35,78,,79.65283333,12.58886111,,,GOOD,GOOD,LT,MUDROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.65283333333333 12.588861111111111, 79.6521388888889 12.586694444444445)"
41,T.NO 40,,S,DA,26,39-40,270,16.45,85,,79.65213889,12.58669444,,,GOOD,GOOD,2NOS LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.6521388888889 12.586694444444445, 79.65141666666668 12.58436111111111)"
40,T.NO 39,,T,DB,24,38-39,276,7.19,77,"0°53'28""",79.65141667,12.58436111,,,GOOD,GOOD,LT,MUDROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.65141666666668 12.58436111111111, 79.65072222222223 12.581972222222221)"
