S.No,Tower No.,Tower Suspension / Tension,Tower Type,Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),Ground Elevation,Deviation Angle,Longitude,Latitude,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing,  Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
20,T.NO 50,S,DA,26,49-50,202.71408436514716,2.28,13,,80.20602777777778,13.242249999999999,GOOD,GOOD,HT,ROAD,CULTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.20602777777778 13.242249999999999, 80.20444444444445 13.2435)"
21,T.NO 51,S,DA,26,50-51,219.59280498231266,1.95,-7,,80.20444444444445,13.2435,GOOD,GOOD,,,CULTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.20444444444445 13.2435, 80.20211111111111 13.245388888888888)"
22,T.NO 52,T,DB,24,51-52,325.9831283977746,1.65,14,"0°45'26""",80.20211111111111,13.245388888888888,GOOD,GOOD,LT,,CULTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.20211111111111 13.245388888888888, 80.20016666666668 13.246888888888888)"
23,T.NO 53,S,DA,26,52-53,294.61330587738223,2.28,14,,80.20016666666668,13.246888888888888,GOOD,GOOD,LT,POND,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.20016666666668 13.246888888888888, 80.19783333333334 13.248722222222222)"
24,T.NO 54,S,DA,26,53-54,299.482887658043,1.75,15,,80.19783333333334,13.248722222222222,GOOD,GOOD,,,FOREST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.19783333333334 13.248722222222222, 80.19591666666668 13.250277777777777)"
25,T.NO 55,S,DA,26,54-55,269.9036865253974,5.24,16,,80.19591666666668,13.250277777777777,GOOD,GOOD,,MUD ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.19591666666668 13.250277777777777, 80.19391666666667 13.251861111111111)"
26,T.NO 56,S,DA,26,55-56,290.6578744847626,6.12,16,,80.19391666666667,13.251861111111111,GOOD,GOOD,LT-2,ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.19391666666667 13.251861111111111, 80.19172222222223 13.253638888888888)"
27,T.NO 57,S,DA,26,56-57,302.0546308203203,4.15,16,,80.19172222222223,13.253638888888888,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.19172222222223 13.253638888888888, 80.18969444444444 13.25525)"
28,T.NO 58,S,DA,26,57-58,275.0708999512671,4.87,16,,80.18969444444444,13.25525,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.18969444444444 13.25525, 80.18766666666667 13.256777777777778)"
29,T.NO 59,T,DB,24,58-59,286.2044723619811,5.72,17,"10°55'28""",80.18766666666667,13.256777777777778,GOOD,GOOD,"HT,LT",ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.18766666666667 13.256777777777778, 80.18533333333333 13.257972222222222)"
30,T.NO 60,S,DA,26,59-60,277.41665415039523,4.19,18,,80.18533333333333,13.257972222222222,GOOD,GOOD,,,FOREST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.18533333333333 13.257972222222222, 80.18316666666666 13.25911111111111)"
31,T.NO 61,S,DA,26,60-61,265.7668150842012,3.65,,,80.18316666666666,13.25911111111111,GOOD,GOOD,,,CULTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.18316666666666 13.25911111111111, 80.18136111111112 13.260305555555556)"
32,T.NO 62,S,DA,26,61-62,284.9034924320866,3.21,,,80.18136111111112,13.260305555555556,GOOD,GOOD,,,CULTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.18136111111112 13.260305555555556, 80.17858333333334 13.261472222222222)"
33,T.NO 63,S,DA,26,62-63,275.6592098951167,2.95,,,80.17858333333334,13.261472222222222,GOOD,GOOD,400kv CROSSING ABOVE,,CULTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.17858333333334 13.261472222222222, 80.17619444444445 13.262694444444444)"
34,T.NO 64,S,DA,26,63-64,293.00170647967224,2.36,,,80.17619444444445,13.262694444444444,GOOD,GOOD,,,CULTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.17619444444445 13.262694444444444, 80.17422222222223 13.263722222222222)"
35,T.NO 65,T,DB,24,64-65,247.35804009572846,3.15,17,"0°42'37""",80.17422222222223,13.263722222222222,GOOD,GOOD,"HT,LT,400kv CROSSING ABOVE",ROAD,CULTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.17422222222223 13.263722222222222, 80.17180555555557 13.264944444444444)"
