S. No ,Tower No,Supspension/Tension,Tower Type,Tower Hight (Mtrs),Span Between Tower No.,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation,Horizontal Angle(˚),Longitude,Latitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earth wire (Missing,Broken etc)",Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
20,T.NO 17,S,SA,26,16-17,234.600085616423,3.42,104,,79.61005555555555,13.247416666666666,GOOD,GOOD,LT1,"ROAD1,MUD ROAD1",CULTIVACTION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.61005555555555 13.247416666666666, 79.60808333333333 13.246277777777777)"
21,T.NO 18,T,SD,28,17-18,249.565886637728,5.4,93,"38°11'55""",79.60808333333333,13.246277777777777,GOOD,GOOD,,,CULTIVACTION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.60808333333333 13.246277777777777, 79.60591666666666 13.246611111111111)"
22,T.NO 19,S,SA,26,18-19,239.052515214606,5.25,93,,79.60591666666666,13.246611111111111,GOOD,GOOD,,,CULTIVACTION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.60591666666666 13.246611111111111, 79.60372222222222 13.246944444444443)"
23,T.NO 20,T,SB,24,19-20,240.870798556223,5.73,99,"13°7'32""",79.60372222222222,13.246944444444443,GOOD,GOOD,LT2,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.60372222222222 13.246944444444443, 79.60191666666667 13.246805555555556)"
24,T.NO 21,S,SA,26,20-21,195.504498662627,5.1,99,,79.60191666666667,13.246805555555556,GOOD,GOOD,,,CULTIVACTION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.60191666666667 13.246805555555556, 79.6003611111111 13.246694444444444)"
25,T.NO 22,T,SB,24,21-22,170.425499851705,5.33,99,"10°39'38""",79.6003611111111,13.246694444444444,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.6003611111111 13.246694444444444, 79.59774999999999 13.246055555555555)"
26,T.NO 23,S,SA,26,22-23,292.528729287527,6.18,100,,79.59774999999999,13.246055555555555,GOOD,GOOD,HT1,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.59774999999999 13.246055555555555, 79.5953611111111 13.24536111111111)"
27,T.NO 24,S,SA,26,23-24,272.979778660106,4.07,100,,79.5953611111111,13.24536111111111,GOOD,GOOD,,,CULTIVACTION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.5953611111111 13.24536111111111, 79.59280555555556 13.244694444444443)"
28,T.NO 25,T,SC,26,24-25,285.52416417591,4.3,100,"29°23'6""",79.59280555555556,13.244694444444443,GOOD,GOOD,LT1,CANAL1,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.59280555555556 13.244694444444443, 79.59105555555556 13.245138888888889)"
29,T.NO 26,S,SA,26,25-26,198.436065600994,3.11,100,,79.59105555555556,13.245138888888889,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.59105555555556 13.245138888888889, 79.58966666666666 13.24547222222222)"
