S. No ,Tower No,Supspension/Tension,Tower Type,Tower Hight (Mtrs),Span Between Tower No.,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation,Horizontal Angle(˚),Longitude,Latitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earth wire (Missing,Broken etc)",Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
85,T.NO 82,T,SD,28,81-82,261.255643550721,5.08,151,"35°33'4""",79.47666666666667,13.232888888888889,GOOD,GOOD,LT2,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.47666666666667 13.232888888888889, 79.47463888888889 13.233472222222222)"
86,T.NO 83,S,SA,26,82-83,228.771815640127,6.28,158,,79.47463888888889,13.233472222222222,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.47463888888889 13.233472222222222, 79.47330555555556 13.233944444444443)"
87,T.NO 84,T,SB,24,83-84,154.443800787129,4.1,157,"0°23'46""",79.47330555555556,13.233944444444443,GOOD,GOOD,,MUD ROAD1,WATERLOGGED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.47330555555556 13.233944444444443, 79.47125 13.234555555555554)"
88,T.NO 85,S,SA,26,84-85,235.386433054475,3.9,156,,79.47125,13.234555555555554,GOOD,GOOD,,"MUD ROAD1,POND1",CULTIVACTION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.47125 13.234555555555554, 79.46933333333334 13.235138888888889)"
89,T.NO 86,S,SA,26,85-86,217.011573764,4.38,158,,79.46933333333334,13.235138888888889,GOOD,GOOD,LT3,,CULTIVACTION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.46933333333334 13.235138888888889, 79.46752777777778 13.235722222222222)"
90,T.NO 87,T,SB,24,86-87,208.135221534147,5.27,161,"1°0'1""",79.46752777777778,13.235722222222222,GOOD,GOOD,HT1,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.46752777777778 13.235722222222222, 79.46555555555555 13.236305555555555)"
91,T.NO 88,S,SA,26,87-88,223.697103708153,5.12,162,,79.46555555555555,13.236305555555555,GOOD,GOOD,LT2,ROAD1,CULTIVACTION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.46555555555555 13.236305555555555, 79.46369444444444 13.236833333333333)"
92,T.NO 89,T,SB,24,88-89,210.76415327696,4.78,161,"11°53'26""",79.46369444444444,13.236833333333333,GOOD,GOOD,,,CULTIVACTION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.46369444444444 13.236833333333333, 79.46102777777779 13.237055555555555)"
93,T.NO 90,T,SB,24,89-90,293.071908953942,3.41,165,"7°15'38""",79.46102777777779,13.237055555555555,GOOD,GOOD,LT1,MUD ROAD1,CULTIVACTION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.46102777777779 13.237055555555555, 79.45847222222223 13.236916666666666)"
94,T.NO 91,S,SA,26,90-91,278.353564967173,4.7,172,,79.45847222222223,13.236916666666666,GOOD,GOOD,"HT1,LT2","ROAD1,MUD ROAD1,CANAL1",CULTIVACTION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.45847222222223 13.236916666666666, 79.4558888888889 13.236777777777776)"
95,T.NO 92,S,SA,26,91-92,281.257024889654,6.78,177,,79.4558888888889,13.236777777777776,GOOD,GOOD,,,CULTIVACTION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.4558888888889 13.236777777777776, 79.45361111111112 13.236694444444444)"
96,T.NO 93,T,SD,28,92-93,248.099170374973,4.97,177,"42°29'9""",79.45361111111112,13.236694444444444,GOOD,GOOD,,,CULTIVACTION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.45361111111112 13.236694444444444, 79.45169444444444 13.238249999999999)"
97,T.NO 94,T,SD,28,93-94,267.833281282527,6.17,178,"45°27'58""",79.45169444444444,13.238249999999999,GOOD,GOOD,LT1,ROAD1,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.45169444444444 13.238249999999999, 79.4503888888889 13.238166666666666)"
98,T.NO 95,S,SA,26,94-95,145.280975876933,5.23,181,,79.4503888888889,13.238166666666666,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.4503888888889 13.238166666666666, 79.44880555555557 13.237972222222222)"
99,T.NO 96,S,SA,26,95-96,170.955876626847,5.86,182,,79.44880555555557,13.237972222222222,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.44880555555557 13.237972222222222, 79.44716666666667 13.237805555555555)"
100,T.NO 97,T,SB,24,96-97,182,7.05,187,"6°55'18""",79.44716666666667,13.237805555555555,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.44716666666667 13.237805555555555, 79.44583333333334 13.237833333333333)"
101,T.NO 98,T,SB,24,97-98,145.055544842953,6.58,186,"14°28'19""",79.44583333333334,13.237833333333333,GOOD,GOOD,LT1,ROAD 1,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.44583333333334 13.237833333333333, 79.44344444444445 13.238499999999998)"
102,T.NO 99,T,SC,26,98-99,268.441582406327,4.71,189,"29°10'46""",79.44344444444445,13.238499999999998,GOOD,GOOD,"HT1,LT1","ROAD1,CEMENT ROAD1",CULTIVACTION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.44344444444445 13.238499999999998, 79.44155555555555 13.238027777777777)"
103,T.NO 100,T ,SB,24,99-100,212.518320719506,2.83,186,"4°45'11""",79.44155555555555,13.238027777777777,GOOD,GOOD,,,CULTIVACTION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.44155555555555 13.238027777777777, 79.43986111111111 13.237499999999999)"
104,T.NO 101 LILO ATHIMANJERIPET,T ,DD,28,100-101,193.275843516548,3.15,188,"83°23'13""",79.43986111111111,13.237499999999999,GOOD,GOOD,HT2,ROAD1,CULTIVACTION,ATHIMANJERIPET LILO NEED 3WAY JUNCTION BOX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.43986111111111 13.237499999999999, 79.43891666666667 13.239527777777777)"
105,T.NO 1,T,DC,26,101-1,247.130046926417,4.28,186,"22°30'27""",79.43891666666667,13.239527777777777,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.43891666666667 13.239527777777777, 79.43886111111111 13.240833333333333)"
106,T.NO 2,T,DB,24,1-2,146.086181285469,3.91,187,"8°57'22""",79.43886111111111,13.240833333333333,GOOD,GOOD,LT1,"CANAL 1,ROAD 2",PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.43886111111111 13.240833333333333, 79.43902777777778 13.242166666666666)"
107,T.NO 3,T,DC,26,2-3,149.09794056637,1.95,206,"16°8'36""",79.43902777777778,13.242166666666666,GOOD,GOOD,HT1,CANAL 1,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.43902777777778 13.242166666666666, 79.43897222222222 13.242444444444443)"
108,GT 110KV ATHIMANJERIPET,T,GANTRY,15,3-GT,32.4006369362152,,208,,79.43897222222222,13.242444444444443,GOOD,MISSING,,,PLAIN,110KV ATHIMANJERIPET SS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,TOTAL,24177M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
