S.No,Tower No.,Joint Box,Tower Suspension / Tension,Tower Type,Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),Ground Elevation,Deviation Angle,Latitude,Longitude,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing,  Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
1,GANTRY ALAMATHY 400KV SS,2W,GT,,18,,,,41,,13.207,80.0973,GOOD,NO EARTH WIRE,,,INSIDE SS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.0973 13.207, 80.0969 13.2071)"
2,T.NO-113 D/C,,T+6,DD,52,GT-113,52.08646657,4.01,40,5°54'23''RT,13.2071,80.0969,GOOD,NO EARTH WIRE,,,WATER LOGGED,"TWO PEEKS (LEFT SIDE OPGW, RIGHT SIDE EARTH WIRE) FROM T.NO-113 -T.N0-109",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.0969 13.2071, 80.0955 13.2073)"
3,T.NO-112 M/C,,T,DD,52,113-112,151.9901313,4.25,40,52°30'44''LT,13.2073,80.0955,GOOD,GOOD,,MUD-1,PLAIN,INSIDE POND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.0955 13.2073, 80.0937 13.2105)"
4,T.NO-111 M/C,,T,DD,52,112-111,402.0161688,3.92,40,12°27'45''RT,13.2105,80.0937,GOOD,GOOD,11KV-2LT-1,TAR-1,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.0937 13.2105, 80.092 13.2124)"
5,T.NO-110,,T,DD,52,111-110,276.2933224,7.34,40,48°56'43''LT,13.2124,80.092,GOOD,GOOD,11KV-1,,PLAIN,INISDE PLOT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.092 13.2124, 80.0922 13.214)"
6,T.NO-109,,T+9,DD,61,110-109,182.3321146,7.84,40,24°18'17''LT,13.214,80.0922,GOOD,GOOD,,,PLAIN,JOINT BOX AVAILABLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.0922 13.214, 80.0933 13.2158)"
2,T.NO-108,,T+6,DD,58,109-108,239.9854162,2.32,41,4°51'53''RT,13.2158,80.0933,GOOD,GOOD,,CANAL-1,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.0933 13.2158, 80.0943 13.2178)"
8,T.NO-107,3W,T+6,DD,58,108-107,234.4013652,3.17,31,20°4'18''LT,13.2178,80.0943,GOOD,GOOD,400KV-1 XING BELOW,CANAL-1,CULTIVATION,NEED THREE WAY JUNCTION BOX FOR MANALI LINE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.0943 13.2178, 80.0961 13.2195)"
9,T.NO-106,,T,DD,52,107-106,278.6897917,6.32,30,39°32'58''LT,13.2195,80.0961,GOOD,GOOD,11KV-1,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.0961 13.2195, 80.0991 13.2197)"
10,T.NO-105,,T,DD,52,106-105,324.5566206,7.3,30,173°53'44''RT,13.2197,80.0991,GOOD,GOOD,"LT-1,11KV-1",TAR-1,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.0991 13.2197, 80.1016 13.2196)"
11,T.NO-104,,S,DA,52,105-104,267.2264957,7.43,30,,13.2196,80.1016,GOOD,GOOD,LT-1,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.1016 13.2196, 80.1042 13.2195)"
12,T.NO-103,,S,DA,52,104-103,286.1118662,7.37,30,,13.2195,80.1042,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.1042 13.2195, 80.1068 13.2194)"
13,T.NO-102,,T+3,DD,55,103-102,283.1766233,6.71,31,133°52'42''LT,13.2194,80.1068,GOOD,GOOD,LT-2,"CANAL-1,MUD-1",PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.1068 13.2194, 80.1095 13.222)"
14,T.NO-101,,T+6,DD,58,102-101,405.1777388,6.37,31,41°47'53''LT,13.222,80.1095,GOOD,GOOD,220KV-1 XING BELOW,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.1095 13.222, 80.1122 13.2221)"
