S.No,Tower No.,Tower Suspension / Tension,Tower Type,Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),Ground Elevation,Deviation Angle,Latitude,Longitude,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire ( Missing,  Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
1,66kv,Tension,DD+9,37,,-,9.2,362,-,12.676922222222222,78.63096944444443,OK,-,-,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.63096944444443 12.676922222222222, 78.63098888888888 12.677780555555556)"
2,90,Tension,SD+9,37,"=CONCATENATE(B6,""-"",B7)",99,11,362," 15°20'17.49""LT",12.677780555555556,78.63098888888888,OK,NO,-,-,Plain,No Direct Earthwire Between 66kv tower and T.No-90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.63098888888888 12.677780555555556, 78.63059722222222 12.679330555555556)"
3,=B7+1,Tension,SD+9,37,"=CONCATENATE(B7,""-"",B8)",181,13,360," 28°52'46.17""RT",12.679330555555556,78.63059722222222,OK,OK,Two LT,SH,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.63059722222222 12.679330555555556, 78.63083888888889 12.680211111111111)"
4,=B8+1,Tension,SD+0,28,"=CONCATENATE(B8,""-"",B9)",105,10.2,357,"35°3'40.43""RT",12.680211111111111,78.63083888888889,OK,OK,-,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.63083888888889 12.680211111111111, 78.63257222222222 12.681691666666666)"
5,=B9+1,Suspension,SA+0,26,"=CONCATENATE(B9,""-"",B10)",253,15.4,357,,12.681691666666666,78.63257222222222,OK,OK,"LT, Two 11kv","Two CTR, Boundary Wall",Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.63257222222222 12.681691666666666, 78.63451666666667 12.683397222222222)"
6,=B10+1,Suspension,SA+0,26,"=CONCATENATE(B10,""-"",B11)",285,9.02,358,,12.683397222222222,78.63451666666667,OK,OK,11kv,Two CTR,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.63451666666667 12.683397222222222, 78.63672222222223 12.685283333333334)"
7,=B11+1,Tension,SB+0,24,"=CONCATENATE(B11,""-"",B12)",322,4.3,363,"13°31'42.03""LT",12.685283333333334,78.63672222222223,OK,OK,LT,-,Hilly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.63672222222223 12.685283333333334, 78.6380888888889 12.687097222222222)"
8,=B12+1,Suspension,SA+0,26,"=CONCATENATE(B12,""-"",B13)",256,7.2,361,,12.687097222222222,78.6380888888889,OK,OK,Two LT,Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.6380888888889 12.687097222222222, 78.63958055555557 12.689105555555555)"
9,=B13+1,Suspension,SA+0,26,"=CONCATENATE(B13,""-"",B14)",275,4.8,358,,12.689105555555555,78.63958055555557,OK,OK,Two LT,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.63958055555557 12.689105555555555, 78.64106111111111 12.69106388888889)"
10,=B14+1,Suspension,SA+0,26,"=CONCATENATE(B14,""-"",B15)",273,6,354,,12.69106388888889,78.64106111111111,OK,OK,Four 11kv,Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.64106111111111 12.69106388888889, 78.64236111111111 12.692791666666666)"
11,=B15+1,Tension,SB+0,24,"=CONCATENATE(B15,""-"",B16)",243,7.2,355,"12°9’38.81""RT",12.692791666666666,78.64236111111111,OK,OK,-,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.64236111111111 12.692791666666666, 78.64380555555556 12.694033333333334)"
12,=B16+1,Suspension,SA+0,26,"=CONCATENATE(B16,""-"",B17)",212,5,352,,12.694033333333334,78.64380555555556,OK,OK,-,"Two CTR, Fencing Wire",Plain,Girisamudram Village,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.64380555555556 12.694033333333334, 78.64525555555556 12.695275)"
13,=B17+1,Tension,SB+0,24,"=CONCATENATE(B17,""-"",B18)",214,4.1,351,"6°28'22.74""LT",12.695275,78.64525555555556,OK,OK,LT,Fencing Wire,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.64525555555556 12.695275, 78.64721666666668 12.697425)"
14,=B18+1,Suspension,SA+0,26,"=CONCATENATE(B18,""-"",B19)",320,8.2,358,,12.697425,78.64721666666668,OK,OK,LT,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.64721666666668 12.697425, 78.64881111111112 12.699111111111112)"
15,=B19+1,Tension,SC+0,26,"=CONCATENATE(B19,""-"",B20)",256,7.7,355,"21°32’21.06""RT",12.699111111111112,78.64881111111112,OK,OK,LT,Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.64881111111112 12.699111111111112, 78.6502138888889 12.699772222222222)"
