S.No,Tower No.,Tower Suspension / Tension,Tower Type (DC /SC ),Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),Ground Elevation,Deviation Angle,Latitude,Longitude,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing, Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
1,Gantry ( 230kV Siruseri SS ),T,H-POLE,15,,,-,35.1860959999999,,12.8209642879664,80.2105790656059,GOOD,,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.2105790656059 12.8209642879664, 80.2104745432734 12.8212771844118)"
2,1,T,DC,28,Gantry  - 1,40.91653541411064,3.56,34.7892379999999,31°35'31''LT,12.8212771844118,80.2104745432734,GOOD,NO E/W,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.2104745432734 12.8212771844118, 80.2099413704127 12.8217202518135)"
3,2,T,DC,28,1 - 2,80.324591994985,2.41,36.3428729999999,129°12'43''LT,12.8217202518135,80.2099413704127,GOOD,AVAILABLE,HT,ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.2099413704127 12.8217202518135, 80.2099599782377 12.8227194584906)"
4,3,T,DC,28,2 - 3,115.02550569210527,2.73,38.524582,88°57'35''RT,12.8227194584906,80.2099599782377,GOOD,AVAILABLE,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.2099599782377 12.8227194584906, 80.2106879465281 12.8227193746715)"
5,4,T,DC,28,3 - 4,83.50470971729051,5.01,39.968338,62°55'56''RT,12.8227193746715,80.2106879465281,GOOD,AVAILABLE,110KV,,PLAIN,DOWNLINE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.2106879465281 12.8227193746715, 80.210769502446 12.8225627169013)"
6,Gantry ( 110kV Siruseri SS ),T,H-POLE,15,4 - Gantry ,23.955476786912826,-,41.1702039999999,,12.8225627169013,80.210769502446,GOOD,NO E/W,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL,,,,,,=SUM(G6:G11),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note : 1. Shut down will be required in where earth wiers are missing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
