S.No,Tower No.,Join Box,Tower Suspension / Tension,Tower Type,Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),Ground Elevation,Deviation Angle,Latitude,Longitude,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing,  Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
15,DP 3,,GT 3,GT,15,GT2-GT3,67.89698079,,37,,13.2106,80.088,GOOD,GOOD,11KV-2,"TAR-1,CANAL-1",PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.088 13.2106, 80.0878 13.2108)"
16,T.NO-9,,T,DD,32,GT3-9,32.80243893,6.72,37,"19°32'24"" ",13.2108,80.0878,GOOD,GOOD,"11KV-1,LT-1","TAR-1,CANAL-1",PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.0878 13.2108, 80.0858 13.2114)"
17,T.NO-10,2W,T,DD,28,09-????????,222.9461818,5.55,34,"75°27'50"" ",13.2114,80.0858,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.0858 13.2114, 80.0859 13.2133)"
18,T.NO-11,,T,DD,28,10-???????,213.3963449,6.21,34,"11°56'36"" ",13.2133,80.0859,GOOD,GOOD,,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.0859 13.2133, 80.0863 13.2145)"
19,T.NO-12,,T,DD,30,11-????????,139.0143877,7.21,34,"17°54'17"" ",13.2145,80.0863,GOOD,GOOD,,CANAL-1,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.0863 13.2145, 80.0876 13.2166)"
20,T.NO-13,,T,DD,28,????????-13,272.91757,6.29,37,"75°31'46"" ",13.2166,80.0876,GOOD,GOOD,,TAR-1,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.0876 13.2166, 80.0857 13.2187)"
21,T.NO-14,,S,DA,28,13-14,317.1655719,6.24,37,,13.2187,80.0857,GOOD,GOOD,400KV-1 XING ABOVE,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.0857 13.2187, 80.0839 13.2206)"
22,T.NO-15,,S,DA,28,14-15,279.6301128,7.26,37,,13.2206,80.0839,GOOD,GOOD,LT-1,POND-1,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.0839 13.2206, 80.082 13.2226)"
23,T.NO-15A,,S,DA,28,15-15A,300.0833218,7.34,39,,13.2226,80.082,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.082 13.2226, 80.0811 13.2235)"
24,T.NO-16,,T,DD,28,15A-16,148.492424,5.47,39,"21°26'52"" ",13.2235,80.0811,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.0811 13.2235, 80.0809 13.2239)"
25,DP 1,,GT,GT,15,16-GT1,42.54409477,,39,,13.2239,80.0809,GOOD,GOOD,400KV-1 M//C XING ABOVE,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.0809 13.2239, 80.0807 13.2242)"
26,DP 2,,GT,GT,15,GT1-GT2,48.82622246,39,,,13.2242,80.0807,GOOD,GOOD,,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.0807 13.2242, 80.0805 13.2244)"
27,T.NO-17,2W,T,DD,28,GT2-17,28.01785145,39,5.36,"12°57'17"" ",13.2244,80.0805,GOOD,GOOD,LT-1,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.0805 13.2244, 80.079 13.2258)"
28,T.NO-18,,S,DA,28,17-18,218.7532857,40,5.71,,13.2258,80.079,GOOD,GOOD,LT-1,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.079 13.2258, 80.0775 13.227)"
