S.No,Tower No.,Tower Suspension / Tension,Tower Type,SC or DC,Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),Ground Elevation,Deviation Angle,Latitude,Longitude,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire ( Missing,  Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
1,Neeravallur Gantry,,Gantry,-,15,-,-,-,73,-,12.886944444444444,79.797225,GOOD,-,-,-,Plain,No peak available on Gantry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.797225 12.886944444444444, 79.797125 12.886619444444444)"
2,9,Tension,DD+0,DC,28,"=CONCATENATE(B6,""-"",B7)",42,3.2,74,"91°46'35.5""RT",12.886619444444444,79.797125,GOOD,NO E/W,-,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.797125 12.886619444444444, 79.79630555555555 12.886841666666665)"
3,8,Tension,DD+0,DC,28,"=CONCATENATE(B7,""-"",B8)",101,3.4,73,"50°33’23.74""RT",12.886841666666665,79.79630555555555,GOOD,GOOD,-,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.79630555555555 12.886841666666665, 79.79541944444445 12.888863888888888)"
4,7,Tension,DB+0,DC,24,"=CONCATENATE(B8,""-"",B9)",239,2.1,73,"5°17'23""RT",12.888863888888888,79.79541944444445,GOOD,GOOD,Two HT,"Road, CTR",Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.79541944444445 12.888863888888888, 79.79496944444445 12.890308333333333)"
5,6,Tension,DC+0,DC,26,"=CONCATENATE(B9,""-"",B10)",174,3.2,71,"29°14'50.75""LT",12.890308333333333,79.79496944444445,GOOD,GOOD,HT,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.79496944444445 12.890308333333333, 79.79410833333333 12.891088888888888)"
6,5,Tension,DC+0,DC,26,"=CONCATENATE(B10,""-"",B11)",131,2.3,72,"20°30'8.14""LT",12.891088888888888,79.79410833333333,GOOD,GOOD,Two HT,National Highway,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.79410833333333 12.891088888888888, 79.792475 12.89176111111111)"
7,4,Tension,DD+0,DC,28,"=CONCATENATE(B11,""-"",B12)",192,5.6,70,"35°24'46.57""RT",12.89176111111111,79.792475,GOOD,GOOD,-,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.792475 12.89176111111111, 79.79123888888888 12.893788888888889)"
8,3,Tension,DB+0,DC,24,"=CONCATENATE(B12,""-"",B13)",264,4.8,69,"13°23’56.32""RT",12.893788888888889,79.79123888888888,GOOD,GOOD,-,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.79123888888888 12.893788888888889, 79.79086944444444 12.896397222222221)"
9,2,Suspension,DA+0,DC,26,"=CONCATENATE(B13,""-"",B14)",300,8.6,68,,12.896397222222221,79.79086944444444,GOOD,GOOD,-,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.79086944444444 12.896397222222221, 79.79051388888888 12.899038888888889)"
10,340/1,Tension,DD+3,DC,31,"=CONCATENATE(B14,""-"",B15)",300,11.2,68,"115°3'17.79""LT",12.899038888888889,79.79051388888888,GOOD,GOOD,-,-,Plain,LILO Tower to Sriperumbur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.79051388888888 12.899038888888889, 79.78843611111111 12.898133333333332)"
11,341,Suspension,SA+0,SC,26,"=CONCATENATE(B15,""-"",B16)",249,-,69,,12.898133333333332,79.78843611111111,GOOD,NO E/W,-,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.78843611111111 12.898133333333332, 79.78659722222223 12.897130555555554)"
12,342,Suspension,SA+0,SC,26,"=CONCATENATE(B16,""-"",B17)",233,-,69,,12.897130555555554,79.78659722222223,GOOD,NO E/W,-,-,Water Logged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.78659722222223 12.897130555555554, 79.78459166666667 12.896127777777778)"
13,343,Suspension,SA+0,SC,26,"=CONCATENATE(B17,""-"",B18)",246,8.2,71,,12.896127777777778,79.78459166666667,GOOD,NO E/W,-,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.78459166666667 12.896127777777778, 79.78260833333333 12.89508611111111)"
14,344,Suspension,SA+0,SC,26,"=CONCATENATE(B18,""-"",B19)",247,7.8,70,,12.89508611111111,79.78260833333333,GOOD,NO E/W,-,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.78260833333333 12.89508611111111, 79.78063055555556 12.894083333333333)"
15,345,Suspension,SA+0,SC,26,"=CONCATENATE(B19,""-"",B20)",246,5.6,70,,12.894083333333333,79.78063055555556,GOOD,NO E/W,HT,Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.78063055555556 12.894083333333333, 79.77861666666666 12.893080555555555)"
16,346,Suspension,SA+0,SC,26,"=CONCATENATE(B20,""-"",B21)",248,-,69,,12.893080555555555,79.77861666666666,GOOD,NO E/W,-,-,Water Logged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.77861666666666 12.893080555555555, 79.77667777777778 12.892094444444444)"
17,347,Suspension,SA+0,SC,26,"=CONCATENATE(B21,""-"",B22)",239,-,69,,12.892094444444444,79.77667777777778,GOOD,NO E/W,-,-,Water Logged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.77667777777778 12.892094444444444, 79.7746361111111 12.891036111111111)"
