S.No,Tower No.,Joint Box,Tower Suspension / Tension,Tower Type,Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),Ground Elevation,Deviation Angle,Latitude.,Longitude.,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing,  Broken etc)",Power Line,"Rail, Road, River, Car Track",Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
1,GANTRY KANICHIPURAM 110KV SS,,GT,,15,,,,67,,12.85111111,79.69583333,GOOD,,,,INISIDE SS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.69583333333334 12.851111111111111, 79.69583333333334 12.851944444444444)"
2,T.NO-155,,T,DD,28,GT-155,82,1.31,70,"45°13'13"" ",12.85194444,79.69583333,GOOD,GOOD,11KV-1,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.69583333333334 12.851944444444444, 79.69777777777779 12.852777777777778)"
3,T.NO-154,,T,DD,28,155-154,231,1.92,67,,12.85277778,79.69777778,GOOD,GOOD,"11KV-2,LT-1",CC-1,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.69777777777779 12.852777777777778, 79.69972222222222 12.85388888888889)"
4,T.NO-153,,T,DD,34,154-153,237,3.19,91,,12.85388889,79.69972222,GOOD,GOOD,,ELECTRIC RAILWAY-1,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.69972222222222 12.85388888888889, 79.70083333333334 12.854444444444445)"
5,T.NO-152,,T,DD,30,153-152,130,2.27,90,,12.85444444,79.70083333,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.70083333333334 12.854444444444445, 79.70277777777778 12.855555555555556)"
6,T.NO-151,2W,T,DD,28,152-151,262,3,90,,12.85555556,79.70277778,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.70277777777778 12.855555555555556, 79.705 12.856666666666666)"
7,T.NO-150,,T,DD,28,151-150,255,,90,,12.85666667,79.705,GOOD,GOOD,,,PLAIN,WATER LOGGEED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.705 12.856666666666666, 79.70666666666666 12.8575)"
8,T.NO-149,,T,DD,28,150-149,208,,91,,12.8575,79.70666667,GOOD,GOOD,11KV-1,TAR-1,PLAIN,WATER LOGGEED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.70666666666666 12.8575, 79.7088888888889 12.858611111111111)"
9,T.NO-148,,S,DA,26,149-148,280,5.4,91,,12.85861111,79.70888889,GOOD,GOOD,11KV-1,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.7088888888889 12.858611111111111, 79.71111111111111 12.859722222222222)"
10,T.NO-147,,T,DD,28,148-147,266,6.27,91,"1°17'2"" ",12.85972222,79.71111111,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.71111111111111 12.859722222222222, 79.71333333333334 12.860833333333334)"
11,T.NO-146,,T,DD,28,147-146,261,5.83,79,"20°23'13"" ",12.86083333,79.71333333,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.71333333333334 12.860833333333334, 79.71361111111112 12.86111111111111)"
12,DP 1,,GANTRY,GANTRY,15,146-DP 1,43,,79,,12.86111111,79.71361111,GOOD,GOOD,230KV-1 XING ABOVE,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.71361111111112 12.86111111111111, 79.71444444444445 12.861388888888888)"
13,DP 2,,GANTRY,GANTRY,15,DP1-DP2,88,,76,,12.86138889,79.71444444,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.71444444444445 12.861388888888888, 79.71472222222222 12.861666666666666)"
14,T.NO-145,2W,T,DD,28,DP2-145,56,5.92,76,"10°3'54"" ",12.86166667,79.71472222,GOOD,GOOD,11KV-1,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.71472222222222 12.861666666666666, 79.71722222222222 12.862777777777778)"
15,T.NO-144,,T,DD,28,145-144,289,6.32,76,,12.86277778,79.71722222,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.71722222222222 12.862777777777778, 79.71916666666667 12.863888888888889)"
16,T.NO-143,,S,DA,26,144-143,250,6.82,76,,12.86388889,79.71916667,GOOD,GOOD,LT-3,"CC-1,TAR-1",PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.71916666666667 12.863888888888889, 79.72111111111111 12.865)"
17,T.NO-142,,S,DA,28,143-142,230,4.27,91,,12.865,79.72111111,GOOD,GOOD,LT-1,POND-1,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.72111111111111 12.865, 79.72305555555556 12.865833333333333)"
18,T.NO-141,,S,DA,26,142-141,243,5.41,91,,12.86583333,79.72305556,GOOD,GOOD,"LT-1,11KV-1",NALA-1,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.72305555555556 12.865833333333333, 79.72500000000001 12.866944444444444)"
19,T.NO-140,,T,DD,28,141-140,248,4.1,90,,12.86694444,79.725,GOOD,GOOD,"LT-1,11KV-1",TAR-1,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.72500000000001 12.866944444444444, 79.72694444444444 12.868055555555555)"
20,T.NO-139,,S,DA,26,140-139,240,6.34,90,,12.86805556,79.72694444,GOOD,GOOD,,"TAR-1,NALA-1",PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.72694444444444 12.868055555555555, 79.72888888888889 12.86888888888889)"
21,T.NO-138,,S,DA,26,139-138,229,5.81,90,,12.86888889,79.72888889,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.72888888888889 12.86888888888889, 79.73111111111112 12.870000000000001)"
22,T.NO-137,,S,DA,26,138-137,261,2.24,91,,12.87,79.73111111,GOOD,GOOD,,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.73111111111112 12.870000000000001, 79.73277777777778 12.871111111111112)"
23,T.NO-136,,S,DA,28,137-136,237,4.37,91,,12.87111111,79.73277778,GOOD,GOOD,,CANAL-1,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.73277777777778 12.871111111111112, 79.735 12.872222222222224)"
24,T.NO-135,,T,DD,28,136-135,253,4.7,90,,12.87222222,79.735,GOOD,GOOD,11KV-1,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.735 12.872222222222224, 79.7363888888889 12.872777777777777)"
25,T.NO-134,2W,T,DD,34,135-134,154,4.89,90,"1°30'27"" ",12.87277778,79.73638889,GOOD,GOOD,11KV-1,NH-1,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.7363888888889 12.872777777777777, 79.7375 12.873611111111112)"
26,T.NO-133,,T,DD,28,134-133,170,3.72,91,,12.87361111,79.7375,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.7375 12.873611111111112, 79.73861111111111 12.873888888888889)"
27,T.NO-132,,T,DD,28,133-132,134,3.1,89,,12.87388889,79.73861111,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.73861111111111 12.873888888888889, 79.74083333333333 12.875)"
28,T.NO-131,,S,DA,26,132-131,238,7.21,89,,12.875,79.74083333,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.74083333333333 12.875, 79.74277777777777 12.876111111111111)"
29,T.NO-130,,S,DA,26,131-130,246,6.82,88,,12.87611111,79.74277778,GOOD,GOOD,,TAR-1,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.74277777777777 12.876111111111111, 79.74444444444444 12.876944444444446)"
30,T.NO-129,,S,DA,26,130-129,229,4.12,89,,12.87694444,79.74444444,GOOD,GOOD,"11KV-1,LT-1","TAR-1,NALA-1",PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.74444444444444 12.876944444444446, 79.74666666666667 12.878055555555555)"
