S. No ,Tower No,Joint Box,Supspension/Tension,Tower Type,Tower Height (Mtrs),Span Between Tower No.,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation,Horizontal Angle(˚),Longitude,Latitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earth wire (Missing,Broken etc)",Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
1,GT 230KV VEERAPURAM SS,2W,T,GT,15,,,,60,,80.00277778,12.73977778,GOOD,MISSING,,,PLAIN,230KV VEERAPURAM SS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.00277777777778 12.739777777777777, 80.00308333333334 12.739833333333333)"
2,T.NO 1,,T,DD,28,GT-1,35.35533906,5.86,76,"30°20'22""",80.00308333,12.73983333,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.00308333333334 12.739833333333333, 80.00466666666667 12.739222222222221)"
3,T.NO 2,,T,DB,24,01-Feb,182.5431456,4.34,45,"11°23'24""",80.00466667,12.73922222,GOOD,GOOD,HT-1,POND,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.00466666666667 12.739222222222221, 80.00672222222222 12.738833333333332)"
4,T.NO 3,,T,DD,28,02-Mar,229.0720411,5.42,45,"71°37'35""",80.00672222,12.73883333,GOOD,GOOD,,ROAD-1,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.00672222222222 12.738833333333332, 80.00775 12.740749999999998)"
5,T.NO 4,,S,DA,26,03-Apr,238.8828165,3.47,48,,80.00775,12.74075,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.00775 12.740749999999998, 80.00816666666667 12.741388888888888)"
6,T.NO 5,,T,DB,24,04-May,83.21658489,3.76,46,"3°11'22""",80.00816667,12.74138889,GOOD,GOOD,,ROAD-1,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.00816666666667 12.741388888888888, 80.00872222222222 12.7425)"
7,T.NO 6,,T,DD,28,05-Jun,136.8539367,4.82,46,"77°45'27""",80.00872222,12.7425,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.00872222222222 12.7425, 80.01052777777778 12.742055555555554)"
8,T.NO 7,,T,DC,26,06-Jul,201.7919721,4.87,44,"20°7'59""",80.01052778,12.74205556,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.01052777777778 12.742055555555554, 80.01291666666667 12.740499999999999)"
9,T.NO 8,,T,DB,24,07-Aug,312.0208326,3.22,46,"12°54'32""",80.01291667,12.7405,GOOD,GOOD,,ROAD-1,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.01291666666667 12.740499999999999, 80.01561111111111 12.7395)"
10,T.NO 9,,T,DD,28,08-Sep,312.7427058,4.81,46,"100°4'35""",80.01561111,12.7395,GOOD,GOOD,,ROAD-1,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.01561111111111 12.7395, 80.01416666666667 12.737166666666665)"
