S. No ,Tower No,Supspension/Tension,Tower Type,Tower Hight (Mtrs),Span Between Tower No.,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation,Horizontal Angle(˚),Longitude,Latitude,JB Location,Earthing Location,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earth wire (Missing,Broken etc)",Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
20,T.NO 19,S,DA,26,18-19,328.588156074056,5.71,22,,79.95863888888888,12.343277777777779,,,GOOD,GOOD,"HT,LT",,CULTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.95863888888888 12.343277777777779, 79.95719444444445 12.34077777777778)"
21,T.NO 20,S,DA,26,19-20,321.755358489925,4.38,22,,79.95719444444445,12.34077777777778,,,GOOD,GOOD,HT,,CULTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.95719444444445 12.34077777777778, 79.95577777777778 12.338361111111112)"
22,T.NO 21,S,DA,26,20-21,309.228811112784,3.16,25,,79.95577777777778,12.338361111111112,,,GOOD,GOOD,LT,,CULTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.95577777777778 12.338361111111112, 79.95433333333334 12.335833333333333)"
23,T.NO 22,T,DD,28,21-22,321.257708728455,7.27,26,"43°32'12""",79.95433333333334,12.335833333333333,,,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.95433333333334 12.335833333333333, 79.95141666666667 12.334944444444446)"
24,T.NO 23,S,DA,26,22-23,331.928995405359,5.91,28,,79.95141666666667,12.334944444444446,,,GOOD,GOOD,HT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.95141666666667 12.334944444444446, 79.94888888888889 12.334222222222223)"
25,T.NO 24,S,DA,26,23-24,287.122351451263,3.18,29,,79.94888888888889,12.334222222222223,,,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.94888888888889 12.334222222222223, 79.94625 12.333416666666666)"
26,T.NO 25,S,DA,26,24-25,302.734983056324,2.18,29,,79.94625,12.333416666666666,,,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.94625 12.333416666666666, 79.9436388888889 12.332666666666666)"
27,T.NO 26,S,DA,26,25-26,297.015202312314,4.18,28,,79.9436388888889,12.332666666666666,,,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.9436388888889 12.332666666666666, 79.94088888888889 12.331861111111111)"
28,T.NO 27,S,DA,26,26-27,311.721740468864,5.32,27,,79.94088888888889,12.331861111111111,,,GOOD,GOOD,LT,TAAR ROAD,CULTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.94088888888889 12.331861111111111, 79.93877777777779 12.331249999999999)"
29,T.NO 28,T,DC,26,27-28,241.127049704943,2.16,28,"24°18'37""",79.93877777777779,12.331249999999999,Yes,,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.93877777777779 12.331249999999999, 79.93711111111112 12.329916666666666)"
