S.No,Tower No.,Joint Box,Tower Suspension / Tension,Tower Type,Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),Ground Elevation,Deviation Angle,Latitude,Longitude,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire ( Missing,  Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
1,Sholinghur Gantry,2W,,Gantry,15,-,-,-,166,,13.10052222,79.43408889,GOOD,-,-,-,Plain,No Peak available on Gantry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.4340888888889 13.100522222222223, 79.43414722222222 13.100197222222222)"
2,1,,Tension,SD+0,28,4-5,36,15.2,166,"15°17'47.58""LT",13.10019722,79.43414722,GOOD,NO E/W,-,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.43414722222222 13.100197222222222, 79.43483333333333 13.098258333333334)"
3,2,,Suspension,SA+0,26,5-6,237,10,167,,13.09825833,79.43483333,GOOD,GOOD,-,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.43483333333333 13.098258333333334, 79.4355638888889 13.096155555555557)"
4,3,,Tension,SB+0,24,6-7,248,7.2,166,"8°22'34.87""RT",13.09615556,79.43556389,GOOD,GOOD,LT,CTR,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.4355638888889 13.096155555555557, 79.43602222222222 13.09388888888889)"
5,4,,Suspension,SA+0,26,7-8,258,0.5,168,,13.09388889,79.43602222,GOOD,GOOD,-,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.43602222222222 13.09388888888889, 79.43646944444446 13.091569444444445)"
6,5,,Suspension,SA+0,26,8-9,267,5.6,166,,13.09156944,79.43646944,GOOD,GOOD,LT,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.43646944444446 13.091569444444445, 79.43690833333334 13.08923888888889)"
7,6,,Tension,SC+0,26,9-10,266,7.2,160,"16°35’54.55""RT",13.08923889,79.43690833,GOOD,GOOD,-,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.43690833333334 13.08923888888889, 79.43675277777778 13.087430555555557)"
8,7,,Suspension,SA+0,26,10-11,205,9.2,158,,13.08743056,79.43675278,GOOD,GOOD,Two LT,CTR,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.43675277777778 13.087430555555557, 79.43654722222223 13.08505277777778)"
9,8,,Tension,SB+0,24,11-12,266,6.1,155,"1°1'44.94""RT",13.08505278,79.43654722,GOOD,GOOD,"Three LT, HT",State Highway,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.43654722222223 13.08505277777778, 79.43635555555556 13.083225)"
10,9,,Tension,SB+0,24,12-13,212,0.8,164,"2°29'52.67""RT",13.083225,79.43635556,GOOD,GOOD,"LT, HT",-,Hilly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.43635555555556 13.083225, 79.43614444444445 13.08178611111111)"
11,10,,Tension,SB+0,24,13-14,159,2.3,153,"1°58'13.08""RT",13.08178611,79.43614444,GOOD,GOOD,LT,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.43614444444445 13.08178611111111, 79.43577777777779 13.079830555555555)"
